Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
89	1	1	0.178	0.178	0.178	0.178
90	1	1	0.125	0.125	0.125	0.125
91	14	1	0.193	0.193	0.193	0.193
92	1	1	1.0	1.0	1.0	1.0
93	1	1	0.094	0.094	0.094	0.094
94	2	1	0.114	0.114	0.114	0.114
95	5	1	0.071	0.071	0.071	0.071
96	2	1	0.073	0.073	0.073	0.073
97	1	1	1.0	1.0	1.0	1.0
98	1	1	0.0	0.0	0.0	0.0
99	3	1	1.0	1.0	1.0	1.0
100	1	1	0.087	0.087	0.087	0.087
101	1	1	1.0	1.0	1.0	1.0
102	4	1	0.313	0.313	0.313	0.313
103	1	1	0.044	0.044	0.044	0.044
104	1	1	0.071	0.071	0.071	0.071
105	1	1	1.0	1.0	1.0	1.0
106	1	1	0.0	0.0	0.0	0.0
107	1	1	0.143	0.143	0.143	0.143
108	2	1	0.149	0.149	0.149	0.149
109	1	1	1.0	1.0	1.0	1.0
110	1	1	0.136	0.136	0.136	0.136
111	5	1	1.0	1.0	1.0	1.0
112	1	1	1.0	1.0	1.0	1.0
113	1	1	0.073	0.073	0.073	0.073
114	3	1	0.073	0.073	0.073	0.073
115	1	1	0.073	0.073	0.073	0.073
116	1	1	0.078	0.078	0.078	0.078
117	1	1	0.161	0.161	0.161	0.161
118	1	1	0.044	0.044	0.044	0.044
119	1	1	1.0	1.0	1.0	1.0
120	4	1	0.0	0.0	0.0	0.0
121	2	1	1.0	1.0	1.0	1.0
122	1	1	1.0	1.0	1.0	1.0
123	1	1	0.17	0.17	0.17	0.17
124	2	1	1.0	1.0	1.0	1.0
125	1	1	1.0	1.0	1.0	1.0
126	1	1	0.138	0.138	0.138	0.138
127	2	1	0.0	0.0	0.0	0.0
128	2	1	1.0	1.0	1.0	1.0
129	2	1	0.126	0.126	0.126	0.126
130	3	1	0.0	0.0	0.0	0.0
131	2	1	0.073	0.073	0.073	0.073
132	4	1	1.0	1.0	1.0	1.0
133	1	1	1.0	1.0	1.0	1.0
134	1	1	0.0	0.0	0.0	0.0
135	1	1	0.142	0.142	0.142	0.142
136	2	1	0.0	0.0	0.0	0.0
137	2	1	0.067	0.067	0.067	0.067
138	1	1	0.043	0.043	0.043	0.043
