Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
100	1	1	0.538	0.538	0.538	0.538
101	1	1	1.0	1.0	1.0	1.0
102	4	1	0.903	0.903	0.903	0.903
103	1	1	0.0	0.0	0.0	0.0
104	1	1	0.425	0.425	0.425	0.425
105	1	1	1.0	1.0	1.0	1.0
106	1	1	0.0	0.0	0.0	0.0
107	1	1	0.735	0.735	0.735	0.735
108	2	1	0.747	0.747	0.747	0.747
109	1	1	1.0	1.0	1.0	1.0
110	1	1	0.719	0.719	0.719	0.719
111	5	1	1.0	1.0	1.0	1.0
112	1	1	1.0	1.0	1.0	1.0
113	1	1	0.434	0.434	0.434	0.434
114	3	1	0.441	0.441	0.441	0.441
115	1	1	0.441	0.441	0.441	0.441
116	1	1	0.479	0.479	0.479	0.479
117	1	1	0.77	0.77	0.77	0.77
118	1	1	0.0	0.0	0.0	0.0
119	1	1	1.0	1.0	1.0	1.0
120	4	1	0.0	0.0	0.0	0.0
121	2	1	1.0	1.0	1.0	1.0
122	1	1	1.0	1.0	1.0	1.0
123	1	1	0.784	0.784	0.784	0.784
124	2	1	1.0	1.0	1.0	1.0
125	1	1	1.0	1.0	1.0	1.0
126	1	1	0.724	0.724	0.724	0.724
127	2	1	0.0	0.0	0.0	0.0
128	2	1	1.0	1.0	1.0	1.0
129	2	1	0.692	0.692	0.692	0.692
130	3	1	0.0	0.0	0.0	0.0
131	2	1	0.441	0.441	0.441	0.441
132	4	1	1.0	1.0	1.0	1.0
133	1	1	1.0	1.0	1.0	1.0
134	1	1	0.0	0.0	0.0	0.0
135	1	1	0.733	0.733	0.733	0.733
136	2	1	0.0	0.0	0.0	0.0
137	2	1	0.383	0.383	0.383	0.383
138	1	1	0.0	0.0	0.0	0.0
