Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
118	1	1	0.323	0.323	0.323	0.323
119	1	1	1.0	1.0	1.0	1.0
120	4	1	0.431	0.431	0.431	0.431
121	2	1	1.0	1.0	1.0	1.0
122	1	1	0.688	0.688	0.688	0.688
123	1	1	0.439	0.439	0.439	0.439
124	2	1	0.079	0.079	0.079	0.079
125	1	1	0.032	0.032	0.032	0.032
126	1	1	0.089	0.089	0.089	0.089
127	2	1	0.113	0.113	0.113	0.113
128	2	1	1.0	1.0	1.0	1.0
129	2	1	0.158	0.158	0.158	0.158
130	3	1	0.0	0.0	0.0	0.0
131	2	1	0.175	0.175	0.175	0.175
132	4	1	0.079	0.079	0.079	0.079
133	1	1	0.286	0.286	0.286	0.286
134	1	1	1.0	1.0	1.0	1.0
135	1	1	0.259	0.259	0.259	0.259
136	2	1	1.0	1.0	1.0	1.0
137	2	1	0.032	0.032	0.032	0.032
138	1	1	0.238	0.238	0.238	0.238
