Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
26	8	218	218	9388	16	receptor complex (GO:0043235)	6.80969654200692e-07
27	7	86	86	9388	2	membrane raft (GO:0045121)	0.000310593514216266
28	7	24	24	9388	8	basolateral plasma membrane (GO:0016323)	0.000200642061811443
29	6	37	37	9388	0	NA (NA)	NA
30	6	9	9	9388	0	NA (NA)	NA
31	6	39	39	9388	0	NA (NA)	NA
32	6	13	13	9388	0	NA (NA)	NA
33	5	142	142	9388	15	plasma membrane raft (GO:0044853)	0.000121960055080732
34	5	57	57	9388	7	membrane raft (GO:0045121)	1.98957204532614e-06
35	5	35	35	9388	5	apical part of cell (GO:0045177)	7.62209315316161e-05
36	5	52	52	9388	5	caveola (GO:0005901)	0.0038040290044599
37	5	22	22	9388	9	voltage-gated potassium channel complex (GO:0008076)	7.64102944881725e-05
38	5	2823	2823	9388	99	focal adhesion (GO:0005925)	1.48855022769851e-25
39	5	11	11	9388	0	NA (NA)	NA
40	5	9	9	9388	3	membrane raft (GO:0045121)	8.22228779086932e-07
41	5	9	9	9388	1	GABA receptor complex (GO:1902710)	0.00579592476829827
42	4	22	22	9388	0	NA (NA)	NA
43	4	23	23	9388	4	basal plasma membrane (GO:0009925)	0.00242458542624047
44	4	85	85	9388	10	protein kinase complex (GO:1902911)	5.40801312212377e-06
45	4	3	3	9388	0	NA (NA)	NA
46	4	15	15	9388	0	NA (NA)	NA
47	4	20	20	9388	7	endoplasmic reticulum lumen (GO:0005788)	0.00304017698649915
48	4	1766	1766	9388	45	chromosomal region (GO:0098687)	2.45194474701819e-14
49	4	64	64	9388	5	basal part of cell (GO:0045178)	0.00926382778571061
50	4	77	77	9388	4	transcription regulator complex (GO:0005667)	0.001043334555446
51	4	10	10	9388	8	external side of plasma membrane (GO:0009897)	6.4377127251525e-05
52	4	6	6	9388	2	external side of plasma membrane (GO:0009897)	0.000126840950937198
53	3	1	1	9388	0	NA (NA)	NA
54	3	34	34	9388	8	Bcl-2 family protein complex (GO:0097136)	0.000593109193914637
55	3	0	0	9388	0		0
56	3	0	0	9388	0		0
57	3	57	57	9388	15	basal plasma membrane (GO:0009925)	0.000966428514525017
58	3	59	59	9388	0	NA (NA)	NA
59	3	11	11	9388	0	NA (NA)	NA
60	3	1	1	9388	0	NA (NA)	NA
61	3	7	7	9388	0	NA (NA)	NA
62	3	11	11	9388	0	NA (NA)	NA
63	3	79	79	9388	17	mitochondrial respiratory chain complex IV (GO:0005751)	3.62428559886083e-09
64	3	22	22	9388	0	NA (NA)	NA
65	3	8	8	9388	0	NA (NA)	NA
66	3	1253	1253	9388	48	cytosolic ribosome (GO:0022626)	1.70294611207453e-51
67	2	323	323	9388	44	membrane raft (GO:0045121)	3.87646493594688e-11
68	2	88	88	9388	9	caveola (GO:0005901)	4.08927159166134e-05
69	2	3	3	9388	2	cation channel complex (GO:0034703)	0.00754978420612583
70	2	18	18	9388	0	NA (NA)	NA
71	2	3	3	9388	0	NA (NA)	NA
72	2	1	1	9388	0	NA (NA)	NA
73	2	20	20	9388	11	plasma lipoprotein particle (GO:0034358)	2.02275505031626e-05
74	2	4	4	9388	0	NA (NA)	NA
75	2	10	10	9388	0	NA (NA)	NA
76	2	137	137	9388	31	membrane microdomain (GO:0098857)	3.61317745098434e-05
77	2	7	7	9388	0	NA (NA)	NA
78	2	220	220	9388	18	external encapsulating structure (GO:0030312)	5.04387010870406e-10
79	2	33	33	9388	7	Bcl-2 family protein complex (GO:0097136)	2.8269962398628e-06
80	2	4	4	9388	0	NA (NA)	NA
81	2	2	2	9388	0	NA (NA)	NA
82	2	33	33	9388	6	membrane raft (GO:0045121)	0.000102218206484648
83	2	4	4	9388	0	NA (NA)	NA
84	2	4	4	9388	14	GABA-A receptor complex (GO:1902711)	1.84651800659429e-07
85	2	19	19	9388	14	neuronal cell body (GO:0043025)	0.00340564768490282
86	2	15	15	9388	1	Bcl-2 family protein complex (GO:0097136)	0.00521577471597299
87	2	49	49	9388	0	NA (NA)	NA
88	2	4	4	9388	0	NA (NA)	NA
89	2	34	34	9388	4	membrane raft (GO:0045121)	0.000230368753098035
90	2	13	13	9388	0	NA (NA)	NA
91	2	205	205	9388	11	high-density lipoprotein particle (GO:0034364)	0.000108480554877122
92	2	24	24	9388	2	endoplasmic reticulum lumen (GO:0005788)	0.000154943180601232
93	2	11	11	9388	0	NA (NA)	NA
