ClassKind,icd11Code,icd11Title,icd11TTDalias,isLeaf,MeSHDiseaseID,MeSHDiseaseTerm,HSDNCount,TTDTitle,TTDDrugCount,DrugPresentInBlock,icd10Code,icd10Chapter,icd10Title
category,1E+031,- - Influenza due to identified zoonotic or pandemic influenza virus,,True,,,0,,0,0,J09,X,Influenza due to identified zoonotic or pandemic influenza virus
category,1E+032,"- - Influenza, virus not identified",,True,,,0,,0,0,J11,X,"Influenza, virus not identified"
block,1E70-1F0Z,- Viral infections characterised by skin or mucous membrane lesions,,False,,,0,,0,0,B00-B09,I,Viral infections characterized by skin and mucous membrane lesions
category,1F05,- - Picornavirus infections presenting in the skin or mucous membranes,,False,,,0,,0,0,B00-B09,I,Viral infections characterized by skin and mucous membrane lesions
category,1F05.1,- - - Enteroviral vesicular pharyngitis,,True,D006557,Herpangina,2,,0,0,B08.5,I,Enteroviral vesicular pharyngitis
block,1F20-1F2Z,- Mycoses,,False,D009181,Mycoses,64,,0,1,B35-B49,I,Mycoses
category,1F20,- - Aspergillosis,,False,D001228,Aspergillosis,71,Aspergillosis,1,0,B44,I,Aspergillosis
category,1F20.1,- - - Non-invasive aspergillosis,,False,,,0,,0,0,B44,I,Aspergillosis
category,1F20.12,- - - - Chronic pulmonary aspergillosis,,True,,,0,,0,0,B44.1,I,Other pulmonary aspergillosis
category,1F23,- - Candidosis,,False,D002177,Candidiasis,81,Candidiasis,4,0,B37,I,Candidiasis
category,1F23.3,- - - Systemic or invasive candidosis,,False,,,0,,0,0,B37,I,Candidiasis
category,1F23.31,- - - - Pulmonary candidosis,,True,,,0,,0,0,B37.1,I,Pulmonary candidiasis
category,1F25,- - Coccidioidomycosis,,False,D003047,Coccidioidomycosis,35,,0,0,B38,I,Coccidioidomycosis
category,1F25.0,- - - Pulmonary coccidioidomycosis,,False,,,0,,0,0,B38,I,Coccidioidomycosis
category,1F25.00,- - - - Acute pulmonary coccidioidomycosis,,True,,,0,,0,0,B38,I,Coccidioidomycosis
category,1F25.01,- - - - Chronic pulmonary coccidioidomycosis,,True,,,0,,0,0,B38,I,Coccidioidomycosis
category,1F27,- - Cryptococcosis,,False,D003453,Cryptococcosis,61,,0,0,B45,I,Cryptococcosis
category,1F27.0,- - - Pulmonary cryptococcosis,,True,,,0,,0,0,B45.0,I,Pulmonary cryptococcosis
category,1F2A,- - Histoplasmosis,,False,D006660,Histoplasmosis,56,,0,0,B39,I,Histoplasmosis
category,1F2A.0,- - - Pulmonary histoplasmosis capsulati,,True,,,0,,0,0,B39.2,I,"Pulmonary histoplasmosis capsulati, unspecified"
category,1F2J,- - Sporotrichosis,,False,D013174,Sporotrichosis,19,,0,0,B42,I,Sporotrichosis
category,1F2J.2,- - - Pulmonary sporotrichosis,,True,,,0,,0,0,B42.0,I,Pulmonary sporotrichosis
category,1F2L,- - Emmonsiosis,,False,,,0,,0,0,B35-B49,I,Mycoses
category,1F2L.1,- - - Pulmonary adiaspiromycosis,,True,,,0,,0,0,B35-B49,I,Mycoses
block,1F40-1G2Z,- Parasitic diseases,,False,,,0,,0,1,,,
block,1F50-1F58,- - Nonintestinal protozoal diseases,,False,,,0,,0,1,B60.8,I,Other specified protozoal diseases
category,1F57,- - - Toxoplasmosis,,False,D014123,Toxoplasmosis,68,Toxoplasmosis,1,0,B58,I,Toxoplasmosis
category,1F57.2,- - - - Pulmonary toxoplasmosis due to Toxoplasma gondii,,True,,,0,,0,0,B58.3,I,Pulmonary toxoplasmosis
,,,,,,,,,,,,,
chapter,CA00-CB64,Diseases of the respiratory system,,False,,,0,,0,1,,,
block,CA00-CA0Z,- Upper respiratory tract disorders,,False,,,0,,0,1,J00-J06,X,Acute upper respiratory infections
category,CA00,- - Acute nasopharyngitis,,True,D003139,Common Cold,134,Common cold,4,0,J00,X,Acute nasopharyngitis [common cold]
category,CA01,- - Acute sinusitis,,True,,,0,,0,0,J01,X,Acute sinusitis
category,CA02,- - Acute pharyngitis,,False,D009304,Nasopharyngitis,9,,0,0,J02,X,Acute pharyngitis
category,CA02.0,- - - Acute pharyngitis due to other bacteria,,True,,,0,,0,0,J02.8,X,Acute pharyngitis due to other specified organisms
category,CA02.1,- - - Acute viral pharyngitis,,False,,,0,,0,0,J02,X,Acute pharyngitis
category,CA02.10,- - - - Pharyngitis due to Adenovirus,,True,,,0,,0,0,J02,X,Acute pharyngitis
category,CA02.1Y,- - - - Other specified acute viral pharyngitis,,True,,,0,,0,0,J02,X,Acute pharyngitis
category,CA02.1Z,"- - - - Acute viral pharyngitis, unspecified",,True,,,0,,0,0,J02,X,Acute pharyngitis
category,CA02.Y,- - - Other specified acute pharyngitis,,True,,,0,,0,0,J02.8,X,Acute pharyngitis due to other specified organisms
category,CA02.Z,"- - - Acute pharyngitis, unspecified",,True,,,0,,0,0,J02,X,Acute pharyngitis
category,CA03,- - Acute tonsillitis,,False,D014069,Tonsillitis,68,,0,0,J03,X,Acute tonsillitis
category,CA03.0,- - - Streptococcal tonsillitis,,True,,,0,,0,0,J03.0,X,Streptococcal tonsillitis
category,CA03.Y,- - - Other specified acute tonsillitis,,True,,,0,,0,0,J03.8,X,Acute tonsillitis due to other specified organisms
category,CA03.Z,"- - - Acute tonsillitis, unspecified",,True,,,0,,0,0,J03,X,Acute tonsillitis
category,CA04,- - Acute laryngopharyngitis,,True,,,0,,0,0,J06.0,X,Acute laryngopharyngitis
category,CA05,- - Acute laryngitis or tracheitis,,False,,,0,,0,0,J04,X,Acute laryngitis and tracheitis
category,CA05.0,- - - Acute laryngitis,,True,D007827,Laryngitis,43,,0,0,J04.0,X,Acute laryngitis
category,CA05.1,- - - Acute tracheitis,,True,,,0,,0,0,J04.1,X,Acute tracheitis
category,CA05.2,- - - Acute laryngotracheitis,,True,,,0,,0,0,J04.2,X,Acute laryngotracheitis
category,CA05.Y,- - - Other specified acute laryngitis or tracheitis,,True,,,0,,0,0,J04,X,Acute laryngitis and tracheitis
category,CA05.Z,"- - - Acute laryngitis or tracheitis, unspecified",,True,,,0,,0,0,J04,X,Acute laryngitis and tracheitis
category,CA06,- - Acute obstructive laryngitis or epiglottitis,,False,,,0,,0,0,J05,X,Acute obstructive laryngitis [croup] and epiglottitis
category,CA06.0,- - - Acute obstructive laryngitis,,True,D003440,Croup,12,,0,0,J05.0,X,Acute obstructive laryngitis [croup]
category,CA06.1,- - - Acute epiglottitis,,True,D004826,Epiglottitis,16,,0,0,J05.1,X,Acute epiglottitis
category,CA06.Z,"- - - Acute obstructive laryngitis or epiglottitis, unspecified",,True,,,0,,0,0,J05,X,Acute obstructive laryngitis [croup] and epiglottitis
category,CA07,- - Acute upper respiratory infections of multiple and unspecified sites,,False,D012141,Respiratory Tract Infections (J06.9),128,Upper respiratory infection,1,0,J06,X,Acute upper respiratory infections of multiple and unspecified sites
category,CA07.0,"- - - Acute upper respiratory infection, site unspecified",,True,,,0,,0,0,J06.9,X,"Acute upper respiratory infection, unspecified"
category,CA07.1,- - - Acute upper respiratory infections of multiple sites,,True,,,0,,0,0,J06.8,X,Other acute upper respiratory infections of multiple sites
category,CA08,- - Vasomotor or allergic rhinitis,,False,D006255,"Rhinitis, Allergic, Seasonal",58,Vasomotor symptom,2,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.0,- - - Allergic rhinitis,CA08,False,D006255,"Rhinitis, Allergic, Seasonal",0,Allergic rhinitis,24,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.00,- - - - Allergic rhinitis due to pollen,CA08,True,D006255,"Rhinitis, Allergic, Seasonal",0,Hay fever,5,0,J30.1,X,Allergic rhinitis due to pollen
category,CA08.01,- - - - Allergic rhinitis due to other seasonal allergens,CA08,True,D006255,"Rhinitis, Allergic, Seasonal",0,Seasonal allergic rhinitis,1,0,J30.2,X,Other seasonal allergic rhinitis
category,CA08.02,- - - - Allergic rhinitis due to house dust mite,,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.03,- - - - Other allergic rhinitis,,True,,,0,,0,0,J30.3,X,Other allergic rhinitis
category,CA08.0Z,"- - - - Allergic rhinitis, unspecified",,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.1,- - - Non-allergic rhinitis,,False,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.10,- - - - Non-allergic rhinitis with eosinophils,,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.1Y,- - - - Other specified non-allergic rhinitis,,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.1Z,"- - - - Non-allergic rhinitis, unspecified",,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.2,- - - Mixed rhinitis,,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.3,- - - Vasomotor rhinitis,,True,,,0,,0,0,J30.0,X,Vasomotor rhinitis
category,CA08.Y,- - - Mixed allergic and non-allergic rhinitis,,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA08.Z,"- - - Rhinitis, unspecified whether allergic or nonallergic",,True,,,0,,0,0,J30,X,Vasomotor and allergic rhinitis
category,CA09,"- - Chronic rhinitis, nasopharyngitis or pharyngitis",,False,D012222,"Rhinitis, Atrophic",10,,0,0,J31,X,"Chronic rhinitis, nasopharyngitis and pharyngitis"
category,CA09.0,- - - Chronic rhinitis,,True,,,0,,0,0,J31.0,X,Chronic rhinitis
category,CA09.1,- - - Chronic nasopharyngitis,,True,,,0,,0,0,J31.1,X,Chronic nasopharyngitis
category,CA09.2,- - - Chronic pharyngitis,,True,,,0,,0,0,J31.2,X,Chronic pharyngitis
category,CA09.Y,"- - - Other specified chronic rhinitis, nasopharyngitis or pharyngitis",,True,,,0,,0,0,J31,X,"Chronic rhinitis, nasopharyngitis and pharyngitis"
category,CA09.Z,"- - - Chronic rhinitis, nasopharyngitis or pharyngitis, unspecified",,True,,,0,,0,0,J31,X,"Chronic rhinitis, nasopharyngitis and pharyngitis"
category,CA0A,- - Chronic rhinosinusitis,,False,D012852,Sinusitis,82,,0,0,J32,X,Chronic sinusitis
category,CA0A.0,- - - Samter syndrome,,True,,,0,,0,0,J32,X,Chronic sinusitis
category,CA0A.Y,- - - Other specified chronic rhinosinusitis,,True,,,0,,0,0,J32.8,X,Other chronic sinusitis
category,CA0A.Z,"- - - Chronic rhinosinusitis, unspecified",,True,,,0,,0,0,J32,X,Chronic sinusitis
category,CA0B,- - Silent sinus syndrome,,True,,,0,,0,0,J34,X,Other disorders of nose and nasal sinuses
category,CA0C,- - Cyst or mucocele of nose or nasal sinus,,True,,,0,,0,0,J34.1,X,Cyst and mucocele of nose and nasal sinus
category,CA0D,- - Deviated nasal septum,,True,,,0,,0,0,J34.2,X,Deviated nasal septum
category,CA0E,- - Hypertrophy of nasal turbinates,,True,,,0,,0,0,J34.3,X,Hypertrophy of nasal turbinates
category,CA0F,- - Chronic diseases of tonsils or adenoids,,False,,,0,,0,0,J35,X,Chronic diseases of tonsils and adenoids
category,CA0F.0,- - - Hypertrophy of tonsils,,True,,,0,,0,0,J35.1,X,Hypertrophy of tonsils
category,CA0F.1,- - - Hypertrophy of adenoids,,True,,,0,,0,0,J35.2,X,Hypertrophy of adenoids
category,CA0F.Y,- - - Other specified chronic diseases of tonsils or adenoids,,True,,,0,,0,0,J35.8,X,Other chronic diseases of tonsils and adenoids
category,CA0F.Z,"- - - Chronic diseases of tonsils or adenoids, unspecified",,True,,,0,,0,0,J35,X,Chronic diseases of tonsils and adenoids
category,CA0G,- - Chronic laryngitis or laryngotracheitis,,True,,,0,,0,0,J37,X,Chronic laryngitis and laryngotracheitis
category,CA0H,"- - Diseases of vocal cords or larynx, not elsewhere classified",,False,,,0,,0,0,J38,X,"Diseases of vocal cords and larynx, not elsewhere classified"
category,CA0H.0,- - - Paralysis of vocal cords or larynx,,True,D014826,Vocal Cord Paralysis,77,,0,0,J38.0,X,Paralysis of vocal cords and larynx
category,CA0H.1,- - - Polyp of vocal cord or larynx,,True,,,0,,0,0,J38.1,X,Polyp of vocal cord and larynx
category,CA0H.2,- - - Nodules of vocal cords,,True,,,0,,0,0,J38.2,X,Nodules of vocal cords
category,CA0H.3,- - - Oedema of larynx,,True,D007819,Laryngeal Edema,21,,0,0,J38.4,X,Oedema of larynx
category,CA0H.4,- - - Laryngeal spasm,,True,D007826,Laryngismus,44,,0,0,J38.5,X,Laryngeal spasm
category,CA0H.5,- - - Stenosis of larynx,,True,D007829,Laryngostenosis,29,,0,0,J38.6,X,Stenosis of larynx
category,CA0H.Y,"- - - Other specified diseases of vocal cords or larynx, not elsewhere classified",,True,,,0,,0,0,J38,X,"Diseases of vocal cords and larynx, not elsewhere classified"
category,CA0H.Z,"- - - Diseases of vocal cords or larynx, not elsewhere classified, unspecified",,True,,,0,,0,0,J38,X,"Diseases of vocal cords and larynx, not elsewhere classified"
category,CA0J,- - Nasal polyp,,False,D009298,Nasal Polyps,40,,0,0,J33,X,Nasal polyp
category,CA0J.0,- - - Polypoid sinus degeneration,,True,,,0,,0,0,J33.1,X,Polypoid sinus degeneration
category,CA0J.Y,- - - Other specified nasal polyp,,True,,,0,,0,0,J33.8,X,Other polyp of sinus
category,CA0J.Z,"- - - Nasal polyp, unspecified",,True,,,0,,0,0,J33,X,Nasal polyp
category,CA0K,- - Abscess of upper respiratory tract,,False,,,0,,0,0,J34.0,X,"Abscess, furuncle and carbuncle of nose"
category,CA0K.0,- - - Retropharyngeal or parapharyngeal abscess,,True,D017703,Retropharyngeal Abscess,30,,0,0,J39.0,X,Retropharyngeal and parapharyngeal abscess
category,CA0K.1,- - - Peritonsillar abscess,,True,D000039,Peritonsillar Abscess,13,,0,0,J36,X,Peritonsillar abscess
category,CA0K.Y,- - - Other specified abscess of upper respiratory tract,,True,,,0,,0,0,J34.0,X,"Abscess, furuncle and carbuncle of nose"
category,CA0K.Z,"- - - Abscess of upper respiratory tract, unspecified",,True,,,0,,0,0,J34.0,X,"Abscess, furuncle and carbuncle of nose"
category,CA0Y,- - Other specified upper respiratory tract disorders,CA07,True,D012141,Respiratory Tract Infections,0,Rhinorrhea,1,0,J00-J06,X,Acute upper respiratory infections
category,CA0Z,"- - Upper respiratory tract disorders, unspecified",,True,,,0,,0,0,J00-J06,X,Acute upper respiratory infections
block,CA20-CA2Z,- Certain lower respiratory tract diseases,,False,,,0,,0,1,J40-J47,X,Chronic lower respiratory diseases
category,CA20,- - Bronchitis,,False,D001991,Bronchitis,0,Bronchitis,9,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA20.0,- - - Acute noninfectious bronchitis,,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA20.1,- - - Chronic bronchitis,,False,D029481,"Bronchitis, Chronic",8,Chronic bronchitis,2,0,J42,X,Unspecified chronic bronchitis
category,CA20.10,- - - - Simple chronic bronchitis,,True,,,0,,0,0,J41.0,X,Simple chronic bronchitis
category,CA20.11,- - - - Mucopurulent chronic bronchitis,,True,,,0,,0,0,J41.1,X,Mucopurulent chronic bronchitis
category,CA20.12,- - - - Mixed simple and mucopurulent chronic bronchitis,,True,,,0,,0,0,J41.8,X,Mixed simple and mucopurulent chronic bronchitis
category,CA20.13,- - - - Protracted bacterial bronchitis,,True,,,0,,0,0,J42,X,Unspecified chronic bronchitis
category,CA20.1Y,- - - - Other specified chronic bronchitis,,True,,,0,,0,0,J42,X,Unspecified chronic bronchitis
category,CA20.1Z,"- - - - Chronic bronchitis, unspecified",,True,,,0,,0,0,J42,X,Unspecified chronic bronchitis
category,CA20.Y,- - - Other specified bronchitis,,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA20.Z,"- - - Bronchitis, unspecified",,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA21,- - Emphysema,,False,D011656,Pulmonary Emphysema,49,Emphysema,1,0,J43,X,Emphysema
category,CA21.0,- - - MacLeod syndrome,,True,,,0,,0,0,J43.0,X,MacLeod syndrome
category,CA21.1,- - - Panlobular emphysema,,True,,,0,,0,0,J43.1,X,Panlobular emphysema
category,CA21.2,- - - Centrilobular emphysema,,True,,,0,,0,0,J43.2,X,Centrilobular emphysema
category,CA21.Y,- - - Other specified emphysema,,True,,,0,,0,0,J43.8,X,Other emphysema
category,CA21.Z,"- - - Emphysema, unspecified",,True,,,0,,0,0,J43,X,Emphysema
category,CA22,- - Chronic obstructive pulmonary disease,,False,D029424,"Pulmonary Disease, Chronic Obstructive",84,Chronic obstructive pulmonary disease,25,0,J44,X,Other chronic obstructive pulmonary disease
category,CA22.0,"- - - Chronic obstructive pulmonary disease with acute exacerbation, unspecified",,True,,,0,,0,0,J44.1,X,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
category,CA22.1,- - - Certain specified chronic obstructive pulmonary disease,,True,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA22.Z,"- - - Chronic obstructive pulmonary disease, unspecified",CA22,True,D029424,"Pulmonary Disease, Chronic Obstructive",0,Obstructive lung disease,1,0,J44,X,Other chronic obstructive pulmonary disease
category,CA23,- - Asthma,,False,D001249,Asthma,156,Asthma,50,0,J45,X,Asthma
category,CA23.0,- - - Allergic asthma,,False,,,0,,0,0,J45.0,X,Predominantly allergic asthma
category,CA23.00,- - - - Allergic asthma with exacerbation,,True,,,0,,0,0,J45.0,X,Predominantly allergic asthma
category,CA23.01,- - - - Allergic asthma with status asthmaticus,,True,,,0,,0,0,J46,X,Status asthmaticus
category,CA23.02,"- - - - Allergic asthma, uncomplicated",,True,,,0,,0,0,J45.0,X,Predominantly allergic asthma
category,CA23.1,- - - Non-allergic asthma,,False,,,0,,0,0,J45.1,X,Nonallergic asthma
category,CA23.10,- - - - Non-allergic asthma with exacerbation,,True,,,0,,0,0,J45.1,X,Nonallergic asthma
category,CA23.11,- - - - Non-allergic asthma with status asthmaticus,,True,,,0,,0,0,J46,X,Status asthmaticus
category,CA23.12,"- - - - Non-allergic asthma, uncomplicated",,True,,,0,,0,0,J45.1,X,Nonallergic asthma
category,CA23.2,- - - Other specified forms of asthma or bronchospasm,,False,,,0,,0,0,J45,X,Asthma
category,CA23.20,- - - - Aspirin-induced asthma,,True,D055963,"Asthma, Aspirin-Induced",0,,0,0,J45,X,Asthma
category,CA23.21,- - - - Exercise-induced bronchospasm,,True,D001250,"Asthma, Exercise-Induced",0,,0,0,J45,X,Asthma
category,CA23.22,- - - - Cough variant asthma,,True,,,0,,0,0,J45,X,Asthma
category,CA23.3,- - - Unspecified asthma,,False,,,0,,0,0,J45.9,X,"Asthma, unspecified"
category,CA23.30,- - - - Unspecified asthma with exacerbation,,True,,,0,,0,0,J45.9,X,"Asthma, unspecified"
category,CA23.31,- - - - Unspecified asthma with status asthmaticus,,True,,,0,,0,0,J46,X,Status asthmaticus
category,CA23.32,"- - - - Unspecified asthma, uncomplicated",,True,,,0,,0,0,J45.9,X,"Asthma, unspecified"
category,CA24,- - Bronchiectasis,,True,D001987,Bronchiectasis,37,Bronchiectasis,2,0,J47,X,Bronchiectasis
category,CA25,- - Cystic fibrosis,,False,D003550,Cystic Fibrosis,117,Cystic fibrosis,4,0,E84,IV,Cystic fibrosis
category,CA25.0,- - - Classical cystic fibrosis,,True,,,0,,0,0,E84.0,IV,Cystic fibrosis with pulmonary manifestations
category,CA25.1,- - - Atypical cystic fibrosis,,True,,,0,,0,0,E84,IV,Cystic fibrosis
category,CA25.2,- - - Subclinical cystic fibrosis,,True,,,0,,0,0,E84.8,IV,Cystic fibrosis with other manifestations
category,CA25.Z,"- - - Cystic fibrosis, unspecified",,True,,,0,,0,0,E84,IV,Cystic fibrosis
category,CA26,- - Chronic bronchiolitis,,False,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA26.0,- - - Chronic obliterative bronchiolitis,,True,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA26.1,- - - Diffuse panbronchiolitis,,True,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA26.Y,- - - Other specified chronic bronchiolitis,,True,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA26.Z,"- - - Chronic bronchiolitis, unspecified",,True,,,0,,0,0,J44.8,X,Other specified chronic obstructive pulmonary disease
category,CA27,- - Tracheobronchitis,,False,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA27.0,- - - Tracheobronchopathia osteochondroplastica,,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA27.1,- - - Tracheobronchomegaly,,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA27.Y,- - - Other specified tracheobronchitis,,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA27.Z,"- - - Tracheobronchitis, unspecified",,True,,,0,,0,0,J40,X,"Bronchitis, not specified as acute or chronic"
category,CA2Y,- - Other specified lower respiratory tract disease,,True,,,0,,0,0,J40-J47,X,Chronic lower respiratory diseases
category,CA2Z,"- - Lower respiratory tract disease, unspecified",,True,,,0,,0,0,J40-J47,X,Chronic lower respiratory diseases
block,CA40-CA4Z,- Lung infections,,False,,,0,,0,1,J09-J18,X,Influenza and pneumonia
category,CA40,- - Pneumonia,,False,,,0,,0,0,J09-J18,X,Influenza and pneumonia
category,CA40.0,- - - Bacterial pneumonia,,False,D018410,"Pneumonia, Bacterial (J15.9)",65,Bacterial pneumonia,1,0,J15,X,"Bacterial pneumonia, not elsewhere classified"
category,CA40.00,- - - - Pneumonia due to Chlamydophila pneumoniae,,True,,,0,,0,0,J16.0,X,Chlamydial pneumonia
category,CA40.01,- - - - Pneumonia due to Escherichia coli,,True,,,0,,0,0,J15.5,X,Pneumonia due to Escherichia coli
category,CA40.02,- - - - Pneumonia due to Haemophilus influenzae,,True,,,0,,0,0,J14,X,Pneumonia due to Haemophilus influenzae
category,CA40.03,- - - - Pneumonia due to Klebsiella pneumoniae,,True,,,0,,0,0,J15.0,X,Pneumonia due to Klebsiella pneumoniae
category,CA40.04,- - - - Pneumonia due to Mycoplasma pneumoniae,,True,,,0,,0,0,J15.7,X,Pneumonia due to Mycoplasma pneumoniae
category,CA40.05,- - - - Pneumonia due to Pseudomonas aeruginosa,,True,,,0,,0,0,J15.1,X,Pneumonia due to Pseudomonas
category,CA40.06,- - - - Pneumonia due to Staphylococcus,,True,,,0,,0,0,J15.2,X,Pneumonia due to staphylococcus
category,CA40.07,- - - - Pneumonia due to Streptococcus pneumoniae,,True,,,0,,0,0,J13,X,Pneumonia due to Streptococcus pneumoniae
category,CA40.08,- - - - Pneumonia due to Beta-haemolytic streptococcus,,True,,,0,,0,0,J15.3,X,"Pneumonia due to streptococcus, group B"
category,CA40.0Y,- - - - Pneumonia due to other specified bacteria,,True,,,0,,0,0,J15.8,X,Other bacterial pneumonia
category,CA40.0Z,"- - - - Bacterial pneumonia, unspecified",,True,,,0,,0,0,J15,X,"Bacterial pneumonia, not elsewhere classified"
category,CA40.1,- - - Viral pneumonia,,False,D011024,"Pneumonia, Viral (J12.9)",38,,0,0,J12,X,"Viral pneumonia, not elsewhere classified"
category,CA40.10,- - - - Pneumonia due to Adenovirus,,True,,,0,,0,0,J12.0,X,Adenoviral pneumonia
category,CA40.11,- - - - Pneumonia due to Respiratory syncytial virus,,True,,,0,,0,0,J12.1,X,Respiratory syncytial virus pneumonia
category,CA40.12,- - - - Pneumonia due to parainfluenza virus,,True,,,0,,0,0,J12.2,X,Parainfluenza virus pneumonia
category,CA40.13,- - - - Pneumonia due to Human metapneumovirus,,True,,,0,,0,0,J12.3,X,Human metapneumovirus pneumonia
category,CA40.1Y,- - - - Pneumonia due to other specified virus,,True,,,0,,0,0,J12.8,X,Other viral pneumonia
category,CA40.1Z,"- - - - Viral pneumonia, unspecified",,True,,,0,,0,0,J12,X,"Viral pneumonia, not elsewhere classified"
