Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
26	8	39	39	9388	3	transcription regulator complex (GO:0005667)	0.00445522887946818
27	8	218	218	9388	16	receptor complex (GO:0043235)	6.80969654200692e-07
28	7	24	24	9388	8	basolateral plasma membrane (GO:0016323)	0.000200642061811443
29	7	13	13	9388	0	NA (NA)	NA
30	6	39	39	9388	3	membrane raft (GO:0045121)	0.0047165947086433
31	6	175	175	9388	21	ion channel complex (GO:0034702)	5.63433682284327e-06
32	6	9	9	9388	0	NA (NA)	NA
33	6	13	13	9388	0	NA (NA)	NA
34	5	82	82	9388	4	pore complex (GO:0046930)	0.00344790016373239
35	5	113	113	9388	12	cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	2.13605536816007e-10
36	5	8	8	9388	8	sodium channel complex (GO:0034706)	0.0012735002729552
37	5	57	57	9388	7	membrane raft (GO:0045121)	1.98957204532614e-06
38	5	35	35	9388	5	apical part of cell (GO:0045177)	7.62209315316161e-05
39	5	52	52	9388	5	caveola (GO:0005901)	0.0038040290044599
40	5	22	22	9388	9	voltage-gated potassium channel complex (GO:0008076)	7.64102944881725e-05
41	5	65	65	9388	0	NA (NA)	NA
42	5	2823	2823	9388	99	focal adhesion (GO:0005925)	1.48855022769851e-25
43	5	9	9	9388	3	membrane raft (GO:0045121)	8.22228779086932e-07
44	5	9	9	9388	1	GABA receptor complex (GO:1902710)	0.00579592476829827
45	4	23	23	9388	4	basal plasma membrane (GO:0009925)	0.00242458542624047
46	4	16	16	9388	5	dendrite (GO:0030425)	3.91474777558345e-06
47	4	95	95	9388	6	membrane raft (GO:0045121)	0.00471906449055341
48	4	3	3	9388	0	NA (NA)	NA
49	4	15	15	9388	0	NA (NA)	NA
50	4	20	20	9388	7	endoplasmic reticulum lumen (GO:0005788)	0.00304017698649915
51	4	1766	1766	9388	45	chromosomal region (GO:0098687)	2.45194474701819e-14
52	4	77	77	9388	4	transcription regulator complex (GO:0005667)	0.001043334555446
53	4	169	169	9388	28	membrane raft (GO:0045121)	1.36368179448046e-07
54	4	42	42	9388	1	endoplasmic reticulum lumen (GO:0005788)	0.00535334216412728
55	4	10	10	9388	8	external side of plasma membrane (GO:0009897)	6.4377127251525e-05
56	4	7	7	9388	0	NA (NA)	NA
57	4	23	23	9388	0	NA (NA)	NA
58	4	23	23	9388	6	neuronal cell body (GO:0043025)	0.00824132431007741
59	4	6	6	9388	2	external side of plasma membrane (GO:0009897)	0.000126840950937198
60	3	34	34	9388	8	Bcl-2 family protein complex (GO:0097136)	0.000593109193914637
61	3	0	0	9388	0		0
62	3	55	55	9388	10	caveola (GO:0005901)	7.1149070234679e-07
63	3	0	0	9388	0		0
64	3	35	35	9388	0	NA (NA)	NA
65	3	59	59	9388	0	NA (NA)	NA
66	3	21	21	9388	1	endosome lumen (GO:0031904)	0.00220301969787647
67	3	7	7	9388	0	NA (NA)	NA
68	3	29	29	9388	6	ion channel complex (GO:0034702)	0.00629016033481931
69	3	1	1	9388	0	NA (NA)	NA
70	3	5	5	9388	0	NA (NA)	NA
71	3	10	10	9388	0	NA (NA)	NA
72	3	172	172	9388	29	apical plasma membrane (GO:0016324)	2.43500957856129e-05
73	3	11	11	9388	1	dopaminergic synapse (GO:0098691)	0.00312947607805394
74	3	11	11	9388	0	NA (NA)	NA
75	3	6	6	9388	0	NA (NA)	NA
76	3	79	79	9388	17	mitochondrial respiratory chain complex IV (GO:0005751)	3.62428559886083e-09
77	3	11	11	9388	31	GABA receptor complex (GO:1902710)	1.20367635623505e-07
78	3	110	110	9388	9	Bcl-2 family protein complex (GO:0097136)	1.11511772790644e-05
79	3	8	8	9388	0	NA (NA)	NA
80	3	1253	1253	9388	48	cytosolic ribosome (GO:0022626)	1.70294611207453e-51
81	2	323	323	9388	44	membrane raft (GO:0045121)	3.87646493594688e-11
82	2	88	88	9388	9	caveola (GO:0005901)	4.08927159166134e-05
83	2	3	3	9388	0	NA (NA)	NA
84	2	15	15	9388	4	caveola (GO:0005901)	0.00962738586677024
85	2	1	1	9388	0	NA (NA)	NA
86	2	12	12	9388	17	pseudopodium (GO:0031143)	5.39902974706772e-05
87	2	20	20	9388	0	NA (NA)	NA
88	2	10	10	9388	5	apical plasma membrane (GO:0016324)	0.00332265745076791
89	2	18	18	9388	0	NA (NA)	NA
90	2	11	11	9388	0	NA (NA)	NA
91	2	3	3	9388	0	NA (NA)	NA
92	2	5	5	9388	5	apical part of cell (GO:0045177)	5.33839295694263e-05
93	2	85	85	9388	8	membrane raft (GO:0045121)	0.00109477878591391
94	2	61	61	9388	10	Bcl-2 family protein complex (GO:0097136)	4.96723463378327e-05
95	2	63	63	9388	7	collagen-containing extracellular matrix (GO:0062023)	3.0339563033659e-08
96	2	2	2	9388	0	NA (NA)	NA
97	2	16	16	9388	2	NADPH oxidase complex (GO:0043020)	0.00493767014997594
98	2	74	74	9388	15	membrane raft (GO:0045121)	8.41688561442459e-08
99	2	705	705	9388	36	Bcl-2 family protein complex (GO:0097136)	2.75837047042376e-07
100	2	4	4	9388	2	neuronal dense core vesicle (GO:0098992)	0.000463702210653809
101	2	20	20	9388	2	external side of plasma membrane (GO:0009897)	0.00020046859041027
102	2	7	7	9388	0	NA (NA)	NA
103	2	34	34	9388	3	plasma membrane protein complex (GO:0098797)	0.00978389786336072
104	2	220	220	9388	18	external encapsulating structure (GO:0030312)	5.04387010870406e-10
105	2	33	33	9388	7	Bcl-2 family protein complex (GO:0097136)	2.8269962398628e-06
106	2	11	11	9388	2	smooth endoplasmic reticulum (GO:0005790)	0.0096680920343285
107	2	100	100	9388	5	caveola (GO:0005901)	0.000936214628666121
108	2	30	30	9388	0	NA (NA)	NA
109	2	2	2	9388	0	NA (NA)	NA
110	2	11	11	9388	0	NA (NA)	NA
111	2	1	1	9388	0	NA (NA)	NA
112	2	49	49	9388	0	NA (NA)	NA
113	2	758	758	9388	48	focal adhesion (GO:0005925)	1.87640610058168e-09
114	2	0	0	9388	0		0
115	2	18	18	9388	1	endoplasmic reticulum lumen (GO:0005788)	0.00431601186524125
116	2	85	85	9388	4	Bcl-2 family protein complex (GO:0097136)	0.000245913446595134
117	2	107	107	9388	24	external side of plasma membrane (GO:0009897)	5.94765448545635e-12
118	2	25	25	9388	0	NA (NA)	NA
119	2	4	4	9388	14	GABA-A receptor complex (GO:1902711)	1.84651800659429e-07
120	2	56	56	9388	14	transcription regulator complex (GO:0005667)	1.22449239948465e-05
121	2	15	15	9388	1	Bcl-2 family protein complex (GO:0097136)	0.00521577471597299
122	2	88	88	9388	8	T cell receptor complex (GO:0042101)	0.000347597623933645
123	2	24	24	9388	4	apical part of cell (GO:0045177)	2.12026859331936e-06
124	2	6	6	9388	0	NA (NA)	NA
125	2	3	3	9388	1	peptidase inhibitor complex (GO:1904090)	0.00638501171470218
126	2	49	49	9388	0	NA (NA)	NA
127	2	4	4	9388	0	NA (NA)	NA
128	2	34	34	9388	4	membrane raft (GO:0045121)	0.000230368753098035
129	2	9	9	9388	0	NA (NA)	NA
130	2	44	44	9388	0	NA (NA)	NA
131	2	13	13	9388	0	NA (NA)	NA
132	2	9	9	9388	7	neuronal dense core vesicle (GO:0098992)	2.13762122757154e-05
133	2	205	205	9388	11	high-density lipoprotein particle (GO:0034364)	0.000108480554877122
134	2	24	24	9388	2	endoplasmic reticulum lumen (GO:0005788)	0.000154943180601232
135	2	74	74	9388	16	membrane raft (GO:0045121)	5.18910020040491e-05
136	2	21	21	9388	0	NA (NA)	NA
137	2	42	42	9388	5	caveola (GO:0005901)	0.000593586510249192
138	2	11	11	9388	0	NA (NA)	NA
