MeSH Disease ID	MeSH Disease Term
D017772	Amyloid Neuropathies
D028227	Amyloid Neuropathies, Familial
D000686	Amyloidosis
D028226	Amyloidosis, Familial
D000690	Amyotrophic Lateral Sclerosis
D000694	Anal Gland Neoplasms
D000707	Anaphylaxis
D000708	Anaplasia
D000711	Anaplasmataceae Infections
D000712	Anaplasmosis
D057868	Anastomotic Leak
D000724	Ancylostomiasis
D050030	Andersen Syndrome
D013734	Androgen-Insensitivity Syndrome
D000740	Anemia
D000741	Anemia, Aplastic
D029503	Anemia, Diamond-Blackfan
D000742	Anemia, Dyserythropoietic, Congenital
D000743	Anemia, Hemolytic
D000744	Anemia, Hemolytic, Autoimmune
D000745	Anemia, Hemolytic, Congenital
D000746	Anemia, Hemolytic, Congenital Nonspherocytic
D000747	Anemia, Hypochromic
D018798	Anemia, Iron-Deficiency
D000748	Anemia, Macrocytic
D000749	Anemia, Megaloblastic
D000750	Anemia, Myelophthisic
D000751	Anemia, Neonatal
D000752	Anemia, Pernicious
D000753	Anemia, Refractory
D000754	Anemia, Refractory, with Excess of Blasts
D000755	Anemia, Sickle Cell
D000756	Anemia, Sideroblastic
D000757	Anencephaly
D000783	Aneurysm
D000784	Aneurysm, Dissecting
D017541	Aneurysm, False
D000785	Aneurysm, Infected
D017542	Aneurysm, Ruptured
D017204	Angelman Syndrome
D000787	Angina Pectoris
D000788	Angina Pectoris, Variant
D000789	Angina, Unstable
D016888	Angiodysplasia
D000799	Angioedema
D054179	Angioedemas, Hereditary
D018322	Angiofibroma
D000793	Angioid Streaks
D000794	Angiokeratoma
D018206	Angiolipoma
D000796	Angiolymphoid Hyperplasia with Eosinophilia
D000798	Angiomatosis
D016917	Angiomatosis, Bacillary
D018207	Angiomyolipoma
D018229	Angiomyoma
D015783	Aniridia
D017129	Anisakiasis
D000839	Aniseikonia
D015875	Anisocoria
D015858	Anisometropia
D016512	Ankle Injuries
D000844	Ankylosis
D000848	Anodontia
D000849	Anomia
D000853	Anophthalmos
D000856	Anorexia Nervosa
D000858	Anovulation
D000868	Anterior Compartment Syndrome
D020759	Anterior Spinal Artery Syndrome
D056988	Anterior Wall Myocardial Infarction
D000874	Anthracosilicosis
D055008	Anthracosis
D000881	Anthrax
D019867	Anti-Glomerular Basement Membrane Disease
D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
D020132	Anticipation, Genetic
D016736	Antiphospholipid Syndrome
D000987	Antisocial Personality Disorder
D020152	Antithrombin III Deficiency
D054882	Antley-Bixler Syndrome Phenotype
D001002	Anuria
D001004	Anus Diseases
D001005	Anus Neoplasms
D001006	Anus, Imperforate
D001008	Anxiety Disorders
D001010	Anxiety, Separation
D001014	Aortic Aneurysm
D017544	Aortic Aneurysm, Abdominal
D017545	Aortic Aneurysm, Thoracic
D001015	Aortic Arch Syndromes
D001017	Aortic Coarctation
D001018	Aortic Diseases
D001019	Aortic Rupture
D001020	Aortic Stenosis, Subvalvular
D021921	Aortic Stenosis, Supravalvular
D001022	Aortic Valve Insufficiency
D001023	Aortic Valve Prolapse
D001024	Aortic Valve Stenosis
D001025	Aortitis
D001028	Aortopulmonary Septal Defect
D001035	Aphakia
D001036	Aphakia, Postcataract
D001037	Aphasia
D001039	Aphasia, Broca
D018886	Aphasia, Conduction
D018888	Aphasia, Primary Progressive
D001041	Aphasia, Wernicke
D001044	Aphonia
D001049	Apnea
D001063	Appendiceal Neoplasms
D001064	Appendicitis
D020240	Apraxia, Ideomotor
D001072	Apraxias
D001079	Apudoma
D001098	Arachnidism
D054119	Arachnodactyly
D016080	Arachnoid Cysts
D001100	Arachnoiditis
D001102	Arbovirus Infections
D001112	Arcus Senilis
D001117	Arenaviridae Infections
D001129	Argyria
D001134	Arm Injuries
D001139	Arnold-Chiari Malformation
D001146	Arrhythmia, Sinus
D001145	Arrhythmias, Cardiac
D019571	Arrhythmogenic Right Ventricular Dysplasia
D020261	Arsenic Poisoning
D001157	Arterial Occlusive Diseases
D001159	Arterio-Arterial Fistula
D050379	Arteriolosclerosis
D001161	Arteriosclerosis
D001162	Arteriosclerosis Obliterans
D001164	Arteriovenous Fistula
D001165	Arteriovenous Malformations
D001167	Arteritis
D018174	Arterivirus Infections
D018771	Arthralgia
D001168	Arthritis
D001169	Arthritis, Experimental
D015210	Arthritis, Gouty
D001170	Arthritis, Infectious
D001171	Arthritis, Juvenile Rheumatoid
D015535	Arthritis, Psoriatic
D016918	Arthritis, Reactive
D001172	Arthritis, Rheumatoid
D001176	Arthrogryposis
D001177	Arthropathy, Neurogenic
D001183	Arthus Reaction
D001184	Articulation Disorders
D001195	Asbestosis
D001196	Ascariasis
D001198	Ascaridiasis
D017191	Ascaridida Infections
D001201	Ascites
D001206	Ascorbic Acid Deficiency
D054880	Aspartylglucosaminuria
D020817	Asperger Syndrome
D001228	Aspergillosis
D001229	Aspergillosis, Allergic Bronchopulmonary
D001237	Asphyxia
D001238	Asphyxia Neonatorum
D001248	Asthenopia
D001249	Asthma
D055963	Asthma, Aspirin-Induced
D001250	Asthma, Exercise-Induced
D001251	Astigmatism
D001254	Astrocytoma
D019350	Astroviridae Infections
D001259	Ataxia
D001260	Ataxia Telangiectasia
D050197	Atherosclerosis
D001264	Athetosis
D001265	Athletic Injuries
D001281	Atrial Fibrillation
D001282	Atrial Flutter
D018880	Atrial Premature Complexes
D054537	Atrioventricular Block
D001284	Atrophy
D001289	Attention Deficit Disorder with Hyperactivity
D019958	Attention Deficit and Disruptive Behavior Disorders
D001304	Auditory Diseases, Central
D001308	Auditory Perceptual Disorders
D001321	Autistic Disorder
D001327	Autoimmune Diseases
D020274	Autoimmune Diseases of the Nervous System
D056735	Autoimmune Lymphoproliferative Syndrome
D001329	Autolysis
D020211	Autonomic Dysreflexia
D001342	Autonomic Nervous System Diseases
D001353	Avian Leukosis
D001361	Avitaminosis
D053713	Azoospermia
D053099	Azotemia
D001404	Babesiosis
D016863	Bacillaceae Infections
D019567	Back Injuries
D001416	Back Pain
D016470	Bacteremia
D001424	Bacterial Infections
D001437	Bacteriuria
D016866	Bacteroidaceae Infections
D001442	Bacteroides Infections
D001446	Balanitis
D001447	Balantidiasis
D001449	Balkan Nephropathy
D020788	Bardet-Biedl Syndrome
D001469	Barotrauma
D001471	Barrett Esophagus
D001474	Bartonella Infections
D001477	Bartter Syndrome
D001478	Basal Cell Nevus Syndrome
D020144	Basal Ganglia Cerebrovascular Disease
D001480	Basal Ganglia Diseases
D020145	Basal Ganglia Hemorrhage
D001506	Beckwith-Wiedemann Syndrome
D001528	Behcet Syndrome
D020330	Bell Palsy
D001602	Beriberi
D001606	Bernard-Soulier Syndrome
D001607	Berylliosis
D001630	Bezoars
D001649	Bile Duct Diseases
D001650	Bile Duct Neoplasms
D001655	Bile Reflux
D001656	Biliary Atresia
D001657	Biliary Dyskinesia
D001658	Biliary Fistula
D001660	Biliary Tract Diseases
D001661	Biliary Tract Neoplasms
D056912	Binge-Eating Disorder
D028921	Biotinidase Deficiency
D001714	Bipolar Disorder
D001716	Bird Fancier's Lung
D018175	Birnaviridae Infections
D001720	Birth Injuries
D001733	Bites and Stings
D001734	Bites, Human
D001742	Blackwater Fever
D001746	Bladder Exstrophy
D001752	Blast Crisis
D001753	Blast Injuries
D016776	Blastocystis Infections
D001759	Blastomycosis
D001762	Blepharitis
D016569	Blepharophimosis
D001763	Blepharoptosis
D001764	Blepharospasm
D001765	Blind Loop Syndrome
D001766	Blindness
D019575	Blindness, Cortical
D001768	Blister
D001778	Blood Coagulation Disorders
D025861	Blood Coagulation Disorders, Inherited
D001787	Blood Group Incompatibility
D016063	Blood Loss, Surgical
D001791	Blood Platelet Disorders
D001796	Blood Protein Disorders
D001816	Bloom Syndrome
D018438	Blue Toe Syndrome
D001819	Bluetongue
D057215	Body Dysmorphic Disorders
D001845	Bone Cysts
D017824	Bone Cysts, Aneurysmal
D018488	Bone Demineralization, Pathologic
D001847	Bone Diseases
D001848	Bone Diseases, Developmental
D001849	Bone Diseases, Endocrine
D001850	Bone Diseases, Infectious
D001851	Bone Diseases, Metabolic
D017760	Bone Malalignment
D001855	Bone Marrow Diseases
D019046	Bone Marrow Neoplasms
D001859	Bone Neoplasms
D001862	Bone Resorption
D001882	Border Disease
D001883	Borderline Personality Disorder
D001885	Bordetella Infections
D001890	Borna Disease
D001899	Borrelia Infections
D001906	Botulism
D001907	Boutonneuse Fever
D048090	Bovine Respiratory Disease Complex
D001912	Bovine Virus Diarrhea-Mucosal Disease
D001913	Bowen's Disease
D020968	Brachial Plexus Neuritis
D020516	Brachial Plexus Neuropathies
D001919	Bradycardia
D001922	Brain Abscess
D001924	Brain Concussion
D001925	Brain Damage, Chronic
D001926	Brain Death
D001927	Brain Diseases
D001928	Brain Diseases, Metabolic
D020739	Brain Diseases, Metabolic, Inborn
D001929	Brain Edema
D020201	Brain Hemorrhage, Traumatic
D020520	Brain Infarction
D001930	Brain Injuries
D020208	Brain Injury, Chronic
D002545	Brain Ischemia
D001932	Brain Neoplasms
D020203	Brain Stem Hemorrhage, Traumatic
D020526	Brain Stem Infarctions
D020295	Brain Stem Neoplasms
D019280	Branchio-Oto-Renal Syndrome
D001935	Branchioma
D001941	Breast Diseases
D001943	Breast Neoplasms
D018567	Breast Neoplasms, Male
D001946	Breech Presentation
D001948	Brenner Tumor
D001982	Bronchial Diseases
D001983	Bronchial Fistula
D016535	Bronchial Hyperreactivity
D001984	Bronchial Neoplasms
D001986	Bronchial Spasm
D001987	Bronchiectasis
D001988	Bronchiolitis
D001989	Bronchiolitis Obliterans
D001990	Bronchiolitis, Viral
D001991	Bronchitis
D029481	Bronchitis, Chronic
D001994	Bronchogenic Cyst
D055091	Bronchomalacia
D001996	Bronchopneumonia
D001997	Bronchopulmonary Dysplasia
D001998	Bronchopulmonary Sequestration
D018437	Brown-Sequard Syndrome
D002006	Brucellosis
D002007	Brucellosis, Bovine
D053840	Brugada Syndrome
D002012	Bruxism
D006502	Budd-Chiari Syndrome
D010244	Bulbar Palsy, Progressive
D055534	Bulbo-Spinal Atrophy, X-Linked
D052018	Bulimia Nervosa
D002037	Bundle-Branch Block
D002044	Bunyaviridae Infections
D019121	Burkholderia Infections
D002051	Burkitt Lymphoma
D002054	Burning Mouth Syndrome
D002056	Burns
D002057	Burns, Chemical
D002058	Burns, Electric
D002059	Burns, Inhalation
D002062	Bursitis
D054312	Buruli Ulcer
D002095	Byssinosis
D046589	CADASIL
D017675	CREST Syndrome
D002105	Cadmium Poisoning
D019080	Cafe-au-Lait Spots
D002114	Calcinosis
D002115	Calciphylaxis
D002128	Calcium Metabolism Disorders
D002137	Calculi
D017250	Caliciviridae Infections
D002145	Callosities
D002169	Campylobacter Infections
D003966	Camurati-Engelmann Syndrome
D017825	Canavan Disease
D002177	Candidiasis
D002178	Candidiasis, Chronic Mucocutaneous
D002179	Candidiasis, Cutaneous
D002180	Candidiasis, Oral
D002181	Candidiasis, Vulvovaginal
D002194	Capgras Syndrome
D019559	Capillary Leak Syndrome
D058442	Capsule Opacification
D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
D002239	Carbohydrate Metabolism, Inborn Errors
D002249	Carbon Monoxide Poisoning
D002252	Carbon Tetrachloride Poisoning
D002270	Carbuncle
D002275	Carcinoid Heart Disease
D002276	Carcinoid Tumor
D002277	Carcinoma
D002279	Carcinoma 256, Walker
D002278	Carcinoma in Situ
D018267	Carcinoma, Acinar Cell
D003528	Carcinoma, Adenoid Cystic
D018196	Carcinoma, Adenosquamous
D002280	Carcinoma, Basal Cell
D002281	Carcinoma, Basosquamous
D002283	Carcinoma, Bronchogenic
D002284	Carcinoma, Brown-Pearce
D044584	Carcinoma, Ductal
D018270	Carcinoma, Ductal, Breast
D002286	Carcinoma, Ehrlich Tumor
D018236	Carcinoma, Embryonal
D018269	Carcinoma, Endometrioid
D018286	Carcinoma, Giant Cell
D006528	Carcinoma, Hepatocellular
D002285	Carcinoma, Intraductal, Noninfiltrating
D018273	Carcinoma, Islet Cell
D002287	Carcinoma, Krebs 2
D018287	Carcinoma, Large Cell
D018827	Carcinoma, Lewis Lung
D018275	Carcinoma, Lobular
D018276	Carcinoma, Medullary
D015266	Carcinoma, Merkel Cell
D018277	Carcinoma, Mucoepidermoid
D018278	Carcinoma, Neuroendocrine
D002289	Carcinoma, Non-Small-Cell Lung
D021441	Carcinoma, Pancreatic Ductal
D002291	Carcinoma, Papillary
D018265	Carcinoma, Papillary, Follicular
D002292	Carcinoma, Renal Cell
D018279	Carcinoma, Signet Ring Cell
D018280	Carcinoma, Skin Appendage
D018288	Carcinoma, Small Cell
D002294	Carcinoma, Squamous Cell
D002295	Carcinoma, Transitional Cell
D018289	Carcinoma, Verrucous
D002296	Carcinosarcoma
D005117	Cardiac Complexes, Premature
D016534	Cardiac Output, High
D002303	Cardiac Output, Low
D002305	Cardiac Tamponade
D006332	Cardiomegaly
D009202	Cardiomyopathies
D002310	Cardiomyopathy, Alcoholic
D002311	Cardiomyopathy, Dilated
D002312	Cardiomyopathy, Hypertrophic
D024741	Cardiomyopathy, Hypertrophic, Familial
D002313	Cardiomyopathy, Restrictive
D018376	Cardiovascular Abnormalities
D018188	Cardiovirus Infections
D016767	Caroli Disease
D002340	Carotid Artery Diseases
D020212	Carotid Artery Injuries
D002341	Carotid Artery Thrombosis
D020215	Carotid Artery, Internal, Dissection
D002345	Carotid Body Tumor
D016893	Carotid Stenosis
D020216	Carotid-Cavernous Sinus Fistula
D002349	Carpal Tunnel Syndrome
D002357	Cartilage Diseases
D002372	Cat-Scratch Disease
D002375	Catalepsy
D002385	Cataplexy
D002386	Cataract
D002388	Catastrophic Illness
D002389	Catatonia
D055499	Catheter-Related Infections
D002422	Causalgia
D020226	Cavernous Sinus Thrombosis
D002429	Cecal Diseases
D002430	Cecal Neoplasms
D002446	Celiac Disease
D002471	Cell Transformation, Neoplastic
D002472	Cell Transformation, Viral
D002481	Cellulitis
D002485	Cementoma
D020210	Central Cord Syndrome
D020806	Central Nervous System Bacterial Infections
D020863	Central Nervous System Cysts
D002493	Central Nervous System Diseases
D020314	Central Nervous System Fungal Infections
D020809	Central Nervous System Helminthiasis
D002494	Central Nervous System Infections
D016543	Central Nervous System Neoplasms
D020807	Central Nervous System Parasitic Infections
D020808	Central Nervous System Protozoal Infections
D020785	Central Nervous System Vascular Malformations
D020787	Central Nervous System Venous Angioma
D020805	Central Nervous System Viral Diseases
D056833	Central Serous Chorioretinopathy
D052178	Cephalopelvic Disproportion
D002524	Cerebellar Ataxia
D002526	Cerebellar Diseases
D002528	Cerebellar Neoplasms
D016657	Cerebral Amyloid Angiopathy
D028243	Cerebral Amyloid Angiopathy, Familial
D002539	Cerebral Arterial Diseases
D002543	Cerebral Hemorrhage
D020202	Cerebral Hemorrhage, Traumatic
D002544	Cerebral Infarction
D002547	Cerebral Palsy
D002551	Cerebral Ventricle Neoplasms
D058565	Cerebral Ventriculitis
D002558	Cerebrospinal Fluid Otorrhea
D002559	Cerebrospinal Fluid Rhinorrhea
D002561	Cerebrovascular Disorders
D020214	Cerebrovascular Trauma
D018290	Cervical Intraepithelial Neoplasia
D002573	Cervical Rib Syndrome
D002590	Cestode Infections
D002598	Chagas Cardiomyopathy
D014355	Chagas Disease
D017043	Chalazion
D002601	Chancre
D002602	Chancroid
D053447	Channelopathies
D002607	Charcot-Marie-Tooth Disease
D002609	Chediak-Higashi Syndrome
D002613	Cheilitis
D002636	Cherubism
D002639	Cheyne-Stokes Respiration
D002640	Chiari-Frommel Syndrome
D002644	Chickenpox
D002647	Chilblains
D002653	Child Behavior Disorders
D002659	Child Development Disorders, Pervasive
D015362	Child Nutrition Disorders
D002690	Chlamydia Infections
D023521	Chlamydophila Infections
D002754	Choanal Atresia
D018281	Cholangiocarcinoma
D002761	Cholangitis
D015209	Cholangitis, Sclerosing
D002764	Cholecystitis
D041881	Cholecystitis, Acute
D041761	Cholecystolithiasis
D015529	Choledochal Cyst
D042883	Choledocholithiasis
D002769	Cholelithiasis
D002771	Cholera
D002779	Cholestasis
D001651	Cholestasis, Extrahepatic
D002780	Cholestasis, Intrahepatic
D002781	Cholesteatoma
D018424	Cholesteatoma, Middle Ear
D015217	Cholesterol Ester Storage Disease
D002796	Choline Deficiency
D002804	Chondroblastoma
D002805	Chondrocalcinosis
D002806	Chondrodysplasia Punctata
D018902	Chondrodysplasia Punctata, Rhizomelic
D002812	Chondroma
D046789	Chondromalacia Patellae
D018210	Chondromatosis
D015838	Chondromatosis, Synovial
D002813	Chondrosarcoma
D018211	Chondrosarcoma, Mesenchymal
D002817	Chordoma
D002819	Chorea
D020150	Chorea Gravidarum
D002821	Chorioamnionitis
D002822	Choriocarcinoma
D002825	Chorioretinitis
D002828	Choristoma
D015862	Choroid Diseases
D002832	Choroid Hemorrhage
D002830	Choroid Neoplasms
D016545	Choroid Plexus Neoplasms
D020256	Choroidal Neovascularization
D015794	Choroideremia
D002833	Choroiditis
D002862	Chromoblastomycosis
D043171	Chromosomal Instability
D002869	Chromosome Aberrations
D019457	Chromosome Breakage
D025063	Chromosome Disorders
D058674	Chromosome Duplication
D002873	Chromosome Fragility
D007446	Chromosome Inversion
D002908	Chronic Disease
D055113	Chronic Periodontitis
D021081	Chronobiology Disorders
D015267	Churg-Strauss Syndrome
D002916	Chylothorax
D002915	Chylous Ascites
D002921	Cicatrix
D017439	Cicatrix, Hypertrophic
D036841	Ciguatera Poisoning
D002925	Ciliary Motility Disorders
D018173	Circoviridae Infections
D020159	Citrullinemia
D054221	Classical Lissencephalies and Subcortical Band Heterotopias
D006691	Classical Swine Fever
D002971	Cleft Lip
D002972	Cleft Palate
D002973	Cleidocranial Dysplasia
D003003	Clonorchiasis
D003015	Clostridium Infections
D003025	Clubfoot
D003027	Cluster Headache
D020147	Coagulation Protein Disorders
D019970	Cocaine-Related Disorders
D003047	Coccidioidomycosis
D003048	Coccidiosis
D015834	Cochlear Diseases
D003057	Cockayne Syndrome
D038921	Coffin-Lowry Syndrome
D055952	Cogan Syndrome
D003072	Cognition Disorders
D003092	Colitis
D046729	Colitis, Collagenous
D017091	Colitis, Ischemic
D046730	Colitis, Lymphocytic
D046728	Colitis, Microscopic
D003093	Colitis, Ulcerative
D003095	Collagen Diseases
D003100	Colles' Fracture
D056364	Colloid Cysts
D003103	Coloboma
D003108	Colonic Diseases
D003109	Colonic Diseases, Functional
D003110	Colonic Neoplasms
D003111	Colonic Polyps
D003112	Colonic Pseudo-Obstruction
D003117	Color Vision Defects
D003121	Colorado Tick Fever
D015179	Colorectal Neoplasms
D003123	Colorectal Neoplasms, Hereditary Nonpolyposis
D003128	Coma
D020207	Coma, Post-Head Injury
D003130	Combat Disorders
D003137	Common Bile Duct Diseases
D003138	Common Bile Duct Neoplasms
D003139	Common Cold
D017074	Common Variable Immunodeficiency
D003141	Communicable Diseases
D021821	Communicable Diseases, Emerging
D003147	Communication Disorders
D017714	Community-Acquired Infections
D003161	Compartment Syndromes
D020918	Complex Regional Pain Syndromes
D003193	Compulsive Personality Disorder
D019955	Conduct Disorder
D003218	Condylomata Acuminata
D003221	Confusion
D000013	Congenital Abnormalities
D018981	Congenital Disorders of Glycosylation
D003409	Congenital Hypothyroidism
D003229	Conjunctival Diseases
D003230	Conjunctival Neoplasms
D003231	Conjunctivitis
D003232	Conjunctivitis, Acute Hemorrhagic
D003233	Conjunctivitis, Allergic
D003234	Conjunctivitis, Bacterial
D003235	Conjunctivitis, Inclusion
D003236	Conjunctivitis, Viral
D003240	Connective Tissue Diseases
D003244	Consciousness Disorders
D003251	Constriction, Pathologic
D003286	Contracture
D003288	Contusions
D003289	Convalescence
D003291	Conversion Disorder
D003303	Coprophagia
D046349	Coproporphyria, Hereditary
D003310	Cor Triatriatum
D003316	Corneal Diseases
D003317	Corneal Dystrophies, Hereditary
D015715	Corneal Edema
D055954	Corneal Endothelial Cell Loss
D016510	Corneal Neovascularization
D003318	Corneal Opacity
D003320	Corneal Ulcer
D057108	Corneal Wavefront Aberration
D003323	Coronary Aneurysm
D003324	Coronary Artery Disease
D003327	Coronary Disease
D054059	Coronary Occlusion
D023903	Coronary Restenosis
D023921	Coronary Stenosis
D003328	Coronary Thrombosis
D003329	Coronary Vasospasm
D003330	Coronary Vessel Anomalies
D058686	Coronary-Subclavian Steal Syndrome
D003333	Coronaviridae Infections
D018352	Coronavirus Infections
D003354	Corynebacterium Infections
D003371	Cough
D015605	Cowpox
D003384	Coxsackievirus Infections
D003387	Cracked Tooth Syndrome
D003389	Cranial Nerve Diseases
D020209	Cranial Nerve Injuries
D003390	Cranial Nerve Neoplasms
D006259	Craniocerebral Trauma
D019465	Craniofacial Abnormalities
D003394	Craniofacial Dysostosis
D017271	Craniomandibular Disorders
D003397	Craniopharyngioma
D003398	Craniosynostoses
D007562	Creutzfeldt-Jakob Syndrome
D003410	Cri-du-Chat Syndrome
D003414	Crigler-Najjar Syndrome
D016638	Critical Illness
D003424	Crohn Disease
D003428	Cross Infection
D003440	Croup
D003444	Crush Syndrome
D003449	Cryoglobulinemia
D056587	Cryopyrin-Associated Periodic Syndromes
D003453	Cryptococcosis
D018549	Cryptogenic Organizing Pneumonia
D003456	Cryptorchidism
D003457	Cryptosporidiosis
D020430	Cubital Tunnel Syndrome
D012090	Cumulative Trauma Disorders
D003480	Cushing Syndrome
D017577	Cutaneous Fistula
D003483	Cutis Laxa
D021866	Cyclosporiasis
D003527	Cyclothymic Disorder
D003536	Cystadenocarcinoma
D018282	Cystadenocarcinoma, Mucinous
D018283	Cystadenocarcinoma, Papillary
D018284	Cystadenocarcinoma, Serous
D003537	Cystadenoma
D018291	Cystadenoma, Mucinous
D018292	Cystadenoma, Papillary
D018293	Cystadenoma, Serous
D015615	Cystic Adenomatoid Malformation of Lung, Congenital
D003550	Cystic Fibrosis
D003551	Cysticercosis
D003554	Cystinosis
D003555	Cystinuria
D003556	Cystitis
D018856	Cystitis, Interstitial
D052858	Cystocele
D003560	Cysts
D030401	Cytochrome-c Oxidase Deficiency
D003586	Cytomegalovirus Infections
D017726	Cytomegalovirus Retinitis
D049914	DNA Repair-Deficiency Disorders
D004266	DNA Virus Infections
D003607	Dacryocystitis
