MeSH Disease ID	MeSH Disease Term	MeSH Symptom ID	MeSH Symptom Term	TFIDF score	PubMed occurrence
D000787	Angina Pectoris	D000334	Aerophagy	8.141374586216566	2
D000787	Angina Pectoris	D000787	Angina Pectoris	21323.939227729094	14679
D000787	Angina Pectoris	D000788	Angina Pectoris, Variant	1587.2512369099795	486
D000787	Angina Pectoris	D000789	Angina, Unstable	2038.4872033558026	909
D000787	Angina Pectoris	D000860	Anoxia	35.069600009761444	35
D000787	Angina Pectoris	D001247	Asthenia	2.0632192510535368	1
D000787	Angina Pectoris	D001259	Ataxia	1.2196597127769402	1
D000787	Angina Pectoris	D001416	Back Pain	5.734642595896907	5
D000787	Angina Pectoris	D001835	Body Weight	10.632623261487712	31
D000787	Angina Pectoris	D016534	Cardiac Output, High	3.836493905607489	1
D000787	Angina Pectoris	D002303	Cardiac Output, Low	17.142365196445187	8
D000787	Angina Pectoris	D002637	Chest Pain	383.7467297944159	349
D000787	Angina Pectoris	D003085	Colic	4.269494632745641	2
D000787	Angina Pectoris	D003221	Confusion	1.5089482112769952	1
D000787	Angina Pectoris	D003248	Constipation	12.751323948212473	8
D000787	Angina Pectoris	D003371	Cough	2.6294583021926647	2
D000787	Angina Pectoris	D003638	Deafness	1.2285271630622612	1
D000787	Angina Pectoris	D003967	Diarrhea	1.8463762621646207	2
D000787	Angina Pectoris	D004244	Dizziness	32.21931413787549	24
D000787	Angina Pectoris	D004415	Dyspepsia	4.164104398773258	2
D000787	Angina Pectoris	D004417	Dyspnea	41.2140889431243	41
D000787	Angina Pectoris	D004418	Dyspnea, Paroxysmal	15.008934247958994	4
D000787	Angina Pectoris	D004487	Edema	4.7670247528230565	8
D000787	Angina Pectoris	D005132	Eye Manifestations	1.5078769738954958	1
D000787	Angina Pectoris	D005157	Facial Pain	15.778628738369939	8
D000787	Angina Pectoris	D005221	Fatigue	26.17430257699287	23
D000787	Angina Pectoris	D005334	Fever	0.6189376322832968	1
D000787	Angina Pectoris	D005414	Flatulence	3.1378672592829178	1
D000787	Angina Pectoris	D005483	Flushing	5.2280242704531865	2
D000787	Angina Pectoris	D006212	Hallucinations	3.4465763686488904	2
D000787	Angina Pectoris	D006261	Headache	50.420162518577754	57
D000787	Angina Pectoris	D006337	Heart Murmurs	14.18050278862289	6
D000787	Angina Pectoris	D006356	Heartburn	9.53060825125856	3
D000787	Angina Pectoris	D006396	Hematemesis	4.171723455606593	2
D000787	Angina Pectoris	D006429	Hemiplegia	3.8838970886760484	3
D000787	Angina Pectoris	D006469	Hemoptysis	5.091223090610749	3
D000787	Angina Pectoris	D006685	Hoarseness	2.2161269226411977	1
D000787	Angina Pectoris	D006941	Hyperesthesia	2.694864231855688	1
D000787	Angina Pectoris	D006948	Hyperkinesis	2.341000252522606	1
D000787	Angina Pectoris	D006985	Hyperventilation	67.36416469341356	32
D000787	Angina Pectoris	D006987	Hypesthesia	1.7219610441163826	1
D000787	Angina Pectoris	D007383	Intermittent Claudication	73.2040056681052	33
D000787	Angina Pectoris	D008569	Memory Disorders	1.4679976076638996	1
D000787	Angina Pectoris	D009120	Muscle Cramp	8.970240718837413	4
D000787	Angina Pectoris	D009123	Muscle Hypotonia	1.6565111347057753	1
D000787	Angina Pectoris	D009128	Muscle Spasticity	3.4545604111879653	2
D000787	Angina Pectoris	D009222	Myotonia	3.0540485873998464	1
D000787	Angina Pectoris	D009325	Nausea	12.526283815805538	11
D000787	Angina Pectoris	D019547	Neck Pain	3.9175840131574176	2
D000787	Angina Pectoris	D009437	Neuralgia	1.5383141060813592	1
D000787	Angina Pectoris	D009461	Neurologic Manifestations	0.20982423952600315	3
D000787	Angina Pectoris	D009765	Obesity	36.63236067196939	44
D000787	Angina Pectoris	D050177	Overweight	0.8238720995508412	1
D000787	Angina Pectoris	D010146	Pain	99.47478600648351	302
D000787	Angina Pectoris	D010148	Pain, Intractable	29.894750569904822	15
D000787	Angina Pectoris	D053591	Pain, Referred	8.00709598054131	2
D000787	Angina Pectoris	D010243	Paralysis	2.422356887414242	5
D000787	Angina Pectoris	D020335	Paraparesis	2.2358860726216605	1
D000787	Angina Pectoris	D010292	Paresthesia	1.358018146149779	1
D000787	Angina Pectoris	D010591	Phantom Limb	16.14679799853792	5
D000787	Angina Pectoris	D011141	Polyuria	2.360901406839901	1
D000787	Angina Pectoris	D011507	Proteinuria	1.248977773533552	1
D000787	Angina Pectoris	D011537	Pruritus	1.4659421084818036	1
D000787	Angina Pectoris	D011596	Psychomotor Disorders	1.3316409916371097	1
D000787	Angina Pectoris	D011602	Psychophysiologic Disorders	59.30022536613912	40
D000787	Angina Pectoris	D011696	Purpura, Thrombocytopenic	1.4149055205518302	1
D000787	Angina Pectoris	D016553	Purpura, Thrombocytopenic, Idiopathic	3.867788909913964	2
D000787	Angina Pectoris	D012021	Reflex, Abnormal	1.4071309430046999	1
D000787	Angina Pectoris	D012133	Respiratory Paralysis	2.4894202576408797	1
D000787	Angina Pectoris	D012135	Respiratory Sounds	1.6392693282712694	1
D000787	Angina Pectoris	D012640	Seizures	0.8451669255214139	1
D000787	Angina Pectoris	D020069	Shoulder Pain	4.840854772307857	2
D000787	Angina Pectoris	D012892	Sleep Deprivation	2.5759122889943233	1
D000787	Angina Pectoris	D012893	Sleep Disorders	16.422988008562484	11
D000787	Angina Pectoris	D012913	Snoring	5.520209507448177	2
D000787	Angina Pectoris	D013035	Spasm	157.23690922969618	115
D000787	Angina Pectoris	D013575	Syncope	58.144765673660345	39
D000787	Angina Pectoris	D013746	Tetany	2.3812066730006465	1
D000787	Angina Pectoris	D013851	Thinness	2.6705996098560565	1
D000787	Angina Pectoris	D014098	Toothache	16.383493886746603	6
D000787	Angina Pectoris	D014202	Tremor	3.4787055736565042	2
D000787	Angina Pectoris	D014549	Urinary Incontinence	1.6175293416348633	1
D000787	Angina Pectoris	D014717	Vertigo	17.558771375063365	11
D000787	Angina Pectoris	D014786	Vision Disorders	1.3269788637358182	2
D000787	Angina Pectoris	D014839	Vomiting	4.217563327126937	5
D000787	Angina Pectoris	D015431	Weight Loss	4.000214845524699	4
D000789	Angina, Unstable	D015746	Abdominal Pain	0.8484836781474079	1
D000789	Angina, Unstable	D054058	Acute Coronary Syndrome	179.25926940890992	69
D000789	Angina, Unstable	D000787	Angina Pectoris	1183.9369487430486	815
D000789	Angina, Unstable	D000788	Angina Pectoris, Variant	65.31898094279751	20
D000789	Angina, Unstable	D000789	Angina, Unstable	10028.729123660229	4472
D000789	Angina, Unstable	D000860	Anoxia	4.0079542868298805	4
D000789	Angina, Unstable	D001247	Asthenia	2.0632192510535368	1
D000789	Angina, Unstable	D001416	Back Pain	2.2938570383587638	2
D000789	Angina, Unstable	D001835	Body Weight	2.7439027771581204	8
D000789	Angina, Unstable	D002303	Cardiac Output, Low	14.99956954688954	7
D000789	Angina, Unstable	D002637	Chest Pain	138.54466462491806	126
D000789	Angina, Unstable	D003371	Cough	1.3147291510963324	1
D000789	Angina, Unstable	D004244	Dizziness	4.027414267234437	3
D000789	Angina, Unstable	D004415	Dyspepsia	2.082052199386629	1
D000789	Angina, Unstable	D004417	Dyspnea	9.046995133856553	9
D000789	Angina, Unstable	D004418	Dyspnea, Paroxysmal	3.7522335619897484	1
D000789	Angina, Unstable	D004438	Ecchymosis	2.2999812330780607	1
D000789	Angina, Unstable	D004487	Edema	0.5958780941028821	1
D000789	Angina, Unstable	D005221	Fatigue	3.4140394665642875	3
D000789	Angina, Unstable	D005334	Fever	1.2378752645665936	2
D000789	Angina, Unstable	D003639	Hearing Loss, Sudden	2.5853020293441618	1
D000789	Angina, Unstable	D006985	Hyperventilation	2.1051301466691736	1
D000789	Angina, Unstable	D006987	Hypesthesia	1.7219610441163826	1
D000789	Angina, Unstable	D009325	Nausea	2.27750614832828	2
D000789	Angina, Unstable	D019547	Neck Pain	3.9175840131574176	2
D000789	Angina, Unstable	D009765	Obesity	9.158090167992347	11
D000789	Angina, Unstable	D009886	Ophthalmoplegia	1.3298472691830825	1
D000789	Angina, Unstable	D010146	Pain	4.611413920830361	14
D000789	Angina, Unstable	D010148	Pain, Intractable	1.992983371326988	1
D000789	Angina, Unstable	D010292	Paresthesia	1.358018146149779	1
D000789	Angina, Unstable	D018458	Persistent Vegetative State	3.095079984077709	1
D000789	Angina, Unstable	D011507	Proteinuria	1.248977773533552	1
D000789	Angina, Unstable	D011595	Psychomotor Agitation	2.2425601797093533	1
D000789	Angina, Unstable	D011696	Purpura, Thrombocytopenic	1.4149055205518302	1
D000789	Angina, Unstable	D016553	Purpura, Thrombocytopenic, Idiopathic	1.9338944549569816	1
D000789	Angina, Unstable	D012678	Sensation Disorders	0.3433219042716397	1
D000789	Angina, Unstable	D020069	Shoulder Pain	2.4204273861539285	1
D000789	Angina, Unstable	D013035	Spasm	1.3672774715625755	1
D000789	Angina, Unstable	D013575	Syncope	4.4726742825892565	3
D000789	Angina, Unstable	D014839	Vomiting	0.8435126654253875	1
D000789	Angina, Unstable	D015431	Weight Loss	2.0001074227623494	2
D055008	Anthracosis	D004417	Dyspnea	1.005221681539617	1
D055008	Anthracosis	D005221	Fatigue	1.1380131555214292	1
D001014	Aortic Aneurysm	D000006	Abdomen, Acute	35.94000326198821	25
D001014	Aortic Aneurysm	D015746	Abdominal Pain	10.181804137768896	12
D001014	Aortic Aneurysm	D054058	Acute Coronary Syndrome	23.381643835944768	9
D001014	Aortic Aneurysm	D000647	Amnesia	4.342972284037155	2
D001014	Aortic Aneurysm	D020324	Amnesia, Anterograde	4.070687293108283	1
D001014	Aortic Aneurysm	D000648	Amnesia, Retrograde	6.7971870434923405	2
D001014	Aortic Aneurysm	D020236	Amnesia, Transient Global	12.296574510224938	3
D001014	Aortic Aneurysm	D000787	Angina Pectoris	37.769767689962286	26
D001014	Aortic Aneurysm	D000789	Angina, Unstable	20.183041617384177	9
D001014	Aortic Aneurysm	D000860	Anoxia	6.011931430244822	6
D001014	Aortic Aneurysm	D001041	Aphasia, Wernicke	3.4953231482047213	1
D001014	Aortic Aneurysm	D001416	Back Pain	43.58328372881649	38
D001014	Aortic Aneurysm	D001766	Blindness	2.1962767100198994	2
D001014	Aortic Aneurysm	D001835	Body Weight	1.7149392357238251	5
D001014	Aortic Aneurysm	D018437	Brown-Sequard Syndrome	3.535169056751921	1
D001014	Aortic Aneurysm	D002303	Cardiac Output, Low	12.856773897333891	6
D001014	Aortic Aneurysm	D002637	Chest Pain	100.06003556244082	91
D001014	Aortic Aneurysm	D003085	Colic	14.94323121460974	7
D001014	Aortic Aneurysm	D003128	Coma	2.624169625686484	2
D001014	Aortic Aneurysm	D003221	Confusion	4.526844633830986	3
D001014	Aortic Aneurysm	D003244	Consciousness Disorders	2.6313878286731183	3
D001014	Aortic Aneurysm	D003371	Cough	3.944187453288997	3
D001014	Aortic Aneurysm	D003490	Cyanosis	3.4868191750477324	2
D001014	Aortic Aneurysm	D003638	Deafness	2.4570543261245223	2
D001014	Aortic Aneurysm	D003967	Diarrhea	1.8463762621646207	2
D001014	Aortic Aneurysm	D004244	Dizziness	6.7123571120573935	5
D001014	Aortic Aneurysm	D004401	Dysarthria	2.0265851178737564	1
D001014	Aortic Aneurysm	D004417	Dyspnea	53.276749121599714	53
D001014	Aortic Aneurysm	D004438	Ecchymosis	4.5999624661561205	2
D001014	Aortic Aneurysm	D004487	Edema	5.362902846925938	9
D001014	Aortic Aneurysm	D005158	Facial Paralysis	1.357096911630458	1
D001014	Aortic Aneurysm	D005221	Fatigue	4.552052622085717	4
D001014	Aortic Aneurysm	D005316	Fetal Distress	2.588451638247058	1
D001014	Aortic Aneurysm	D005334	Fever	8.046189219682859	13
D001014	Aortic Aneurysm	D005335	Fever of Unknown Origin	27.98994341674984	19
D001014	Aortic Aneurysm	D005414	Flatulence	3.1378672592829178	1
D001014	Aortic Aneurysm	D006261	Headache	4.422821273559453	5
D001014	Aortic Aneurysm	D006311	Hearing Disorders	1.4700331499131865	2
D001014	Aortic Aneurysm	D006312	Hearing Loss, Bilateral	2.2117885210426	1
D001014	Aortic Aneurysm	D006319	Hearing Loss, Sensorineural	1.2148558604642947	1
D001014	Aortic Aneurysm	D006337	Heart Murmurs	54.358594023054415	23
D001014	Aortic Aneurysm	D006396	Hematemesis	22.944479005836268	11
D001014	Aortic Aneurysm	D006429	Hemiplegia	7.767794177352097	6
D001014	Aortic Aneurysm	D006469	Hemoptysis	42.42685908842292	25
D001014	Aortic Aneurysm	D006606	Hiccup	2.953725865771977	1
D001014	Aortic Aneurysm	D006685	Hoarseness	26.59352307169437	12
D001014	Aortic Aneurysm	D006732	Horner Syndrome	4.419252716076209	2
D001014	Aortic Aneurysm	D006935	Hypercapnia	2.1109838219206343	1
D001014	Aortic Aneurysm	D007035	Hypothermia	1.9454362153971527	1
D001014	Aortic Aneurysm	D007383	Intermittent Claudication	44.36606404127586	20
D001014	Aortic Aneurysm	D007565	Jaundice	1.4547117709522501	1
D001014	Aortic Aneurysm	D017116	Low Back Pain	1.5904210228767852	1
D001014	Aortic Aneurysm	D008607	Mental Retardation	3.621786736290857	4
D001014	Aortic Aneurysm	D009123	Muscle Hypotonia	4.9695334041173265	3
D001014	Aortic Aneurysm	D018908	Muscle Weakness	8.936919735325757	9
D001014	Aortic Aneurysm	D009133	Muscular Atrophy	2.9216435391876563	2
D001014	Aortic Aneurysm	D019547	Neck Pain	3.9175840131574176	2
D001014	Aortic Aneurysm	D009437	Neuralgia	4.6149423182440765	3
D001014	Aortic Aneurysm	D009461	Neurologic Manifestations	0.8392969581040126	12
D001014	Aortic Aneurysm	D009765	Obesity	2.4976609549070043	3
D001014	Aortic Aneurysm	D010146	Pain	23.71584302141329	72
D001014	Aortic Aneurysm	D010148	Pain, Intractable	1.992983371326988	1
D001014	Aortic Aneurysm	D010243	Paralysis	5.813656529794179	12
D001014	Aortic Aneurysm	D020335	Paraparesis	8.943544290486642	4
D001014	Aortic Aneurysm	D010264	Paraplegia	61.31900561595679	48
D001014	Aortic Aneurysm	D010291	Paresis	7.726414702997732	6
D001014	Aortic Aneurysm	D010292	Paresthesia	2.7160362922995573	2
D001014	Aortic Aneurysm	D011507	Proteinuria	1.248977773533552	1
D001014	Aortic Aneurysm	D011595	Psychomotor Agitation	2.2425601797093533	1
D001014	Aortic Aneurysm	D011596	Psychomotor Disorders	1.3316409916371097	1
D001014	Aortic Aneurysm	D011693	Purpura	1.0632186059291338	1
D001014	Aortic Aneurysm	D011696	Purpura, Thrombocytopenic	1.4149055205518302	1
D001014	Aortic Aneurysm	D016553	Purpura, Thrombocytopenic, Idiopathic	1.9338944549569816	1
D001014	Aortic Aneurysm	D012021	Reflex, Abnormal	1.4071309430046999	1
D001014	Aortic Aneurysm	D012133	Respiratory Paralysis	2.4894202576408797	1
D001014	Aortic Aneurysm	D012135	Respiratory Sounds	1.6392693282712694	1
D001014	Aortic Aneurysm	D012585	Sciatica	6.508227894221215	3
D001014	Aortic Aneurysm	D012640	Seizures	2.5355007765642417	3
D001014	Aortic Aneurysm	D020069	Shoulder Pain	2.4204273861539285	1
D001014	Aortic Aneurysm	D012877	Skin Manifestations	0.6123572181015575	1
D001014	Aortic Aneurysm	D013035	Spasm	1.3672774715625755	1
D001014	Aortic Aneurysm	D013064	Speech Disorders	1.1529165610240042	1
D001014	Aortic Aneurysm	D013575	Syncope	38.763177115773566	26
D001014	Aortic Aneurysm	D054160	Systolic Murmurs	4.913366207639191	1
D001014	Aortic Aneurysm	D014012	Tinnitus	1.9740336225473258	1
D001014	Aortic Aneurysm	D014474	Unconsciousness	1.8559456584112928	2
D001014	Aortic Aneurysm	D014717	Vertigo	6.385007772750313	4
D001014	Aortic Aneurysm	D014826	Vocal Cord Paralysis	31.80447269523138	16
D001014	Aortic Aneurysm	D014839	Vomiting	1.687025330850775	2
D001014	Aortic Aneurysm	D015431	Weight Loss	2.0001074227623494	2
D017544	Aortic Aneurysm, Abdominal	D000006	Abdomen, Acute	17.251201565754346	12
D017544	Aortic Aneurysm, Abdominal	D015746	Abdominal Pain	44.96963494181262	53
D017544	Aortic Aneurysm, Abdominal	D054058	Acute Coronary Syndrome	2.597960426216085	1
D017544	Aortic Aneurysm, Abdominal	D000419	Albuminuria	4.130173330456663	2
D017544	Aortic Aneurysm, Abdominal	D020757	Amaurosis Fugax	3.5110715051728607	1
D017544	Aortic Aneurysm, Abdominal	D000787	Angina Pectoris	13.074150354217716	9
D017544	Aortic Aneurysm, Abdominal	D000789	Angina, Unstable	2.2425601797093533	1
D017544	Aortic Aneurysm, Abdominal	D000855	Anorexia	1.8252606139541865	1
D017544	Aortic Aneurysm, Abdominal	D000860	Anoxia	4.0079542868298805	4
D017544	Aortic Aneurysm, Abdominal	D001037	Aphasia	1.810661814533033	1
D017544	Aortic Aneurysm, Abdominal	D018771	Arthralgia	1.4773000003262131	1
D017544	Aortic Aneurysm, Abdominal	D001416	Back Pain	51.61178336307218	45
D017544	Aortic Aneurysm, Abdominal	D001835	Body Weight	3.4298784714476502	10
D017544	Aortic Aneurysm, Abdominal	D002303	Cardiac Output, Low	4.285591299111297	2
D017544	Aortic Aneurysm, Abdominal	D002637	Chest Pain	6.597364982138956	6
D017544	Aortic Aneurysm, Abdominal	D003085	Colic	8.538989265491281	4
D017544	Aortic Aneurysm, Abdominal	D003128	Coma	1.312084812843242	1
D017544	Aortic Aneurysm, Abdominal	D003967	Diarrhea	2.769564393246932	3
D017544	Aortic Aneurysm, Abdominal	D004417	Dyspnea	4.020886726158468	4
D017544	Aortic Aneurysm, Abdominal	D004438	Ecchymosis	4.5999624661561205	2
D017544	Aortic Aneurysm, Abdominal	D004487	Edema	3.5752685646172924	6
D017544	Aortic Aneurysm, Abdominal	D005158	Facial Paralysis	1.357096911630458	1
D017544	Aortic Aneurysm, Abdominal	D005221	Fatigue	3.4140394665642875	3
D017544	Aortic Aneurysm, Abdominal	D005334	Fever	4.951501058266373	8
D017544	Aortic Aneurysm, Abdominal	D005335	Fever of Unknown Origin	7.365774583355222	5
D017544	Aortic Aneurysm, Abdominal	D021501	Flank Pain	6.297712761717026	2
D017544	Aortic Aneurysm, Abdominal	D006261	Headache	0.8845642547118906	1
D017544	Aortic Aneurysm, Abdominal	D006319	Hearing Loss, Sensorineural	1.2148558604642947	1
D017544	Aortic Aneurysm, Abdominal	D006396	Hematemesis	12.51517036681978	6
D017544	Aortic Aneurysm, Abdominal	D006429	Hemiplegia	2.5892647257840316	2
D017544	Aortic Aneurysm, Abdominal	D006987	Hypesthesia	3.443922088232765	2
D017544	Aortic Aneurysm, Abdominal	D007035	Hypothermia	1.9454362153971527	1
D017544	Aortic Aneurysm, Abdominal	D007383	Intermittent Claudication	48.802670445403464	22
D017544	Aortic Aneurysm, Abdominal	D054068	Livedo Reticularis	8.197716340149961	2
D017544	Aortic Aneurysm, Abdominal	D017116	Low Back Pain	46.12220966342677	29
D017544	Aortic Aneurysm, Abdominal	D018908	Muscle Weakness	5.957946490217173	6
D017544	Aortic Aneurysm, Abdominal	D009325	Nausea	2.27750614832828	2
D017544	Aortic Aneurysm, Abdominal	D009437	Neuralgia	1.5383141060813592	1
D017544	Aortic Aneurysm, Abdominal	D009765	Obesity	9.158090167992347	11
D017544	Aortic Aneurysm, Abdominal	D009767	Obesity, Morbid	1.75293995237456	1
D017544	Aortic Aneurysm, Abdominal	D006472	Oral Hemorrhage	5.151824577988647	2
D017544	Aortic Aneurysm, Abdominal	D050177	Overweight	0.8238720995508412	1
D017544	Aortic Aneurysm, Abdominal	D010146	Pain	6.2583474639840615	19
D017544	Aortic Aneurysm, Abdominal	D010148	Pain, Intractable	1.992983371326988	1
D017544	Aortic Aneurysm, Abdominal	D010149	Pain, Postoperative	6.711421289065839	4
D017544	Aortic Aneurysm, Abdominal	D053591	Pain, Referred	4.003547990270655	1
D017544	Aortic Aneurysm, Abdominal	D010243	Paralysis	0.9689427549656968	2
D017544	Aortic Aneurysm, Abdominal	D020335	Paraparesis	6.7076582178649815	3
D017544	Aortic Aneurysm, Abdominal	D010264	Paraplegia	19.162189254986497	15
D017544	Aortic Aneurysm, Abdominal	D010291	Paresis	2.575471567665911	2
D017544	Aortic Aneurysm, Abdominal	D010292	Paresthesia	6.790090730748893	5
D017544	Aortic Aneurysm, Abdominal	D011696	Purpura, Thrombocytopenic	1.4149055205518302	1
D017544	Aortic Aneurysm, Abdominal	D016553	Purpura, Thrombocytopenic, Idiopathic	1.9338944549569816	1
D017544	Aortic Aneurysm, Abdominal	D012021	Reflex, Abnormal	2.8142618860093997	2
D017544	Aortic Aneurysm, Abdominal	D001405	Reflex, Babinski	3.5270718465193016	1
D017544	Aortic Aneurysm, Abdominal	D056844	Renal Colic	9.763235018649224	2
D017544	Aortic Aneurysm, Abdominal	D012133	Respiratory Paralysis	2.4894202576408797	1
D017544	Aortic Aneurysm, Abdominal	D012585	Sciatica	2.1694092980737385	1
D017544	Aortic Aneurysm, Abdominal	D012640	Seizures	0.8451669255214139	1
D017544	Aortic Aneurysm, Abdominal	D013575	Syncope	4.4726742825892565	3
D017544	Aortic Aneurysm, Abdominal	D013851	Thinness	2.6705996098560565	1
D017544	Aortic Aneurysm, Abdominal	D014839	Vomiting	4.217563327126937	5
D017544	Aortic Aneurysm, Abdominal	D015430	Weight Gain	1.4866897406760522	1
D017544	Aortic Aneurysm, Abdominal	D015431	Weight Loss	6.000322268287047	6
D017545	Aortic Aneurysm, Thoracic	D015746	Abdominal Pain	8.48483678147408	10
D017545	Aortic Aneurysm, Thoracic	D054058	Acute Coronary Syndrome	10.39184170486434	4
D017545	Aortic Aneurysm, Thoracic	D000787	Angina Pectoris	8.716100236145142	6
D017545	Aortic Aneurysm, Thoracic	D000855	Anorexia	1.8252606139541865	1
D017545	Aortic Aneurysm, Thoracic	D000860	Anoxia	3.0059657151224104	3
D017545	Aortic Aneurysm, Thoracic	D001416	Back Pain	21.791641864408245	19
D017545	Aortic Aneurysm, Thoracic	D001835	Body Weight	0.34298784714476505	1
D017545	Aortic Aneurysm, Thoracic	D002303	Cardiac Output, Low	4.285591299111297	2
D017545	Aortic Aneurysm, Thoracic	D002637	Chest Pain	64.87408899103306	59
D017545	Aortic Aneurysm, Thoracic	D003128	Coma	3.9362544385297262	3
D017545	Aortic Aneurysm, Thoracic	D003221	Confusion	1.5089482112769952	1
D017545	Aortic Aneurysm, Thoracic	D003371	Cough	11.83256235986699	9
D017545	Aortic Aneurysm, Thoracic	D003490	Cyanosis	3.4868191750477324	2
D017545	Aortic Aneurysm, Thoracic	D003967	Diarrhea	0.9231881310823103	1
D017545	Aortic Aneurysm, Thoracic	D004244	Dizziness	2.6849428448229578	2
