MeSH Symptom ID	MeSH Symptom Term	MeSH Disease ID	MeSH Disease Term	TFIDF score	PubMed occurrence
D000006	Abdomen, Acute	D016883	Diabetic Ketoacidosis	18.68880169623387	13
D000006	Abdomen, Acute	D004696	Endocarditis	2.8752002609590566	2
D000006	Abdomen, Acute	D006073	Gout	1.4376001304795285	1
D000006	Abdomen, Acute	D006333	Heart Failure	11.500801043836226	8
D000006	Abdomen, Acute	D006349	Heart Valve Diseases	1.4376001304795285	1
D000006	Abdomen, Acute	D006660	Histoplasmosis	1.4376001304795285	1
D000006	Abdomen, Acute	D006973	Hypertension	10.063200913356699	7
D000006	Abdomen, Acute	D006976	Hypertension, Pulmonary	1.4376001304795285	1
D000006	Abdomen, Acute	D006985	Hyperventilation	1.4376001304795285	1
D000006	Abdomen, Acute	D007012	Hypopharyngeal Neoplasms	2.8752002609590566	2
D000006	Abdomen, Acute	D007022	Hypotension	1.4376001304795285	1
D000006	Abdomen, Acute	D007251	Influenza, Human	2.8752002609590566	2
D000006	Abdomen, Acute	D007819	Laryngeal Edema	1.4376001304795285	1
D000006	Abdomen, Acute	D008175	Lung Neoplasms	23.001602087672453	16
D000006	Abdomen, Acute	D018192	Lymphangioleiomyomatosis	1.4376001304795285	1
D000006	Abdomen, Acute	D008478	Mediastinal Emphysema	4.312800391438587	3
D000006	Abdomen, Acute	D008946	Mitral Valve Stenosis	1.4376001304795285	1
D000006	Abdomen, Acute	D009164	Mycobacterium Infections	1.4376001304795285	1
D000006	Abdomen, Acute	D009181	Mycoses	2.8752002609590566	2
D000006	Abdomen, Acute	D009203	Myocardial Infarction	41.690403783906326	29
D000006	Abdomen, Acute	D017202	Myocardial Ischemia	2.8752002609590566	2
D000006	Abdomen, Acute	D009382	Neoplasms, Unknown Primary	2.8752002609590566	2
D000006	Abdomen, Acute	D009617	Nocardia Infections	1.4376001304795285	1
D000006	Abdomen, Acute	D009765	Obesity	1.4376001304795285	1
D000006	Abdomen, Acute	D010019	Osteomyelitis	5.750400521918113	4
D000006	Abdomen, Acute	D010493	Pericarditis	5.750400521918113	4
D000006	Abdomen, Acute	D010996	Pleural Effusion	1.4376001304795285	1
D000006	Abdomen, Acute	D010998	Pleurisy	4.312800391438587	3
D000006	Abdomen, Acute	D018410	Pneumonia, Bacterial	5.750400521918113	4
D000006	Abdomen, Acute	D011024	Pneumonia, Viral	1.4376001304795285	1
D000006	Abdomen, Acute	D011030	Pneumothorax	4.312800391438587	3
D000006	Abdomen, Acute	D011081	Polychondritis, Relapsing	1.4376001304795285	1
D000006	Abdomen, Acute	D001261	Pulmonary Atelectasis	2.8752002609590566	2
D000006	Abdomen, Acute	D011654	Pulmonary Edema	2.8752002609590566	2
D000006	Abdomen, Acute	D011655	Pulmonary Embolism	15.813601435274816	11
D000006	Abdomen, Acute	D011656	Pulmonary Emphysema	1.4376001304795285	1
D000006	Abdomen, Acute	D012128	Respiratory Distress Syndrome, Adult	2.8752002609590566	2
D000006	Abdomen, Acute	D012131	Respiratory Insufficiency	10.063200913356699	7
D000006	Abdomen, Acute	D012141	Respiratory Tract Infections	7.188000652397642	5
D000006	Abdomen, Acute	D012214	Rheumatic Heart Disease	2.8752002609590566	2
D000006	Abdomen, Acute	D045169	Severe Acute Respiratory Syndrome	1.4376001304795285	1
D000006	Abdomen, Acute	D014069	Tonsillitis	1.4376001304795285	1
D000006	Abdomen, Acute	D014123	Toxoplasmosis	1.4376001304795285	1
D000006	Abdomen, Acute	D014262	Tricuspid Valve Insufficiency	1.4376001304795285	1
D000006	Abdomen, Acute	D014376	Tuberculosis	2.8752002609590566	2
D000006	Abdomen, Acute	D014397	Tuberculosis, Pulmonary	8.625600782877171	6
D000006	Abdomen, Acute	D014648	Varicose Veins	1.4376001304795285	1
D000006	Abdomen, Acute	D020246	Venous Thrombosis	11.500801043836226	8
D015746	Abdominal Pain	D000196	Actinomycosis	35.63631448219113	42
D015746	Abdominal Pain	D000787	Angina Pectoris	2.545451034442224	3
D015746	Abdominal Pain	D000789	Angina, Unstable	0.8484836781474079	1
D015746	Abdominal Pain	D001014	Aortic Aneurysm	10.181804137768896	12
D015746	Abdominal Pain	D017544	Aortic Aneurysm, Abdominal	44.96963494181262	53
D015746	Abdominal Pain	D017545	Aortic Aneurysm, Thoracic	8.48483678147408	10
D015746	Abdominal Pain	D001024	Aortic Valve Stenosis	0.8484836781474079	1
D015746	Abdominal Pain	D001145	Arrhythmias, Cardiac	0.8484836781474079	1
D015746	Abdominal Pain	D001164	Arteriovenous Fistula	13.575738850358524	16
D015746	Abdominal Pain	D015535	Arthritis, Psoriatic	0.8484836781474079	1
D015746	Abdominal Pain	D016918	Arthritis, Reactive	0.8484836781474079	1
D015746	Abdominal Pain	D001172	Arthritis, Rheumatoid	9.333320459621486	11
D015746	Abdominal Pain	D001195	Asbestosis	0.8484836781474079	1
D015746	Abdominal Pain	D001228	Aspergillosis	2.545451034442224	3
D015746	Abdominal Pain	D001249	Asthma	6.787869425179262	8
D015746	Abdominal Pain	D050197	Atherosclerosis	5.090902068884447	6
D015746	Abdominal Pain	D001281	Atrial Fibrillation	4.24241839073704	5
D015746	Abdominal Pain	D029481	Bronchitis, Chronic	0.8484836781474079	1
D015746	Abdominal Pain	D002177	Candidiasis	6.787869425179262	8
D015746	Abdominal Pain	D002305	Cardiac Tamponade	4.24241839073704	5
D015746	Abdominal Pain	D009202	Cardiomyopathies	4.24241839073704	5
D015746	Abdominal Pain	D002311	Cardiomyopathy, Dilated	1.6969673562948158	2
D015746	Abdominal Pain	D002312	Cardiomyopathy, Hypertrophic	0.8484836781474079	1
D015746	Abdominal Pain	D003139	Common Cold	5.090902068884447	6
D015746	Abdominal Pain	D003324	Coronary Artery Disease	3.3939347125896315	4
D015746	Abdominal Pain	D003327	Coronary Disease	2.545451034442224	3
D015746	Abdominal Pain	D003371	Cough	5.939385747031856	7
D015746	Abdominal Pain	D003453	Cryptococcosis	1.6969673562948158	2
D015746	Abdominal Pain	D003550	Cystic Fibrosis	26.302994022569646	31
D015746	Abdominal Pain	D003920	Diabetes Mellitus	7.636353103326671	9
D015746	Abdominal Pain	D003922	Diabetes Mellitus, Type 1	15.272706206653345	18
D015746	Abdominal Pain	D003924	Diabetes Mellitus, Type 2	14.424222528505936	17
D015746	Abdominal Pain	D016883	Diabetic Ketoacidosis	9.333320459621486	11
D015746	Abdominal Pain	D004417	Dyspnea	8.48483678147408	10
D015746	Abdominal Pain	D004696	Endocarditis	1.6969673562948158	2
D015746	Abdominal Pain	D004844	Epistaxis	0.8484836781474079	1
D015746	Abdominal Pain	D006073	Gout	1.6969673562948158	2
D015746	Abdominal Pain	D006333	Heart Failure	11.030287815916305	13
D015746	Abdominal Pain	D006349	Heart Valve Diseases	0.8484836781474079	1
D015746	Abdominal Pain	D006469	Hemoptysis	1.6969673562948158	2
D015746	Abdominal Pain	D006491	Hemothorax	3.3939347125896315	4
D015746	Abdominal Pain	D006660	Histoplasmosis	1.6969673562948158	2
D015746	Abdominal Pain	D006973	Hypertension	20.36360827553779	24
D015746	Abdominal Pain	D006976	Hypertension, Pulmonary	2.545451034442224	3
D015746	Abdominal Pain	D006985	Hyperventilation	2.545451034442224	3
D015746	Abdominal Pain	D007022	Hypotension	5.939385747031856	7
D015746	Abdominal Pain	D007024	Hypotension, Orthostatic	1.6969673562948158	2
D015746	Abdominal Pain	D007251	Influenza, Human	2.545451034442224	3
D015746	Abdominal Pain	D007829	Laryngostenosis	0.8484836781474079	1
D015746	Abdominal Pain	D008175	Lung Neoplasms	19.515124597390386	23
D015746	Abdominal Pain	D018192	Lymphangioleiomyomatosis	4.24241839073704	5
D015746	Abdominal Pain	D008478	Mediastinal Emphysema	0.8484836781474079	1
D015746	Abdominal Pain	D008944	Mitral Valve Insufficiency	1.6969673562948158	2
D015746	Abdominal Pain	D008946	Mitral Valve Stenosis	0.8484836781474079	1
D015746	Abdominal Pain	D009181	Mycoses	2.545451034442224	3
D015746	Abdominal Pain	D009203	Myocardial Infarction	15.272706206653345	18
D015746	Abdominal Pain	D017202	Myocardial Ischemia	0.8484836781474079	1
D015746	Abdominal Pain	D009205	Myocarditis	8.48483678147408	10
D015746	Abdominal Pain	D009382	Neoplasms, Unknown Primary	0.8484836781474079	1
D015746	Abdominal Pain	D009617	Nocardia Infections	2.545451034442224	3
D015746	Abdominal Pain	D009765	Obesity	8.48483678147408	10
D015746	Abdominal Pain	D010003	Osteoarthritis	5.090902068884447	6
D015746	Abdominal Pain	D010019	Osteomyelitis	5.939385747031856	7
D015746	Abdominal Pain	D010024	Osteoporosis	3.3939347125896315	4
D015746	Abdominal Pain	D015663	Osteoporosis, Postmenopausal	1.6969673562948158	2
D015746	Abdominal Pain	D010490	Pericardial Effusion	3.3939347125896315	4
D015746	Abdominal Pain	D010493	Pericarditis	1.6969673562948158	2
D015746	Abdominal Pain	D016491	Peripheral Vascular Diseases	5.090902068884447	6
D015746	Abdominal Pain	D000039	Peritonsillar Abscess	0.8484836781474079	1
D015746	Abdominal Pain	D010996	Pleural Effusion	5.939385747031856	7
D015746	Abdominal Pain	D010997	Pleural Neoplasms	2.545451034442224	3
D015746	Abdominal Pain	D010998	Pleurisy	1.6969673562948158	2
D015746	Abdominal Pain	D018410	Pneumonia, Bacterial	1.6969673562948158	2
D015746	Abdominal Pain	D011020	Pneumonia, Pneumocystis	0.8484836781474079	1
D015746	Abdominal Pain	D011024	Pneumonia, Viral	0.8484836781474079	1
D015746	Abdominal Pain	D011030	Pneumothorax	8.48483678147408	10
D015746	Abdominal Pain	D011081	Polychondritis, Relapsing	0.8484836781474079	1
D015746	Abdominal Pain	D011654	Pulmonary Edema	0.8484836781474079	1
D015746	Abdominal Pain	D011655	Pulmonary Embolism	17.818157241095566	21
D015746	Abdominal Pain	D011657	Pulmonary Eosinophilia	0.8484836781474079	1
D015746	Abdominal Pain	D012128	Respiratory Distress Syndrome, Adult	1.6969673562948158	2
D015746	Abdominal Pain	D012127	Respiratory Distress Syndrome, Newborn	0.8484836781474079	1
D015746	Abdominal Pain	D012131	Respiratory Insufficiency	3.3939347125896315	4
D015746	Abdominal Pain	D012141	Respiratory Tract Infections	4.24241839073704	5
D015746	Abdominal Pain	D017703	Retropharyngeal Abscess	0.8484836781474079	1
D015746	Abdominal Pain	D012214	Rheumatic Heart Disease	1.6969673562948158	2
D015746	Abdominal Pain	D006255	Rhinitis, Allergic, Seasonal	1.6969673562948158	2
D015746	Abdominal Pain	D017565	Sarcoidosis, Pulmonary	2.545451034442224	3
D015746	Abdominal Pain	D012852	Sinusitis	1.6969673562948158	2
D015746	Abdominal Pain	D012893	Sleep Disorders	6.787869425179262	8
D015746	Abdominal Pain	D016706	Still's Disease, Adult-Onset	1.6969673562948158	2
D015746	Abdominal Pain	D013617	Tachycardia, Supraventricular	0.8484836781474079	1
D015746	Abdominal Pain	D017180	Tachycardia, Ventricular	1.6969673562948158	2
D015746	Abdominal Pain	D014262	Tricuspid Valve Insufficiency	0.8484836781474079	1
D015746	Abdominal Pain	D014376	Tuberculosis	11.030287815916305	13
D015746	Abdominal Pain	D014397	Tuberculosis, Pulmonary	9.333320459621486	11
D015746	Abdominal Pain	D014648	Varicose Veins	7.636353103326671	9
D015746	Abdominal Pain	D054556	Venous Thromboembolism	1.6969673562948158	2
D015746	Abdominal Pain	D020246	Venous Thrombosis	48.36356965440225	57
D015746	Abdominal Pain	D014693	Ventricular Fibrillation	1.6969673562948158	2
D054058	Acute Coronary Syndrome	D000787	Angina Pectoris	283.1776864575533	109
D054058	Acute Coronary Syndrome	D000789	Angina, Unstable	179.25926940890992	69
D054058	Acute Coronary Syndrome	D001014	Aortic Aneurysm	23.381643835944768	9
D054058	Acute Coronary Syndrome	D017544	Aortic Aneurysm, Abdominal	2.597960426216085	1
D054058	Acute Coronary Syndrome	D017545	Aortic Aneurysm, Thoracic	10.39184170486434	4
D054058	Acute Coronary Syndrome	D001022	Aortic Valve Insufficiency	5.19592085243217	2
D054058	Acute Coronary Syndrome	D001024	Aortic Valve Stenosis	10.39184170486434	4
D054058	Acute Coronary Syndrome	D001145	Arrhythmias, Cardiac	41.56736681945736	16
D054058	Acute Coronary Syndrome	D001164	Arteriovenous Fistula	7.7938812786482545	3
D054058	Acute Coronary Syndrome	D001172	Arthritis, Rheumatoid	7.7938812786482545	3
D054058	Acute Coronary Syndrome	D001249	Asthma	5.19592085243217	2
D054058	Acute Coronary Syndrome	D050197	Atherosclerosis	132.49598173702034	51
D054058	Acute Coronary Syndrome	D001281	Atrial Fibrillation	70.1449315078343	27
D054058	Acute Coronary Syndrome	D054537	Atrioventricular Block	7.7938812786482545	3
D054058	Acute Coronary Syndrome	D053840	Brugada Syndrome	5.19592085243217	2
D054058	Acute Coronary Syndrome	D002037	Bundle-Branch Block	20.78368340972868	8
D054058	Acute Coronary Syndrome	D002305	Cardiac Tamponade	2.597960426216085	1
D054058	Acute Coronary Syndrome	D006332	Cardiomegaly	2.597960426216085	1
D054058	Acute Coronary Syndrome	D009202	Cardiomyopathies	23.381643835944768	9
D054058	Acute Coronary Syndrome	D002311	Cardiomyopathy, Dilated	2.597960426216085	1
D054058	Acute Coronary Syndrome	D002312	Cardiomyopathy, Hypertrophic	7.7938812786482545	3
D054058	Acute Coronary Syndrome	D018376	Cardiovascular Abnormalities	2.597960426216085	1
D054058	Acute Coronary Syndrome	D003139	Common Cold	2.597960426216085	1
D054058	Acute Coronary Syndrome	D003323	Coronary Aneurysm	75.34085236026647	29
D054058	Acute Coronary Syndrome	D003324	Coronary Artery Disease	815.7595738318507	314
D054058	Acute Coronary Syndrome	D003327	Coronary Disease	148.0837442943169	57
D054058	Acute Coronary Syndrome	D054059	Coronary Occlusion	36.3714459670252	14
D054058	Acute Coronary Syndrome	D003329	Coronary Vasospasm	62.351050229186036	24
D054058	Acute Coronary Syndrome	D003920	Diabetes Mellitus	54.55716895053778	21
D054058	Acute Coronary Syndrome	D003922	Diabetes Mellitus, Type 1	10.39184170486434	4
D054058	Acute Coronary Syndrome	D003924	Diabetes Mellitus, Type 2	64.94901065540213	25
D054058	Acute Coronary Syndrome	D016883	Diabetic Ketoacidosis	5.19592085243217	2
D054058	Acute Coronary Syndrome	D004417	Dyspnea	5.19592085243217	2
D054058	Acute Coronary Syndrome	D004696	Endocarditis	2.597960426216085	1
D054058	Acute Coronary Syndrome	D006333	Heart Failure	137.69190258945252	53
D054058	Acute Coronary Syndrome	D006349	Heart Valve Diseases	2.597960426216085	1
D054058	Acute Coronary Syndrome	D006469	Hemoptysis	2.597960426216085	1
D054058	Acute Coronary Syndrome	D006973	Hypertension	38.96940639324128	15
D054058	Acute Coronary Syndrome	D006976	Hypertension, Pulmonary	2.597960426216085	1
D054058	Acute Coronary Syndrome	D007022	Hypotension	2.597960426216085	1
D054058	Acute Coronary Syndrome	D007251	Influenza, Human	5.19592085243217	2
D054058	Acute Coronary Syndrome	D008133	Long QT Syndrome	5.19592085243217	2
D054058	Acute Coronary Syndrome	D008175	Lung Neoplasms	5.19592085243217	2
D054058	Acute Coronary Syndrome	D008944	Mitral Valve Insufficiency	12.989802131080424	5
D054058	Acute Coronary Syndrome	D009203	Myocardial Infarction	896.2963470445494	345
D054058	Acute Coronary Syndrome	D017202	Myocardial Ischemia	823.5534551104989	317
D054058	Acute Coronary Syndrome	D009205	Myocarditis	33.773485540809105	13
D054058	Acute Coronary Syndrome	D009382	Neoplasms, Unknown Primary	2.597960426216085	1
D054058	Acute Coronary Syndrome	D009765	Obesity	18.1857229835126	7
D054058	Acute Coronary Syndrome	D010493	Pericarditis	2.597960426216085	1
D054058	Acute Coronary Syndrome	D016491	Peripheral Vascular Diseases	28.577564688376942	11
D054058	Acute Coronary Syndrome	D018410	Pneumonia, Bacterial	5.19592085243217	2
D054058	Acute Coronary Syndrome	D029424	Pulmonary Disease, Chronic Obstructive	5.19592085243217	2
D054058	Acute Coronary Syndrome	D011654	Pulmonary Edema	7.7938812786482545	3
D054058	Acute Coronary Syndrome	D011655	Pulmonary Embolism	41.56736681945736	16
D054058	Acute Coronary Syndrome	D012131	Respiratory Insufficiency	2.597960426216085	1
D054058	Acute Coronary Syndrome	D012141	Respiratory Tract Infections	2.597960426216085	1
D054058	Acute Coronary Syndrome	D020181	Sleep Apnea, Obstructive	5.19592085243217	2
D054058	Acute Coronary Syndrome	D012893	Sleep Disorders	2.597960426216085	1
D054058	Acute Coronary Syndrome	D013617	Tachycardia, Supraventricular	2.597960426216085	1
D054058	Acute Coronary Syndrome	D017180	Tachycardia, Ventricular	28.577564688376942	11
D054058	Acute Coronary Syndrome	D054556	Venous Thromboembolism	18.1857229835126	7
D054058	Acute Coronary Syndrome	D020246	Venous Thrombosis	5.19592085243217	2
D054058	Acute Coronary Syndrome	D014693	Ventricular Fibrillation	15.587762557296509	6
D054058	Acute Coronary Syndrome	D014927	Wolff-Parkinson-White Syndrome	2.597960426216085	1
D000334	Aerophagy	D000787	Angina Pectoris	8.141374586216566	2
D000334	Aerophagy	D002305	Cardiac Tamponade	4.070687293108283	1
D000334	Aerophagy	D003324	Coronary Artery Disease	4.070687293108283	1
D000334	Aerophagy	D003327	Coronary Disease	4.070687293108283	1
D000334	Aerophagy	D006985	Hyperventilation	4.070687293108283	1
D000334	Aerophagy	D009058	Mouth Breathing	8.141374586216566	2
D000334	Aerophagy	D015508	Nasal Obstruction	4.070687293108283	1
D000334	Aerophagy	D011656	Pulmonary Emphysema	4.070687293108283	1
D000334	Aerophagy	D012131	Respiratory Insufficiency	8.141374586216566	2
D000334	Aerophagy	D020181	Sleep Apnea, Obstructive	8.141374586216566	2
D000334	Aerophagy	D014397	Tuberculosis, Pulmonary	4.070687293108283	1
D000370	Ageusia	D001172	Arthritis, Rheumatoid	7.1703589546531665	2
D000370	Ageusia	D020215	Carotid Artery, Internal, Dissection	3.5851794773265833	1
D000370	Ageusia	D003324	Coronary Artery Disease	3.5851794773265833	1
D000370	Ageusia	D003327	Coronary Disease	3.5851794773265833	1
D000370	Ageusia	D003920	Diabetes Mellitus	3.5851794773265833	1
D000370	Ageusia	D006973	Hypertension	3.5851794773265833	1
D000370	Ageusia	D007251	Influenza, Human	7.1703589546531665	2
D000370	Ageusia	D008175	Lung Neoplasms	3.5851794773265833	1
D000370	Ageusia	D015508	Nasal Obstruction	3.5851794773265833	1
D000370	Ageusia	D009298	Nasal Polyps	3.5851794773265833	1
D000370	Ageusia	D009765	Obesity	7.1703589546531665	2
D000370	Ageusia	D006255	Rhinitis, Allergic, Seasonal	3.5851794773265833	1
D000370	Ageusia	D012222	Rhinitis, Atrophic	3.5851794773265833	1
D000370	Ageusia	D012852	Sinusitis	3.5851794773265833	1
D019588	Aging, Premature	D001172	Arthritis, Rheumatoid	6.929102979075935	2
D019588	Aging, Premature	D050197	Atherosclerosis	6.929102979075935	2
D019588	Aging, Premature	D009202	Cardiomyopathies	3.464551489537968	1
D019588	Aging, Premature	D003324	Coronary Artery Disease	3.464551489537968	1
D019588	Aging, Premature	D003924	Diabetes Mellitus, Type 2	6.929102979075935	2
D019588	Aging, Premature	D006973	Hypertension	3.464551489537968	1
D019588	Aging, Premature	D017202	Myocardial Ischemia	3.464551489537968	1
D019588	Aging, Premature	D009765	Obesity	6.929102979075935	2
D019588	Aging, Premature	D010024	Osteoporosis	34.645514895379684	10
D019588	Aging, Premature	D012848	Sinoatrial Block	3.464551489537968	1
D019588	Aging, Premature	D012893	Sleep Disorders	3.464551489537968	1
D000377	Agnosia	D001164	Arteriovenous Fistula	2.5362124191476383	1
D000377	Agnosia	D001172	Arthritis, Rheumatoid	2.5362124191476383	1
D000377	Agnosia	D006333	Heart Failure	2.5362124191476383	1
D000377	Agnosia	D008175	Lung Neoplasms	2.5362124191476383	1
D000377	Agnosia	D008946	Mitral Valve Stenosis	2.5362124191476383	1
D000377	Agnosia	D009298	Nasal Polyps	2.5362124191476383	1
D000377	Agnosia	D009303	Nasopharyngeal Neoplasms	5.0724248382952775	2
D000377	Agnosia	D006255	Rhinitis, Allergic, Seasonal	5.0724248382952775	2
D000377	Agnosia	D012852	Sinusitis	2.5362124191476383	1
D000377	Agnosia	D012893	Sleep Disorders	7.608637257442916	3
D000377	Agnosia	D020217	Vertebral Artery Dissection	2.5362124191476383	1
D017109	Akathisia, Drug-Induced	D001145	Arrhythmias, Cardiac	6.221822898588778	2
D017109	Akathisia, Drug-Induced	D001249	Asthma	12.443645797177556	4
D017109	Akathisia, Drug-Induced	D003924	Diabetes Mellitus, Type 2	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D004417	Dyspnea	9.332734347883168	3
D017109	Akathisia, Drug-Induced	D006973	Hypertension	6.221822898588778	2
D017109	Akathisia, Drug-Induced	D006985	Hyperventilation	6.221822898588778	2
D017109	Akathisia, Drug-Induced	D007022	Hypotension	9.332734347883168	3
D017109	Akathisia, Drug-Induced	D007251	Influenza, Human	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D009765	Obesity	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D016491	Peripheral Vascular Diseases	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D011111	Polymyalgia Rheumatica	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D012120	Respiration Disorders	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D012131	Respiratory Insufficiency	3.110911449294389	1
D017109	Akathisia, Drug-Induced	D012893	Sleep Disorders	6.221822898588778	2
D017109	Akathisia, Drug-Induced	D017180	Tachycardia, Ventricular	3.110911449294389	1
D000419	Albuminuria	D017544	Aortic Aneurysm, Abdominal	4.130173330456663	2
D000419	Albuminuria	D001145	Arrhythmias, Cardiac	12.390519991369992	6
D000419	Albuminuria	D015535	Arthritis, Psoriatic	2.0650866652283315	1
D000419	Albuminuria	D001172	Arthritis, Rheumatoid	49.56207996547997	24
D000419	Albuminuria	D001249	Asthma	2.0650866652283315	1
D000419	Albuminuria	D050197	Atherosclerosis	74.34311994821995	36
D000419	Albuminuria	D001281	Atrial Fibrillation	6.195259995684996	3
D000419	Albuminuria	D006332	Cardiomegaly	18.585779987054988	9
D000419	Albuminuria	D009202	Cardiomyopathies	14.455606656598325	7
D000419	Albuminuria	D003324	Coronary Artery Disease	200.31340652714817	97
D000419	Albuminuria	D003327	Coronary Disease	117.70993991801492	57
D000419	Albuminuria	D003550	Cystic Fibrosis	10.32543332614166	5
D000419	Albuminuria	D003920	Diabetes Mellitus	675.2833395296645	327
D000419	Albuminuria	D003922	Diabetes Mellitus, Type 1	3351.635657665582	1623
D000419	Albuminuria	D003924	Diabetes Mellitus, Type 2	3828.670677333328	1854
D000419	Albuminuria	D016883	Diabetic Ketoacidosis	6.195259995684996	3
D000419	Albuminuria	D006073	Gout	10.32543332614166	5
D000419	Albuminuria	D006333	Heart Failure	74.34311994821995	36
D000419	Albuminuria	D006973	Hypertension	2717.654051440485	1316
D000419	Albuminuria	D006976	Hypertension, Pulmonary	2.0650866652283315	1
D000419	Albuminuria	D007024	Hypotension, Orthostatic	4.130173330456663	2
D000419	Albuminuria	D008133	Long QT Syndrome	4.130173330456663	2
D000419	Albuminuria	D008175	Lung Neoplasms	6.195259995684996	3
D000419	Albuminuria	D009203	Myocardial Infarction	72.27803328299161	35
D000419	Albuminuria	D017202	Myocardial Ischemia	130.1004599093849	63
D000419	Albuminuria	D009400	Nephrosclerosis	24.781039982739983	12
D000419	Albuminuria	D009765	Obesity	227.1595331751165	110
D000419	Albuminuria	D010018	Osteomalacia	2.0650866652283315	1
D000419	Albuminuria	D010019	Osteomyelitis	2.0650866652283315	1
D000419	Albuminuria	D010493	Pericarditis	2.0650866652283315	1
D000419	Albuminuria	D010494	Pericarditis, Constrictive	2.0650866652283315	1
D000419	Albuminuria	D016491	Peripheral Vascular Diseases	35.10647330888165	17
D000419	Albuminuria	D010996	Pleural Effusion	2.0650866652283315	1
D000419	Albuminuria	D010998	Pleurisy	2.0650866652283315	1
D000419	Albuminuria	D029424	Pulmonary Disease, Chronic Obstructive	6.195259995684996	3
D000419	Albuminuria	D011654	Pulmonary Edema	2.0650866652283315	1
D000419	Albuminuria	D011655	Pulmonary Embolism	2.0650866652283315	1
D000419	Albuminuria	D011928	Raynaud Disease	2.0650866652283315	1
D000419	Albuminuria	D012128	Respiratory Distress Syndrome, Adult	10.32543332614166	5
D000419	Albuminuria	D012131	Respiratory Insufficiency	6.195259995684996	3
D000419	Albuminuria	D012829	Silicosis	2.0650866652283315	1
D000419	Albuminuria	D020181	Sleep Apnea, Obstructive	10.32543332614166	5
D000419	Albuminuria	D014069	Tonsillitis	2.0650866652283315	1
D000419	Albuminuria	D014397	Tuberculosis, Pulmonary	8.260346660913326	4
D000419	Albuminuria	D054556	Venous Thromboembolism	2.0650866652283315	1
D000419	Albuminuria	D020246	Venous Thrombosis	4.130173330456663	2
D020237	Alexia, Pure	D020215	Carotid Artery, Internal, Dissection	4.658473958010402	1
D020237	Alexia, Pure	D020246	Venous Thrombosis	4.658473958010402	1
D020757	Amaurosis Fugax	D017544	Aortic Aneurysm, Abdominal	3.5110715051728607	1
D020757	Amaurosis Fugax	D001022	Aortic Valve Insufficiency	3.5110715051728607	1
D020757	Amaurosis Fugax	D001024	Aortic Valve Stenosis	3.5110715051728607	1
D020757	Amaurosis Fugax	D001228	Aspergillosis	3.5110715051728607	1
D020757	Amaurosis Fugax	D050197	Atherosclerosis	10.533214515518582	3
D020757	Amaurosis Fugax	D002311	Cardiomyopathy, Dilated	3.5110715051728607	1
