Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
112	2	100	100	9181	529	cellular response to xenobiotic stimulus (GO:0071466)	2.40403382512403e-35
113	2	2	2	9181	5	regulation of lipid catabolic process (GO:0050994)	0.00248096915126651
114	2	29	29	9181	212	circulatory system process (GO:0003013)	3.24614673503744e-07
115	2	119	119	9181	1244	response to lipopolysaccharide (GO:0032496)	1.81692724201526e-18
116	2	1	1	9181	0	NA (NA)	NA
117	2	49	49	9181	647	response to xenobiotic stimulus (GO:0009410)	3.93247079850686e-10
118	2	758	758	9181	1364	apoptotic signaling pathway (GO:0097190)	6.09994219820433e-33
119	2	18	18	9181	395	response to lipopolysaccharide (GO:0032496)	7.00215344545447e-06
120	2	85	85	9181	537	xenobiotic metabolic process (GO:0006805)	6.66902609262001e-26
121	2	4	4	9181	19	gamma-aminobutyric acid signaling pathway (GO:0007214)	2.73199671107901e-06
122	2	19	19	9181	264	positive regulation of neuron apoptotic process (GO:0043525)	5.8066572178739e-07
123	2	15	15	9181	132	flavonoid metabolic process (GO:0009812)	4.16518388601527e-09
124	2	24	24	9181	153	cellular response to xenobiotic stimulus (GO:0071466)	1.92667103026405e-07
125	2	3	3	9181	0	NA (NA)	NA
126	2	16	16	9181	133	glial cell apoptotic process (GO:0034349)	9.60122353277036e-06
127	2	49	49	9181	213	xenobiotic metabolic process (GO:0006805)	1.82541868834025e-29
128	2	4	4	9181	24	regulation of neurotransmitter levels (GO:0001505)	6.45283133337137e-06
129	2	34	34	9181	923	regulation of neuron death (GO:1901214)	3.72035867035738e-18
130	2	44	44	9181	0	NA (NA)	NA
131	2	13	13	9181	48	mammary gland duct morphogenesis (GO:0060603)	0.00255264434866844
132	2	9	9	9181	139	regulation of systemic arterial blood pressure (GO:0003073)	1.97907787581136e-06
133	2	205	205	9181	479	monocarboxylic acid metabolic process (GO:0032787)	1.27388479021486e-20
134	2	24	24	9181	493	response to inorganic substance (GO:0010035)	3.61636482441223e-11
135	2	74	74	9181	833	response to inorganic substance (GO:0010035)	4.06315137194442e-17
136	2	21	21	9181	60	xenobiotic metabolic process (GO:0006805)	5.07789467934369e-14
137	2	11	11	9181	21	execution phase of apoptosis (GO:0097194)	0.000283569639447091
138	2	226	226	9181	1485	apoptotic signaling pathway (GO:0097190)	5.94687883531812e-25
139	2	4	4	9181	0	NA (NA)	NA
