CasRN	ChemicalName	DiseaseID	DiseaseName	Score
152-72-7	Acenocoumarol	D054556	Venous Thromboembolism	0.0
152-72-7	Acenocoumarol	D020246	Venous Thrombosis	0.0
103-90-2	Acetaminophen	D001172	Arthritis, Rheumatoid	0.0
103-90-2	Acetaminophen	D007022	Hypotension	0.0
103-90-2	Acetaminophen	D009203	Myocardial Infarction	0.0
103-90-2	Acetaminophen	D010003	Osteoarthritis	0.0
103-90-2	Acetaminophen	D012141	Respiratory Tract Infections	0.0
103-90-2	Acetaminophen	D012852	Sinusitis	0.0
59-66-5	Acetazolamide	D029424	Pulmonary Disease, Chronic Obstructive	0.0
59-66-5	Acetazolamide	D020182	Sleep Apnea, Central	0.0
498-02-2	acetovanillone	D002310	Cardiomyopathy, Alcoholic	0.0
498-02-2	acetovanillone	D006973	Hypertension	0.0
498-02-2	acetovanillone	D007022	Hypotension	0.0
14992-62-2	Acetylcarnitine	D009202	Cardiomyopathies	0.0
51-84-3	Acetylcholine	D006973	Hypertension	0.0
51-84-3	Acetylcholine	D007022	Hypotension	0.0
616-91-1	Acetylcysteine	D000789	Angina, Unstable	0.0
616-91-1	Acetylcysteine	D016535	Bronchial Hyperreactivity	0.0
616-91-1	Acetylcysteine	D009202	Cardiomyopathies	0.0
616-91-1	Acetylcysteine	D018376	Cardiovascular Abnormalities	0.0
616-91-1	Acetylcysteine	D003550	Cystic Fibrosis	0.0
616-91-1	Acetylcysteine	D006973	Hypertension	0.0
616-91-1	Acetylcysteine	D007022	Hypotension	0.0
616-91-1	Acetylcysteine	D008133	Long QT Syndrome	0.0
616-91-1	Acetylcysteine	D009203	Myocardial Infarction	0.0
616-91-1	Acetylcysteine	D017202	Myocardial Ischemia	0.0
616-91-1	Acetylcysteine	D009205	Myocarditis	0.0
616-91-1	Acetylcysteine	D009362	Neoplasm Metastasis	0.0
616-91-1	Acetylcysteine	D009765	Obesity	0.0
616-91-1	Acetylcysteine	D011654	Pulmonary Edema	0.0
616-91-1	Acetylcysteine	D011656	Pulmonary Emphysema	0.0
616-91-1	Acetylcysteine	D012128	Respiratory Distress Syndrome	0.0
60-38-8	acetylstrophanthidin	D006333	Heart Failure	0.0
55079-83-9	Acitretin	D015535	Arthritis, Psoriatic	0.0
58-61-7	Adenosine	D001145	Arrhythmias, Cardiac	0.0
58-61-7	Adenosine	D001249	Asthma	0.0
58-61-7	Adenosine	D009202	Cardiomyopathies	0.0
58-61-7	Adenosine	D006333	Heart Failure	0.0
58-61-7	Adenosine	D006973	Hypertension	0.0
58-61-7	Adenosine	D017202	Myocardial Ischemia	0.0
58-61-7	Adenosine	D013617	Tachycardia, Supraventricular	0.0
58-61-7	Adenosine	D017180	Tachycardia, Ventricular	0.0
56-65-5	Adenosine Triphosphate	D008175	Lung Neoplasms	0.0
56-65-5	Adenosine Triphosphate	D013611	Tachycardia, Atrioventricular Nodal Reentry	0.0
56-65-5	Adenosine Triphosphate	D013617	Tachycardia, Supraventricular	0.0
56-65-5	Adenosine Triphosphate	D017180	Tachycardia, Ventricular	0.0
148498-78-6	Adrenomedullin	D006973	Hypertension	0.0
850140-72-6	Afatinib	D008175	Lung Neoplasms	0.0
28441-98-7	agathisflavone	D007251	Influenza, Human	0.0
306-60-5	Agmatine	D007022	Hypotension	0.0
81443-73-4	AH 23848	D006973	Hypertension	0.0
96436-73-6	AHR 10718	D001145	Arrhythmias, Cardiac	0.0
125651-31-2	AHR 12234	D017180	Tachycardia, Ventricular	0.0
3031-94-5	AICA ribonucleotide	D006332	Cardiomegaly	0.0
4360-12-7	Ajmaline	D001145	Arrhythmias, Cardiac	0.0
4360-12-7	Ajmaline	D017180	Tachycardia, Ventricular	0.0
4360-12-7	Ajmaline	D014693	Ventricular Fibrillation	0.0
4360-12-7	Ajmaline	D018879	Ventricular Premature Complexes	0.0
129652-42-2	albolabrin	D011655	Pulmonary Embolism	0.0
18559-94-9	Albuterol	D001249	Asthma	0.0
18559-94-9	Albuterol	D029481	Bronchitis, Chronic	0.0
18559-94-9	Albuterol	D003324	Coronary Artery Disease	0.0
18559-94-9	Albuterol	D004417	Dyspnea	0.0
18559-94-9	Albuterol	D006333	Heart Failure	0.0
18559-94-9	Albuterol	D006973	Hypertension	0.0
18559-94-9	Albuterol	D009205	Myocarditis	0.0
18559-94-9	Albuterol	D029424	Pulmonary Disease, Chronic Obstructive	0.0
18559-94-9	Albuterol	D012141	Respiratory Tract Infections	0.0
22131-79-9	alclofenac	D001172	Arthritis, Rheumatoid	0.0
66376-36-1	Alendronate	D010024	Osteoporosis	0.0
66376-36-1	Alendronate	D015663	Osteoporosis, Postmenopausal	0.0
41294-56-8	alfacalcidol	D006973	Hypertension	0.0
41294-56-8	alfacalcidol	D010024	Osteoporosis	0.0
41294-56-8	alfacalcidol	D015663	Osteoporosis, Postmenopausal	0.0
41294-56-8	alfacalcidol	D012141	Respiratory Tract Infections	0.0
71195-58-9	Alfentanil	D003371	Cough	0.0
71195-58-9	Alfentanil	D006973	Hypertension	0.0
33178-86-8	alinidine	D000787	Angina Pectoris	0.0
33178-86-8	alinidine	D001145	Arrhythmias, Cardiac	0.0
33178-86-8	alinidine	D017180	Tachycardia, Ventricular	0.0
5300-03-8	Alitretinoin	D008175	Lung Neoplasms	0.0
23444-65-7	alkannin	D011654	Pulmonary Edema	0.0
315-30-0	Allopurinol	D006073	Gout	0.0
592-88-1	allyl sulfide	D011654	Pulmonary Edema	0.0
27469-53-0	Almitrine	D012131	Respiratory Insufficiency	0.0
604-59-1	alpha-naphthoflavone	D009765	Obesity	0.0
59-02-9	alpha-Tocopherol	D006973	Hypertension	0.0
59-02-9	alpha-Tocopherol	D008175	Lung Neoplasms	0.0
59-02-9	alpha-Tocopherol	D009203	Myocardial Infarction	0.0
59-02-9	alpha-Tocopherol	D009362	Neoplasm Metastasis	0.0
59-02-9	alpha-Tocopherol	D010490	Pericardial Effusion	0.0
59-02-9	alpha-Tocopherol	D011657	Pulmonary Eosinophilia	0.0
28981-97-7	Alprazolam	D009203	Myocardial Infarction	0.0
13655-52-2	Alprenolol	D000787	Angina Pectoris	0.0
13655-52-2	Alprenolol	D001145	Arrhythmias, Cardiac	0.0
13655-52-2	Alprenolol	D001281	Atrial Fibrillation	0.0
13655-52-2	Alprenolol	D006973	Hypertension	0.0
745-65-3	Alprostadil	D004417	Dyspnea	0.0
745-65-3	Alprostadil	D006333	Heart Failure	0.0
745-65-3	Alprostadil	D006973	Hypertension	0.0
745-65-3	Alprostadil	D006976	Hypertension, Pulmonary	0.0
745-65-3	Alprostadil	D011655	Pulmonary Embolism	0.0
745-65-3	Alprostadil	D011928	Raynaud Disease	0.0
745-65-3	Alprostadil	D012128	Respiratory Distress Syndrome	0.0
10043-01-3	aluminum sulfate	D050197	Atherosclerosis	0.0
50588-47-1	amafolone	D017180	Tachycardia, Ventricular	0.0
768-94-5	Amantadine	D007251	Influenza, Human	0.0
115-79-7	Ambenonium Chloride	D007022	Hypotension	0.0
1617-53-4	amentoflavone	D007251	Influenza, Human	0.0
41658-78-0	amezinium	D007024	Hypotension, Orthostatic	0.0
20537-88-6	Amifostine	D009202	Cardiomyopathies	0.0
20537-88-6	Amifostine	D004417	Dyspnea	0.0
37517-28-5	Amikacin	D003550	Cystic Fibrosis	0.0
37517-28-5	Amikacin	D004696	Endocarditis	0.0
37517-28-5	Amikacin	D010493	Pericarditis	0.0
37517-28-5	Amikacin	D014376	Tuberculosis	0.0
2609-46-3	Amiloride	D000787	Angina Pectoris	0.0
2609-46-3	Amiloride	D006333	Heart Failure	0.0
2609-46-3	Amiloride	D006973	Hypertension	0.0
68529-45-3	amiloride, hydrochlorothiazide drug combination	D006333	Heart Failure	0.0
68529-45-3	amiloride, hydrochlorothiazide drug combination	D006973	Hypertension	0.0
125-84-8	Aminoglutethimide	D006973	Hypertension	0.0
125-84-8	Aminoglutethimide	D009362	Neoplasm Metastasis	0.0
645-88-5	Aminooxyacetic Acid	D006332	Cardiomegaly	0.0
645-88-5	Aminooxyacetic Acid	D006973	Hypertension	0.0
317-34-0	Aminophylline	D000787	Angina Pectoris	0.0
317-34-0	Aminophylline	D001249	Asthma	0.0
317-34-0	Aminophylline	D054537	Atrioventricular Block	0.0
317-34-0	Aminophylline	D001991	Bronchitis	0.0
317-34-0	Aminophylline	D029481	Bronchitis, Chronic	0.0
317-34-0	Aminophylline	D004417	Dyspnea	0.0
317-34-0	Aminophylline	D006333	Heart Failure	0.0
317-34-0	Aminophylline	D007022	Hypotension	0.0
317-34-0	Aminophylline	D008175	Lung Neoplasms	0.0
317-34-0	Aminophylline	D017202	Myocardial Ischemia	0.0
317-34-0	Aminophylline	D029424	Pulmonary Disease, Chronic Obstructive	0.0
317-34-0	Aminophylline	D017180	Tachycardia, Ventricular	0.0
317-34-0	Aminophylline	D018879	Ventricular Premature Complexes	0.0
2207-50-3	Aminorex	D009765	Obesity	0.0
65-49-6	Aminosalicylic Acid	D014376	Tuberculosis	0.0
1951-25-3	Amiodarone	D000787	Angina Pectoris	0.0
1951-25-3	Amiodarone	D001145	Arrhythmias, Cardiac	0.0
1951-25-3	Amiodarone	D001281	Atrial Fibrillation	0.0
1951-25-3	Amiodarone	D006332	Cardiomegaly	0.0
1951-25-3	Amiodarone	D009202	Cardiomyopathies	0.0
1951-25-3	Amiodarone	D002311	Cardiomyopathy, Dilated	0.0
1951-25-3	Amiodarone	D002312	Cardiomyopathy, Hypertrophic	0.0
1951-25-3	Amiodarone	D006333	Heart Failure	0.0
1951-25-3	Amiodarone	D009181	Mycoses	0.0
1951-25-3	Amiodarone	D009203	Myocardial Infarction	0.0
1951-25-3	Amiodarone	D017202	Myocardial Ischemia	0.0
1951-25-3	Amiodarone	D009205	Myocarditis	0.0
1951-25-3	Amiodarone	D013613	Tachycardia, Ectopic Junctional	0.0
1951-25-3	Amiodarone	D013617	Tachycardia, Supraventricular	0.0
1951-25-3	Amiodarone	D017180	Tachycardia, Ventricular	0.0
1951-25-3	Amiodarone	D014693	Ventricular Fibrillation	0.0
1951-25-3	Amiodarone	D018879	Ventricular Premature Complexes	0.0
1951-25-3	Amiodarone	D014927	Wolff-Parkinson-White Syndrome	0.0
50-48-6	Amitriptyline	D000787	Angina Pectoris	0.0
50-48-6	Amitriptyline	D006973	Hypertension	0.0
50-48-6	Amitriptyline	D017202	Myocardial Ischemia	0.0
50-48-6	Amitriptyline	D012893	Sleep Wake Disorders	0.0
4317-14-0	amitriptyline N-oxide	D012893	Sleep Wake Disorders	0.0
61-82-5	Amitrole	D006973	Hypertension	0.0
88150-42-9	Amlodipine	D000787	Angina Pectoris	0.0
88150-42-9	Amlodipine	D050197	Atherosclerosis	0.0
88150-42-9	Amlodipine	D006332	Cardiomegaly	0.0
88150-42-9	Amlodipine	D003324	Coronary Artery Disease	0.0
88150-42-9	Amlodipine	D003327	Coronary Disease	0.0
88150-42-9	Amlodipine	D003371	Cough	0.0
88150-42-9	Amlodipine	D006973	Hypertension	0.0
88150-42-9	Amlodipine	D009203	Myocardial Infarction	0.0
88150-42-9	Amlodipine	D017202	Myocardial Ischemia	0.0
26787-78-0	Amoxicillin	D001987	Bronchiectasis	0.0
26787-78-0	Amoxicillin	D029481	Bronchitis, Chronic	0.0
26787-78-0	Amoxicillin	D018410	Pneumonia, Bacterial	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D000787	Angina Pectoris	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D001991	Bronchitis	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D029481	Bronchitis, Chronic	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D012131	Respiratory Insufficiency	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D012141	Respiratory Tract Infections	0.0
74469-00-4	Amoxicillin-Potassium Clavulanate Combination	D012852	Sinusitis	0.0
300-62-9	Amphetamine	D007022	Hypotension	0.0
1397-89-3	Amphotericin B	D001228	Aspergillosis	0.0
1397-89-3	Amphotericin B	D002177	Candidiasis	0.0
1397-89-3	Amphotericin B	D003047	Coccidioidomycosis	0.0
1397-89-3	Amphotericin B	D003453	Cryptococcosis	0.0
1397-89-3	Amphotericin B	D006660	Histoplasmosis	0.0
1397-89-3	Amphotericin B	D009181	Mycoses	0.0
87687-70-5	amphotericin B, deoxycholate drug combination	D003453	Cryptococcosis	0.0
87687-70-5	amphotericin B, deoxycholate drug combination	D009181	Mycoses	0.0
69-53-4	Ampicillin	D004696	Endocarditis	0.0
69-53-4	Ampicillin	D012852	Sinusitis	0.0
60719-84-8	Amrinone	D001145	Arrhythmias, Cardiac	0.0
60719-84-8	Amrinone	D006333	Heart Failure	0.0
60719-84-8	Amrinone	D006973	Hypertension	0.0
60719-84-8	Amrinone	D006976	Hypertension, Pulmonary	0.0
60719-84-8	Amrinone	D007022	Hypotension	0.0
5508-58-7	andrographolide	D010024	Osteoporosis	0.0
139051-27-7	anemarsaponin B	D010024	Osteoporosis	0.0
104-46-1	anethole	D006332	Cardiomegaly	0.0
104-46-1	anethole	D008133	Long QT Syndrome	0.0
104-46-1	anethole	D009203	Myocardial Infarction	0.0
104-46-1	anethole	D009362	Neoplasm Metastasis	0.0
532-11-6	Anethole Trithione	D008175	Lung Neoplasms	0.0
56832-47-4	angiotensin II, Sar(1)-Thr(8)-	D006973	Hypertension	0.0
83200-10-6	anipamil	D009202	Cardiomyopathies	0.0
117-37-3	anisindione	D020246	Venous Thrombosis	0.0
55869-99-3	anisodamine	D001172	Arthritis, Rheumatoid	0.0
55869-99-3	anisodamine	D011654	Pulmonary Edema	0.0
55869-99-3	anisodamine	D014693	Ventricular Fibrillation	0.0
55300-29-3	antrafenine	D010003	Osteoarthritis	0.0
431-89-0	apaflurane	D001249	Asthma	0.0
520-36-5	Apigenin	D009202	Cardiomyopathies	0.0
520-36-5	Apigenin	D006976	Hypertension, Pulmonary	0.0
520-36-5	Apigenin	D009362	Neoplasm Metastasis	0.0
58-00-4	Apomorphine	D006973	Hypertension	0.0
37640-71-4	Aprindine	D001145	Arrhythmias, Cardiac	0.0
37640-71-4	Aprindine	D001281	Atrial Fibrillation	0.0
37640-71-4	Aprindine	D008133	Long QT Syndrome	0.0
37640-71-4	Aprindine	D017180	Tachycardia, Ventricular	0.0
37640-71-4	Aprindine	D014693	Ventricular Fibrillation	0.0
37640-71-4	Aprindine	D014927	Wolff-Parkinson-White Syndrome	0.0
67339-62-2	AR-C239	D006973	Hypertension	0.0
86780-90-7	aranidipine	D006973	Hypertension	0.0
63-75-2	Arecoline	D007022	Hypotension	0.0
113-79-1	Arginine Vasopressin	D007022	Hypotension	0.0
1327-53-3	Arsenic Trioxide	D001145	Arrhythmias, Cardiac	0.0
1327-53-3	Arsenic Trioxide	D001172	Arthritis, Rheumatoid	0.0
1327-53-3	Arsenic Trioxide	D001249	Asthma	0.0
1327-53-3	Arsenic Trioxide	D054990	Idiopathic Pulmonary Fibrosis	0.0
1327-53-3	Arsenic Trioxide	D008175	Lung Neoplasms	0.0
1327-53-3	Arsenic Trioxide	D009362	Neoplasm Metastasis	0.0
50906-56-4	arteannuin B	D002177	Candidiasis	0.0
71963-77-4	Artemether	D014123	Toxoplasmosis	0.0
50-81-7	Ascorbic Acid	D009202	Cardiomyopathies	0.0
50-81-7	Ascorbic Acid	D018376	Cardiovascular Abnormalities	0.0
50-81-7	Ascorbic Acid	D003139	Common Cold	0.0
50-81-7	Ascorbic Acid	D003327	Coronary Disease	0.0
50-81-7	Ascorbic Acid	D006973	Hypertension	0.0
50-81-7	Ascorbic Acid	D007022	Hypotension	0.0
50-81-7	Ascorbic Acid	D008133	Long QT Syndrome	0.0
50-81-7	Ascorbic Acid	D008175	Lung Neoplasms	0.0
50-81-7	Ascorbic Acid	D009203	Myocardial Infarction	0.0
50-81-7	Ascorbic Acid	D009765	Obesity	0.0
50-81-7	Ascorbic Acid	D016491	Peripheral Vascular Diseases	0.0
50-81-7	Ascorbic Acid	D011654	Pulmonary Edema	0.0
50-81-7	Ascorbic Acid	D011657	Pulmonary Eosinophilia	0.0
22839-47-0	Aspartame	D001172	Arthritis, Rheumatoid	0.0
22839-47-0	Aspartame	D010003	Osteoarthritis	0.0
50-78-2	Aspirin	D000787	Angina Pectoris	0.0
50-78-2	Aspirin	D000789	Angina, Unstable	0.0
50-78-2	Aspirin	D001172	Arthritis, Rheumatoid	0.0
50-78-2	Aspirin	D050197	Atherosclerosis	0.0
50-78-2	Aspirin	D001281	Atrial Fibrillation	0.0
50-78-2	Aspirin	D003323	Coronary Aneurysm	0.0
50-78-2	Aspirin	D003324	Coronary Artery Disease	0.0
50-78-2	Aspirin	D003327	Coronary Disease	0.0
50-78-2	Aspirin	D003371	Cough	0.0
50-78-2	Aspirin	D003920	Diabetes Mellitus	0.0
50-78-2	Aspirin	D006333	Heart Failure	0.0
50-78-2	Aspirin	D006973	Hypertension	0.0
50-78-2	Aspirin	D007022	Hypotension	0.0
50-78-2	Aspirin	D007251	Influenza, Human	0.0
50-78-2	Aspirin	D009203	Myocardial Infarction	0.0
50-78-2	Aspirin	D017202	Myocardial Ischemia	0.0
50-78-2	Aspirin	D010003	Osteoarthritis	0.0
50-78-2	Aspirin	D012141	Respiratory Tract Infections	0.0
50-78-2	Aspirin	D016706	Still's Disease, Adult-Onset	0.0
50-78-2	Aspirin	D054556	Venous Thromboembolism	0.0
50-78-2	Aspirin	D020246	Venous Thrombosis	0.0
472-61-7	astaxanthine	D003924	Diabetes Mellitus, Type 2	0.0
68844-77-9	Astemizole	D006255	Rhinitis, Allergic, Seasonal	0.0
29122-68-7	Atenolol	D000787	Angina Pectoris	0.0
29122-68-7	Atenolol	D001145	Arrhythmias, Cardiac	0.0
29122-68-7	Atenolol	D006332	Cardiomegaly	0.0
29122-68-7	Atenolol	D002311	Cardiomyopathy, Dilated	0.0
29122-68-7	Atenolol	D003324	Coronary Artery Disease	0.0
29122-68-7	Atenolol	D006333	Heart Failure	0.0
29122-68-7	Atenolol	D006973	Hypertension	0.0
29122-68-7	Atenolol	D007022	Hypotension	0.0
29122-68-7	Atenolol	D008133	Long QT Syndrome	0.0
29122-68-7	Atenolol	D009203	Myocardial Infarction	0.0
29122-68-7	Atenolol	D017202	Myocardial Ischemia	0.0
29122-68-7	Atenolol	D012893	Sleep Wake Disorders	0.0
29122-68-7	Atenolol	D013617	Tachycardia, Supraventricular	0.0
29122-68-7	Atenolol	D017180	Tachycardia, Ventricular	0.0
29122-68-7	Atenolol	D014693	Ventricular Fibrillation	0.0
94015-53-9	Atovaquone	D011020	Pneumonia, Pneumocystis	0.0
94015-53-9	Atovaquone	D014123	Toxoplasmosis	0.0
51-55-8	Atropine	D000787	Angina Pectoris	0.0
51-55-8	Atropine	D001145	Arrhythmias, Cardiac	0.0
51-55-8	Atropine	D001281	Atrial Fibrillation	0.0
51-55-8	Atropine	D054537	Atrioventricular Block	0.0
51-55-8	Atropine	D006973	Hypertension	0.0
51-55-8	Atropine	D007022	Hypotension	0.0
51-55-8	Atropine	D011654	Pulmonary Edema	0.0
51-55-8	Atropine	D012120	Respiration Disorders	0.0
34031-32-8	Auranofin	D001172	Arthritis, Rheumatoid	0.0
34031-32-8	Auranofin	D008175	Lung Neoplasms	0.0
12192-57-3	Aurothioglucose	D001172	Arthritis, Rheumatoid	0.0
21650-02-2	azabicyclane	D003371	Cough	0.0
320-67-2	Azacitidine	D008175	Lung Neoplasms	0.0
11141-17-6	azadirachtin	D010024	Osteoporosis	0.0
