DiseaseID	DiseaseName	CasRN	ChemicalName	Score
D000787	Angina Pectoris	10102-43-9	Nitric Oxide	0.0
D000787	Angina Pectoris	55-63-0	Nitroglycerin	0.0
D000787	Angina Pectoris	6452-71-7	Oxprenolol	0.0
D000787	Angina Pectoris	15687-41-9	Oxyfedrine	0.0
D000787	Angina Pectoris	6621-47-2	Perhexiline	0.0
D000787	Angina Pectoris	6724-53-4	perhexiline maleate	0.0
D000787	Angina Pectoris	50-60-2	Phentolamine	0.0
D000787	Angina Pectoris	13523-86-9	Pindolol	0.0
D000787	Angina Pectoris	390-64-7	Prenylamine	0.0
D000787	Angina Pectoris	69-43-2	prenylamine lactate	0.0
D000787	Angina Pectoris	525-66-6	Propranolol	0.0
D000787	Angina Pectoris	87333-19-5	Ramipril	0.0
D000787	Angina Pectoris	3930-20-9	Sotalol	0.0
D000787	Angina Pectoris	57-96-5	Sulfinpyrazone	0.0
D000787	Angina Pectoris	57010-31-8	Tiapamil Hydrochloride	0.0
D000787	Angina Pectoris	55142-85-3	Ticlopidine	0.0
D000787	Angina Pectoris	26839-75-8	Timolol	0.0
D000787	Angina Pectoris	5011-34-7	Trimetazidine	0.0
D000787	Angina Pectoris	52-53-9	Verapamil	0.0
D000787	Angina Pectoris	1406-18-4	Vitamin E	0.0
D000787	Angina Pectoris	85175-67-3	zatebradine	0.0
D000789	Angina, Unstable	616-91-1	Acetylcysteine	0.0
D000789	Angina, Unstable	50-78-2	Aspirin	0.0
D000789	Angina, Unstable	42399-41-7	Diltiazem	0.0
D000789	Angina, Unstable	9005-49-6	Heparin	0.0
D000789	Angina, Unstable	21829-25-4	Nifedipine	0.0
D000789	Angina, Unstable	55-63-0	Nitroglycerin	0.0
D001014	Aortic Aneurysm	53-86-1	Indomethacin	0.0
D001014	Aortic Aneurysm	36894-69-6	Labetalol	0.0
D001014	Aortic Aneurysm	79902-63-9	Simvastatin	0.0
D017544	Aortic Aneurysm, Abdominal	908-54-3	diminazene aceturate	0.0
D017544	Aortic Aneurysm, Abdominal	53-86-1	Indomethacin	0.0
D017544	Aortic Aneurysm, Abdominal	21829-25-4	Nifedipine	0.0
D017544	Aortic Aneurysm, Abdominal	117-39-5	Quercetin	0.0
D001022	Aortic Valve Insufficiency	72956-09-3	Carvedilol	0.0
D001022	Aortic Valve Insufficiency	92077-78-6	Cilazapril	0.0
D001022	Aortic Valve Insufficiency	129-03-3	Cyproheptadine	0.0
D001022	Aortic Valve Insufficiency	21829-25-4	Nifedipine	0.0
D001022	Aortic Valve Insufficiency	50-60-2	Phentolamine	0.0
D001024	Aortic Valve Stenosis	34368-04-2	Dobutamine	0.0
D001145	Arrhythmias, Cardiac	6874-80-2	13-hydroxylupanine-2-pyrrolecarbonic acid	0.0
D001145	Arrhythmias, Cardiac	52670-65-2	17-pentylsparteine	0.0
D001145	Arrhythmias, Cardiac	72583-92-7	2-(2-benzofuranyl)-2-imidazoline	0.0
D001145	Arrhythmias, Cardiac	67198-13-4	3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer	0.0
D001145	Arrhythmias, Cardiac	143578-51-2	3,6-dimethylaminodibenzopyridonium edetate	0.0
D001145	Arrhythmias, Cardiac	130061-81-3	3-hydroxy-10,11-dihydroquinidine	0.0
D001145	Arrhythmias, Cardiac	504-24-5	4-Aminopyridine	0.0
D001145	Arrhythmias, Cardiac	79821-50-4	7-oxoprostaglandin I2	0.0
D001145	Arrhythmias, Cardiac	94899-83-9	711389-S	0.0
D001145	Arrhythmias, Cardiac	37517-30-9	Acebutolol	0.0
D001145	Arrhythmias, Cardiac	152-72-7	Acenocoumarol	0.0
D001145	Arrhythmias, Cardiac	58-61-7	Adenosine	0.0
D001145	Arrhythmias, Cardiac	96436-73-6	AHR 10718	0.0
D001145	Arrhythmias, Cardiac	4360-12-7	Ajmaline	0.0
D001145	Arrhythmias, Cardiac	33178-86-8	alinidine	0.0
D001145	Arrhythmias, Cardiac	13655-52-2	Alprenolol	0.0
D001145	Arrhythmias, Cardiac	1951-25-3	Amiodarone	0.0
D001145	Arrhythmias, Cardiac	60719-84-8	Amrinone	0.0
D001145	Arrhythmias, Cardiac	37640-71-4	Aprindine	0.0
D001145	Arrhythmias, Cardiac	1327-53-3	Arsenic Trioxide	0.0
D001145	Arrhythmias, Cardiac	29122-68-7	Atenolol	0.0
D001145	Arrhythmias, Cardiac	51-55-8	Atropine	0.0
D001145	Arrhythmias, Cardiac	149888-94-8	azimilide	0.0
D001145	Arrhythmias, Cardiac	322-35-0	Benserazide	0.0
D001145	Arrhythmias, Cardiac	100-51-6	Benzyl Alcohol	0.0
D001145	Arrhythmias, Cardiac	64706-54-3	Bepridil	0.0
D001145	Arrhythmias, Cardiac	7235-40-7	beta Carotene	0.0
D001145	Arrhythmias, Cardiac	63659-18-7	Betaxolol	0.0
D001145	Arrhythmias, Cardiac	61-75-6	Bretylium Tosylate	0.0
D001145	Arrhythmias, Cardiac	58409-59-9	bucumolol	0.0
D001145	Arrhythmias, Cardiac	128-37-0	Butylated Hydroxytoluene	0.0
D001145	Arrhythmias, Cardiac	7440-70-2	Calcium	0.0
D001145	Arrhythmias, Cardiac	10043-52-4	Calcium Chloride	0.0
D001145	Arrhythmias, Cardiac	38821-49-7	Carbidopa	0.0
D001145	Arrhythmias, Cardiac	51781-06-7	Carteolol	0.0
D001145	Arrhythmias, Cardiac	72956-09-3	Carvedilol	0.0
D001145	Arrhythmias, Cardiac	56980-93-9	Celiprolol	0.0
D001145	Arrhythmias, Cardiac	804-10-4	Chromonar	0.0
D001145	Arrhythmias, Cardiac	53267-01-9	cifenline	0.0
D001145	Arrhythmias, Cardiac	59729-33-8	Citalopram	0.0
D001145	Arrhythmias, Cardiac	4205-90-7	Clonidine	0.0
D001145	Arrhythmias, Cardiac	138605-00-2	Colforsin	0.0
D001145	Arrhythmias, Cardiac	94470-67-4	Cromakalim	0.0
D001145	Arrhythmias, Cardiac	860-79-7	cyclovirobuxine D	0.0
D001145	Arrhythmias, Cardiac	524-17-4	dauricine	0.0
D001145	Arrhythmias, Cardiac	113775-47-6	Dexmedetomidine	0.0
D001145	Arrhythmias, Cardiac	28197-69-5	diacetolol	0.0
D001145	Arrhythmias, Cardiac	2050-87-5	diallyl trisulfide	0.0
D001145	Arrhythmias, Cardiac	20830-75-5	Digoxin	0.0
D001145	Arrhythmias, Cardiac	42399-41-7	Diltiazem	0.0
D001145	Arrhythmias, Cardiac	363-24-6	Dinoprostone	0.0
D001145	Arrhythmias, Cardiac	3737-09-5	Disopyramide	0.0
D001145	Arrhythmias, Cardiac	77086-22-7	Dizocilpine Maleate	0.0
D001145	Arrhythmias, Cardiac	25167-62-8	Docosahexaenoic Acids	0.0
D001145	Arrhythmias, Cardiac	115256-11-6	dofetilide	0.0
D001145	Arrhythmias, Cardiac	74191-85-8	Doxazosin	0.0
D001145	Arrhythmias, Cardiac	548-73-2	Droperidol	0.0
D001145	Arrhythmias, Cardiac	74913-18-1	Dynorphins	0.0
D001145	Arrhythmias, Cardiac	113558-89-7	E 4031	0.0
D001145	Arrhythmias, Cardiac	1553-41-9	Eicosapentaenoic Acid	0.0
D001145	Arrhythmias, Cardiac	66778-36-7	Encainide	0.0
D001145	Arrhythmias, Cardiac	69267-68-1	EO 122	0.0
D001145	Arrhythmias, Cardiac	51-43-4	Epinephrine	0.0
D001145	Arrhythmias, Cardiac	84057-94-3	esmolol	0.0
D001145	Arrhythmias, Cardiac	54143-55-4	Flecainide	0.0
D001145	Arrhythmias, Cardiac	78272-90-9	fusaric acid N,N-diethylaminoethylamide	0.0
D001145	Arrhythmias, Cardiac	16662-47-8	Gallopamil	0.0
D001145	Arrhythmias, Cardiac	624-15-7	geraniol	0.0
D001145	Arrhythmias, Cardiac	526-95-4	gluconic acid	0.0
D001145	Arrhythmias, Cardiac	83843-49-6	GYKI 23107	0.0
D001145	Arrhythmias, Cardiac	51-45-6	Histamine	0.0
D001145	Arrhythmias, Cardiac	130350-52-6	ibutilide	0.0
D001145	Arrhythmias, Cardiac	72795-19-8	ICI 118551	0.0
D001145	Arrhythmias, Cardiac	23210-56-2	ifenprodil	0.0
D001145	Arrhythmias, Cardiac	26675-46-7	Isoflurane	0.0
D001145	Arrhythmias, Cardiac	7683-59-2	Isoproterenol	0.0
D001145	Arrhythmias, Cardiac	95508-61-5	isoteolin	0.0
D001145	Arrhythmias, Cardiac	105394-80-7	KT 362	0.0
D001145	Arrhythmias, Cardiac	36894-69-6	Labetalol	0.0
D001145	Arrhythmias, Cardiac	137-58-6	Lidocaine	0.0
D001145	Arrhythmias, Cardiac	7447-41-8	Lithium Chloride	0.0
D001145	Arrhythmias, Cardiac	61742-10-7	lithium hydroxybutyrate	0.0
D001145	Arrhythmias, Cardiac	7439-95-4	Magnesium	0.0
D001145	Arrhythmias, Cardiac	7487-88-9	Magnesium Sulfate	0.0
D001145	Arrhythmias, Cardiac	37350-58-6	Metoprolol	0.0
D001145	Arrhythmias, Cardiac	31828-71-4	Mexiletine	0.0
D001145	Arrhythmias, Cardiac	27737-38-8	mixidine	0.0
D001145	Arrhythmias, Cardiac	42794-63-8	MK 142	0.0
D001145	Arrhythmias, Cardiac	31883-05-3	Moricizine	0.0
D001145	Arrhythmias, Cardiac	74135-04-9	morphiceptin	0.0
D001145	Arrhythmias, Cardiac	57-27-2	Morphine	0.0
D001145	Arrhythmias, Cardiac	134431-49-5	N-cyano-N'-(2-nitroxyethyl)-3-pyridinecarboximidamide methanesulfonate	0.0
D001145	Arrhythmias, Cardiac	465-65-6	Naloxone	0.0
D001145	Arrhythmias, Cardiac	76252-06-7	nicainoprol	0.0
D001145	Arrhythmias, Cardiac	65141-46-0	Nicorandil	0.0
D001145	Arrhythmias, Cardiac	21829-25-4	Nifedipine	0.0
D001145	Arrhythmias, Cardiac	5054-57-9	nifenalol	0.0
D001145	Arrhythmias, Cardiac	66085-59-4	Nimodipine	0.0
D001145	Arrhythmias, Cardiac	72-69-5	Nortriptyline	0.0
D001145	Arrhythmias, Cardiac	37612-09-2	O-demethylencainide	0.0
D001145	Arrhythmias, Cardiac	102394-31-0	otenzepad	0.0
D001145	Arrhythmias, Cardiac	6452-71-7	Oxprenolol	0.0
D001145	Arrhythmias, Cardiac	58-74-2	Papaverine	0.0
D001145	Arrhythmias, Cardiac	47082-97-3	pargolol	0.0
D001145	Arrhythmias, Cardiac	555-57-7	Pargyline	0.0
D001145	Arrhythmias, Cardiac	59-96-1	Phenoxybenzamine	0.0
D001145	Arrhythmias, Cardiac	57-41-0	Phenytoin	0.0
D001145	Arrhythmias, Cardiac	57-47-6	Physostigmine	0.0
D001145	Arrhythmias, Cardiac	92-13-7	Pilocarpine	0.0
D001145	Arrhythmias, Cardiac	88069-49-2	pilsicainide	0.0
D001145	Arrhythmias, Cardiac	85371-64-8	Pinacidil	0.0
D001145	Arrhythmias, Cardiac	110-85-0	Piperazine	0.0
D001145	Arrhythmias, Cardiac	61477-94-9	pirmenol	0.0
D001145	Arrhythmias, Cardiac	7440-09-7	Potassium	0.0
D001145	Arrhythmias, Cardiac	7447-40-7	Potassium Chloride	0.0
D001145	Arrhythmias, Cardiac	6673-35-4	Practolol	0.0
D001145	Arrhythmias, Cardiac	35080-11-6	Prajmaline	0.0
D001145	Arrhythmias, Cardiac	51-06-9	Procainamide	0.0
D001145	Arrhythmias, Cardiac	57-83-0	Progesterone	0.0
D001145	Arrhythmias, Cardiac	54-80-8	pronethalol	0.0
D001145	Arrhythmias, Cardiac	54063-53-5	Propafenone	0.0
D001145	Arrhythmias, Cardiac	96513-83-6	propisomide	0.0
D001145	Arrhythmias, Cardiac	2078-54-8	Propofol	0.0
D001145	Arrhythmias, Cardiac	525-66-6	Propranolol	0.0
D001145	Arrhythmias, Cardiac	82586-55-8	Quinapril	0.0
D001145	Arrhythmias, Cardiac	56-54-2	Quinidine	0.0
D001145	Arrhythmias, Cardiac	87333-19-5	Ramipril	0.0
D001145	Arrhythmias, Cardiac	87269-97-4	ramiprilat	0.0
D001145	Arrhythmias, Cardiac	50-55-5	Reserpine	0.0
D001145	Arrhythmias, Cardiac	54187-04-1	Rilmenidine	0.0
D001145	Arrhythmias, Cardiac	61413-54-5	Rolipram	0.0
D001145	Arrhythmias, Cardiac	15662-33-6	Ryanodine	0.0
D001145	Arrhythmias, Cardiac	96914-40-8	SC 36602	0.0
D001145	Arrhythmias, Cardiac	101526-62-9	sematilide	0.0
D001145	Arrhythmias, Cardiac	7440-23-5	Sodium	0.0
D001145	Arrhythmias, Cardiac	144-55-8	Sodium Bicarbonate	0.0
D001145	Arrhythmias, Cardiac	3930-20-9	Sotalol	0.0
D001145	Arrhythmias, Cardiac	90-39-1	Sparteine	0.0
D001145	Arrhythmias, Cardiac	107-35-7	Taurine	0.0
D001145	Arrhythmias, Cardiac	26839-75-8	Timolol	0.0
D001145	Arrhythmias, Cardiac	39563-28-5	tobanum	0.0
D001145	Arrhythmias, Cardiac	41708-72-9	Tocainide	0.0
D001145	Arrhythmias, Cardiac	396-01-0	Triamterene	0.0
D001145	Arrhythmias, Cardiac	117-89-5	Trifluoperazine	0.0
D001145	Arrhythmias, Cardiac	616-68-2	Trimecaine	0.0
D001145	Arrhythmias, Cardiac	5011-34-7	Trimetazidine	0.0
D001145	Arrhythmias, Cardiac	52-53-9	Verapamil	0.0
D001145	Arrhythmias, Cardiac	146-48-5	Yohimbine	0.0
D015535	Arthritis, Psoriatic	55079-83-9	Acitretin	0.0
D015535	Arthritis, Psoriatic	64-86-8	Colchicine	0.0
D015535	Arthritis, Psoriatic	15307-86-5	Diclofenac	0.0
D015535	Arthritis, Psoriatic	59-30-3	Folic Acid	0.0
D015535	Arthritis, Psoriatic	118-42-3	Hydroxychloroquine	0.0
D015535	Arthritis, Psoriatic	59-05-2	Methotrexate	0.0
D015535	Arthritis, Psoriatic	37229-16-6	naphthalan	0.0
D015535	Arthritis, Psoriatic	22204-53-1	Naproxen	0.0
D015535	Arthritis, Psoriatic	52-67-5	Penicillamine	0.0
D015535	Arthritis, Psoriatic	599-79-1	Sulfasalazine	0.0
D016918	Arthritis, Reactive	59-05-2	Methotrexate	0.0
D016918	Arthritis, Reactive	52-67-5	Penicillamine	0.0
D001172	Arthritis, Rheumatoid	89796-99-6	aceclofenac	0.0
D001172	Arthritis, Rheumatoid	103-90-2	Acetaminophen	0.0
D001172	Arthritis, Rheumatoid	22131-79-9	alclofenac	0.0
D001172	Arthritis, Rheumatoid	55869-99-3	anisodamine	0.0
D001172	Arthritis, Rheumatoid	1327-53-3	Arsenic Trioxide	0.0
D001172	Arthritis, Rheumatoid	22839-47-0	Aspartame	0.0
D001172	Arthritis, Rheumatoid	50-78-2	Aspirin	0.0
D001172	Arthritis, Rheumatoid	34031-32-8	Auranofin	0.0
D001172	Arthritis, Rheumatoid	12192-57-3	Aurothioglucose	0.0
D001172	Arthritis, Rheumatoid	446-86-6	Azathioprine	0.0
D001172	Arthritis, Rheumatoid	5003-48-5	benorilate	0.0
D001172	Arthritis, Rheumatoid	378-44-9	Betamethasone	0.0
D001172	Arthritis, Rheumatoid	65002-17-7	bucillamine	0.0
D001172	Arthritis, Rheumatoid	305-03-3	Chlorambucil	0.0
D001172	Arthritis, Rheumatoid	80-77-3	Chlormezanone	0.0
D001172	Arthritis, Rheumatoid	54-05-7	Chloroquine	0.0
D001172	Arthritis, Rheumatoid	50-63-5	chloroquine diphosphate	0.0
D001172	Arthritis, Rheumatoid	458-37-7	Curcumin	0.0
D001172	Arthritis, Rheumatoid	50-18-0	Cyclophosphamide	0.0
D001172	Arthritis, Rheumatoid	59865-13-3	Cyclosporine	0.0
D001172	Arthritis, Rheumatoid	50-02-2	Dexamethasone	0.0
D001172	Arthritis, Rheumatoid	15307-86-5	Diclofenac	0.0
D001172	Arthritis, Rheumatoid	21626-89-1	diftalone	0.0
D001172	Arthritis, Rheumatoid	89-25-8	Edaravone	0.0
D001172	Arthritis, Rheumatoid	202409-33-4	Etoricoxib	0.0
D001172	Arthritis, Rheumatoid	76824-35-6	Famotidine	0.0
D001172	Arthritis, Rheumatoid	34645-84-6	fenclofenac	0.0
D001172	Arthritis, Rheumatoid	31879-05-7	Fenoprofen	0.0
D001172	Arthritis, Rheumatoid	5104-49-4	Flurbiprofen	0.0
D001172	Arthritis, Rheumatoid	7440-57-5	Gold	0.0
D001172	Arthritis, Rheumatoid	12244-57-4	Gold Sodium Thiomalate	0.0
D001172	Arthritis, Rheumatoid	50-23-7	Hydrocortisone	0.0
D001172	Arthritis, Rheumatoid	118-42-3	Hydroxychloroquine	0.0
D001172	Arthritis, Rheumatoid	53-86-1	Indomethacin	0.0
D001172	Arthritis, Rheumatoid	22071-15-4	Ketoprofen	0.0
D001172	Arthritis, Rheumatoid	75706-12-6	Leflunomide	0.0
D001172	Arthritis, Rheumatoid	14769-73-4	Levamisole	0.0
D001172	Arthritis, Rheumatoid	63676-25-5	LY 117018	0.0
D001172	Arthritis, Rheumatoid	61-68-7	Mefenamic Acid	0.0
D001172	Arthritis, Rheumatoid	71125-38-7	Meloxicam	0.0
D001172	Arthritis, Rheumatoid	59-05-2	Methotrexate	0.0
D001172	Arthritis, Rheumatoid	83-43-2	Methylprednisolone	0.0
D001172	Arthritis, Rheumatoid	2921-57-5	Methylprednisolone Hemisuccinate	0.0
D001172	Arthritis, Rheumatoid	10118-90-8	Minocycline	0.0
D001172	Arthritis, Rheumatoid	59122-46-2	Misoprostol	0.0
D001172	Arthritis, Rheumatoid	42924-53-8	Nabumetone	0.0
D001172	Arthritis, Rheumatoid	22204-53-1	Naproxen	0.0
D001172	Arthritis, Rheumatoid	16837-52-8	oxymatrine	0.0
D001172	Arthritis, Rheumatoid	129-20-4	Oxyphenbutazone	0.0
D001172	Arthritis, Rheumatoid	10028-15-6	Ozone	0.0
D001172	Arthritis, Rheumatoid	70458-92-3	Pefloxacin	0.0
D001172	Arthritis, Rheumatoid	52-67-5	Penicillamine	0.0
D001172	Arthritis, Rheumatoid	50-33-9	Phenylbutazone	0.0
D001172	Arthritis, Rheumatoid	36322-90-4	Piroxicam	0.0
D001172	Arthritis, Rheumatoid	31793-07-4	pirprofen	0.0
D001172	Arthritis, Rheumatoid	50-24-8	Prednisolone	0.0
D001172	Arthritis, Rheumatoid	53-03-2	Prednisone	0.0
D001172	Arthritis, Rheumatoid	23476-83-7	Prospidium	0.0
D001172	Arthritis, Rheumatoid	83-89-6	Quinacrine	0.0
D001172	Arthritis, Rheumatoid	6998-60-3	rifamycin SV	0.0
D001172	Arthritis, Rheumatoid	599-79-1	Sulfasalazine	0.0
D001172	Arthritis, Rheumatoid	38194-50-2	Sulindac	0.0
D001172	Arthritis, Rheumatoid	109581-93-3	Tacrolimus	0.0
D001172	Arthritis, Rheumatoid	94497-51-5	tamibarotene	0.0
D001172	Arthritis, Rheumatoid	120210-48-2	tenidap	0.0
D001172	Arthritis, Rheumatoid	59804-37-4	tenoxicam	0.0
D001172	Arthritis, Rheumatoid	50-35-1	Thalidomide	0.0
D001172	Arthritis, Rheumatoid	490-91-5	thymoquinone	0.0
D001172	Arthritis, Rheumatoid	1953-02-2	Tiopronin	0.0
D001172	Arthritis, Rheumatoid	302-79-4	Tretinoin	0.0
D001172	Arthritis, Rheumatoid	38748-32-2	triptolide	0.0
D001228	Aspergillosis	1397-89-3	Amphotericin B	0.0
D001228	Aspergillosis	23593-75-1	Clotrimazole	0.0
D001228	Aspergillosis	86386-73-4	Fluconazole	0.0
D001228	Aspergillosis	103961-78-0	ICI 195739	0.0
D001228	Aspergillosis	84625-61-6	Itraconazole	0.0
D001228	Aspergillosis	65277-42-1	Ketoconazole	0.0
D001228	Aspergillosis	89-83-8	Thymol	0.0
D001249	Asthma	58-61-7	Adenosine	0.0
D001249	Asthma	18559-94-9	Albuterol	0.0
D001249	Asthma	317-34-0	Aminophylline	0.0
D001249	Asthma	431-89-0	apaflurane	0.0
D001249	Asthma	1327-53-3	Arsenic Trioxide	0.0
D001249	Asthma	81732-65-2	bambuterol	0.0
D001249	Asthma	4419-39-0	Beclomethasone	0.0
D001249	Asthma	30392-40-6	bitolterol	0.0
D001249	Asthma	51333-22-3	Budesonide	0.0
D001249	Asthma	22232-54-8	Carbimazole	0.0
D001249	Asthma	15826-37-6	Cromolyn Sodium	0.0
D001249	Asthma	60-92-4	Cyclic AMP	0.0
D001249	Asthma	2353-33-5	Decitabine	0.0
D001249	Asthma	50-02-2	Dexamethasone	0.0
D001249	Asthma	64019-03-0	doqualast	0.0
D001249	Asthma	69975-86-6	doxofylline	0.0
D001249	Asthma	518-82-1	Emodin	0.0
D001249	Asthma	41078-02-8	enprofylline	0.0
D001249	Asthma	299-42-3	Ephedrine	0.0
D001249	Asthma	989-51-5	epigallocatechin gallate	0.0
D001249	Asthma	51-43-4	Epinephrine	0.0
D001249	Asthma	13392-18-2	Fenoterol	0.0
D001249	Asthma	624-15-7	geraniol	0.0
D001249	Asthma	596-51-0	Glycopyrrolate	0.0
D001249	Asthma	93-14-1	Guaifenesin	0.0
D001249	Asthma	151-67-7	Halothane	0.0
D001249	Asthma	9005-49-6	Heparin	0.0
D001249	Asthma	50-23-7	Hydrocortisone	0.0
D001249	Asthma	60205-81-4	Ipratropium	0.0
D001249	Asthma	7683-59-2	Isoproterenol	0.0
D001249	Asthma	34580-13-7	Ketotifen	0.0
D001249	Asthma	79794-75-5	Loratadine	0.0
D001249	Asthma	586-06-1	Metaproterenol	0.0
D001249	Asthma	59-05-2	Methotrexate	0.0
D001249	Asthma	83-43-2	Methylprednisolone	0.0
D001249	Asthma	28109-92-4	methylxanthine	0.0
D001249	Asthma	158966-92-8	montelukast	0.0
D001249	Asthma	69049-73-6	Nedocromil	0.0
D001249	Asthma	55985-32-5	Nicardipine	0.0
D001249	Asthma	21829-25-4	Nifedipine	0.0
D001249	Asthma	30286-75-0	oxitropium	0.0
D001249	Asthma	50-06-6	Phenobarbital	0.0
D001249	Asthma	50-24-8	Prednisolone	0.0
D001249	Asthma	53-03-2	Prednisone	0.0
D001249	Asthma	72332-33-3	Procaterol	0.0
D001249	Asthma	525-66-6	Propranolol	0.0
D001249	Asthma	94-07-5	Synephrine	0.0
D001249	Asthma	118-34-3	syringin	0.0
D001249	Asthma	23031-25-6	Terbutaline	0.0
D001249	Asthma	50679-08-8	Terfenadine	0.0
D001249	Asthma	58-55-9	Theophylline	0.0
D001249	Asthma	53902-12-8	tranilast	0.0
D001249	Asthma	302-79-4	Tretinoin	0.0
D001249	Asthma	76-25-5	Triamcinolone Acetonide	0.0
D001249	Asthma	8064-90-2	Trimethoprim, Sulfamethoxazole Drug Combination	0.0
D001249	Asthma	41570-61-0	tulobuterol	0.0
D001249	Asthma	107753-78-6	zafirlukast	0.0
D001249	Asthma	132880-11-6	zileuton	0.0
D001249	Asthma	7440-66-6	Zinc	0.0
D055963	Asthma, Aspirin-Induced	158966-92-8	montelukast	0.0
D055963	Asthma, Aspirin-Induced	107753-78-6	zafirlukast	0.0
D001250	Asthma, Exercise-Induced	158966-92-8	montelukast	0.0
D001250	Asthma, Exercise-Induced	107753-78-6	zafirlukast	0.0
D001250	Asthma, Exercise-Induced	132880-11-6	zileuton	0.0
D050197	Atherosclerosis	10043-01-3	aluminum sulfate	0.0
D050197	Atherosclerosis	88150-42-9	Amlodipine	0.0
D050197	Atherosclerosis	50-78-2	Aspirin	0.0
D050197	Atherosclerosis	86541-75-5	benazepril	0.0
D050197	Atherosclerosis	5638-76-6	Betahistine	0.0
D050197	Atherosclerosis	41859-67-0	Bezafibrate	0.0
D050197	Atherosclerosis	331-39-5	caffeic acid	0.0
D050197	Atherosclerosis	404-86-4	Capsaicin	0.0
D050197	Atherosclerosis	305-84-0	Carnosine	0.0
D050197	Atherosclerosis	154-23-4	Catechin	0.0
D050197	Atherosclerosis	7440-47-3	Chromium	0.0
D050197	Atherosclerosis	637-07-0	Clofibrate	0.0
D050197	Atherosclerosis	42553-65-1	crocin	0.0
D050197	Atherosclerosis	142-71-2	cupric acetate	0.0
D050197	Atherosclerosis	458-37-7	Curcumin	0.0
D050197	Atherosclerosis	13270-61-6	delphinidin	0.0
D050197	Atherosclerosis	125-71-3	Dextromethorphan	0.0
D050197	Atherosclerosis	75847-73-3	Enalapril	0.0
