DiseaseName	DiseaseID
Thrombosis	D013927
Translocation, Genetic	D014178
Vomiting	D014839
Alzheimer Disease	D000544
Antiphospholipid Syndrome	D016736
Atherosclerosis	D050197
Barrett Esophagus	D001471
Brain Ischemia	D002545
Calcinosis	D002114
Carotid Intimal Medial Thickness 1	C563733
Cerebral Hemorrhage	D002543
Chronobiology Disorders	D021081
Colitis, Ulcerative	D003093
Copper-Overload Cirrhosis	C566858
Crohn Disease	D003424
Cryptorchidism	D003456
Diabetes Mellitus	D003920
Diabetes Mellitus, Experimental	D003921
Diabetic Angiopathies	D003925
Diabetic Nephropathies	D003928
Diabetic Neuropathies	D003929
Diabetic Retinopathy	D003930
Dyslipidemias	D050171
Edema	D004487
Glomerulonephritis	D005921
Heart Failure	D006333
Heart Valve Diseases	D006349
Hepatitis, Chronic	D006521
Inflammation	D007249
Ischemia	D007511
Leukemia, Promyelocytic, Acute	D015473
Leukostasis	D018921
Lipidoses	D008064
Lipodystrophy, Familial Partial	D052496
Lymphoma, T-Cell	D016399
Melanoma	D008545
Metabolic Diseases	D008659
Mycoplasma Infections	D009175
Myocardial Infarction	D009203
Myocardial Reperfusion Injury	D015428
Nerve Degeneration	D009410
Non-alcoholic Fatty Liver Disease	D065626
Osteoarthritis	D010003
Pituitary ACTH Hypersecretion	D047748
Psoriasis	D011565
Renal Insufficiency	D051437
Retinal Detachment	D012163
Sepsis	D018805
Spinal Cord Injuries	D013119
Subarachnoid Hemorrhage	D013345
Thyroid cancer, follicular	C572845
Thyroid Neoplasms	D013964
Autoimmune Lymphoproliferative Syndrome	D056735
Dermatitis, Allergic Contact	D017449
Dermatitis, Contact	D003877
Mitochondrial Diseases	D028361
Papillomavirus Infections	D030361
Prostate cancer, familial	C537243
Adenomatous Polyposis Coli	D011125
Anaplasia	D000708
Aortic Valve, Calcification of	C562942
Asthma	D001249
Ataxia	D001259
Atrophy	D001284
Brain Neoplasms	D001932
Bronchitis, Chronic	D029481
Carcinogenesis	D063646
Carcinoma, Intraductal, Noninfiltrating	D002285
Carcinoma, Pancreatic Ductal	D021441
Carcinoma, Renal Cell	D002292
Cardiomegaly	D006332
Cardiomyopathies	D009202
Ceroid Lipofuscinosis, Neuronal, 6	C566627
Cholangitis, Sclerosing	D015209
Choreoathetosis-Spasticity, Episodic	C563401
Choroidal Neovascularization	D020256
Clear-cell metastatic renal cell carcinoma	C538445
Corneal Neovascularization	D016510
Coronary Artery Disease	D003324
Coronavirus Infections	D018352
Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly	C563840
Dermatitis, Atopic	D003876
Diabetes Complications	D048909
Epilepsy, Temporal Lobe	D004833
Erectile Dysfunction	D007172
Esophageal Squamous Cell Carcinoma	D000077277
Fibrosis	D005355
Gliosarcoma	D018316
Gliosis	D005911
Glut1 Deficiency Syndrome	C536830
Head and Neck Neoplasms	D006258
Heart Diseases	D006331
Hemangioblastoma	D018325
Hepatomegaly	D006529
Hodgkin Disease	D006689
Hyperplasia	D006965
Hypertension, Portal	D006975
Hypertension, Pulmonary	D006976
Hypertriglyceridemia	D015228
Hypertrophy	D006984
Hypoxia-Ischemia, Brain	D020925
Idiopathic Pulmonary Fibrosis	D054990
Intellectual Disability	D008607
Learning Disabilities	D007859
Leukemia, Myeloid	D007951
Liver Cirrhosis	D008103
Liver Cirrhosis, Biliary	D008105
Liver Failure	D017093
Liver Failure, Acute	D017114
Lung Diseases	D008171
Macular Degeneration	D008268
Macular Edema	D008269
Memory Disorders	D008569
Meningioma	D008579
Metabolism, Inborn Errors	D008661
Microcephaly	D008831
Muscular Atrophy	D009133
Neoplasm Invasiveness	D009361
Neoplasms, Experimental	D009374
Neovascularization, Pathologic	D009389
Osteochondrodysplasias	D010009
Pain	D010146
Peritoneal Neoplasms	D010534
Pneumonia, Pneumococcal	D011018
Precancerous Conditions	D011230
Proteinuria	D011507
Proteus Syndrome	D016715
Psychoses, Substance-Induced	D011605
Radiation Injuries, Experimental	D011833
Respiratory Hypersensitivity	D012130
Retinal Diseases	D012164
Retinal Vein Occlusion	D012170
Rhabdomyosarcoma	D012208
Schizophrenia	D012559
Severe Acute Respiratory Syndrome	D045169
Sezary Syndrome	D012751
Stomach Ulcer	D013276
Thrombotic Microangiopathies	D057049
Urologic Neoplasms	D014571
Acute Coronary Syndrome	D054058
Autism Spectrum Disorder	D000067877
Bernard-Soulier Syndrome	D001606
Carotid Artery Thrombosis	D002341
Coronary Thrombosis	D003328
Glanzmann Thrombasthenia, Autosomal Dominant	C566061
Hip Fractures	D006620
Malaria	D008288
Stroke	D020521
Thrombasthenia	D013915
Thrombocytopenia	D013921
Thrombocytopenia, Neonatal Alloimmune	D054098
Thrombocytosis	D013922
Von Willebrand disease, platelet type	C536458
Anemia	D000740
beta-Thalassemia	D017086
Biliary Atresia	D001656
Heart Failure, Diastolic	D054144
Hemochromatosis	D006432
Hemochromatosis, Type 2B	C566557
Hepatolenticular Degeneration	D006527
Iron Overload	D019190
Abortion, Habitual	D000026
Acquired Hyperostosis Syndrome	D020083
Acute erythroleukemia	C535673
Adenocarcinoma, Clear Cell	D018262
Adenocarcinoma Of Esophagus	C562730
Adenoma	D000236
Adrenal Gland Neoplasms	D000310
Adrenocortical Carcinoma, Hereditary	C565972
Amyotrophic Lateral Sclerosis	D000690
Arsenic Poisoning	D020261
Balkan Nephropathy	D001449
Carcinoma, Adenoid Cystic	D003528
Carcinoma, Basal Cell	D002280
Carcinoma, Small Cell	D018288
Carcinoma, Transitional Cell	D002295
Cardiotoxicity	D066126
Carotid Artery Diseases	D002340
Central Nervous System Neoplasms	D016543
Cholangiocarcinoma	D018281
Chromosome 17 deletion	C538045
Demyelinating Diseases	D003711
Embryo Loss	D020964
Emphysema	D004646
Gallbladder Neoplasms	D005706
Glioma	D005910
HIV Infections	D015658
Ischemic Attack, Transient	D002546
Keratosis	D007642
Kidney Diseases	D007674
Leukemia, Lymphocytic, Chronic, B-Cell	D015451
Leukemia, Megakaryoblastic, of Down Syndrome	C566025
Li-Fraumeni Syndrome	D016864
Liver Diseases, Parasitic	D008109
Lymphoma, T-Cell, Cutaneous	D016410
Mouth Neoplasms	D009062
Muscular Dystrophy, Facioscapulohumeral	D020391
Myeloproliferative Disorders	D009196
Nasopharyngeal Carcinoma	D000077274
Papilloma	D010212
Papilloma, Choroid Plexus	D020288
Penile Neoplasms	D010412
Polyploidy	D011123
Sarcoma	D012509
Small Cell Lung Carcinoma	D055752
Thymoma	D013945
Urogenital Neoplasms	D014565
Vulvar Lichen Sclerosus	D007724
Alcoholism	D000437
Amyloidosis	D000686
Anemia, hypochromic microcytic	C536357
Angioedema	D000799
Anuria	D001002
Apnea	D001049
Azoospermia	D053713
Bamforth syndrome	C537901
Butyrylcholinesterase deficiency	C537417
Cognition Disorders	D003072
Congenital atransferrinemia	C538259
Death	D003643
Depressive Disorder	D003866
Diabetic Cardiomyopathies	D058065
Echinococcosis	D004443
Epilepsy, Tonic-Clonic	D004830
Fasciculation	D005207
Glomerulonephritis, Membranoproliferative	D015432
Glomerulonephritis, Membranous	D015433
Growth Disorders	D006130
Hemolytic-Uremic Syndrome	D006463
Hepatic Insufficiency	D048550
Hepatitis	D006505
HIV Seropositivity	D006679
Hyperkeratosis, Epidermolytic	D017488
Hypersensitivity	D006967
Hypersensitivity, Delayed	D006968
Hyperthyroxinemia, Familial Dysalbuminemic	D050010
Hypoalbuminemia	D034141
Hypotension	D007022
Ichthyosis, Cyclic, with Epidermolytic Hyperkeratosis	C564367
Ichthyosis hystrix, Curth Macklin type	C536088
Keloid	D007627
Keratoderma, Palmoplantar, Epidermolytic	D053546
Keratosis palmoplantaris striata 3	C536163
Lung Injury	D055370
Meningitis, Aseptic	D008582
Movement Disorders	D009069
Multiple Sclerosis	D009103
Muscular Diseases	D009135
Muscular Dystrophies	D009136
Myopathies, Structural, Congenital	D020914
Nephritis	D009393
Nephritis, Interstitial	D009395
Nephrosis	D009401
Nephrotic Syndrome	D009404
Occupational Diseases	D009784
Organophosphate Poisoning	D062025
Palmoplantar Keratoderma, Nonepidermolytic	C563422
Pancreatic Diseases	D010182
Pancreatitis	D010195
Paralysis	D010243
Paratuberculosis	D010283
Paresis	D010291
Polycystic Ovary Syndrome	D011085
Postoperative Complications	D011183
Prenatal Injuries	D049188
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2	C563750
Respiratory Distress Syndrome	D012128
Respiratory Tract Diseases	D012140
Restless Legs Syndrome	D012148
Rhinitis, Allergic, Perennial	D012221
Serum Sickness	D012713
Sinusitis	D012852
Sleep Apnea Syndromes	D012891
Stevens-Johnson Syndrome	D013262
Tachycardia	D013610
Tremor	D014202
Trismus	D014313
Urticaria	D014581
Uveitis	D014605
AIDS-related Kaposi sarcoma	C554498
Asbestosis	D001195
Chondrosarcoma, Mesenchymal	D018211
Diabetes Mellitus, Type 1	D003922
Hearing Loss	D034381
Huntington Disease	D006816
Intestinal Diseases	D007410
Liposarcoma, Myxoid	D018208
Liver Cirrhosis, Alcoholic	D008104
Liver Diseases	D008107
Lymphoma, Follicular	D008224
Metaplasia	D008679
Necrosis	D009336
Ocular Hypertension	D009798
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	D054218
Retinal Degeneration	D012162
Sarcoma, Synovial	D013584
Soft Tissue Neoplasms	D012983
Ulcer	D014456
Basal Ganglia Diseases	D001480
Bradycardia	D001919
Coma	D003128
Drug Metabolism, Poor, CYP2D6-Related	C563835
Dystonia	D004421
Manganese Poisoning	D020149
Muscle Rigidity	D009127
Prenatal Exposure Delayed Effects	D011297
Sexual Dysfunctions, Psychological	D020018
Substance-Related Disorders	D019966
Weight Gain	D015430
Coumarin Resistance	C563039
Drug Hypersensitivity	D004342
Hepatitis C	D006526
Hypophosphatemia	D017674
Jaundice, Neonatal	D007567
Metabolic Syndrome	D024821
Peptic Ulcer Hemorrhage	D010438
Plaque, Atherosclerotic	D058226
Torsades de Pointes	D016171
Warfarin Sensitivity	C567080
Aortic Aneurysm, Abdominal	D017544
Autoimmune Diseases	D001327
Brain Injuries, Traumatic	D000070642
Cardiomyopathy, Dilated	D002311
Ceroid lipofuscinosis, neuronal 1, infantile	C537948
Chloracne	D054506
Craniofacial Abnormalities	D019465
Dermatitis	D003872
Diverticular Diseases	D000076385
Hearing Loss, Sensorineural	D006319
Hematologic Diseases	D006402
Hyperlipidemia, Familial Combined	D006950
Hypersplenism	D006971
Kyphosis	D007738
Lupus Nephritis	D008181
Lymphomatoid Papulosis	D017731
Lymphoproliferative Disorders	D008232
Lymphoproliferative Syndrome, X-Linked, 2	C564469
Malaria, Falciparum	D016778
Methylmalonic acidemia	C537358
Microsatellite Instability	D053842
Myasthenia Gravis	D009157
Oculoauricular Syndrome	C567416
Osteoarthritis, Hip	D015207
Parkinsonian Disorders	D020734
Pneumonia	D011014
Pregnancy Complications, Cardiovascular	D011249
Pulmonary Edema	D011654
Pulmonary Fibrosis	D011658
Spinal Cord Ischemia	D020760
Splenomegaly	D013163
Stomatognathic Diseases	D009057
Taste Disorders	D013651
Testicular Diseases	D013733
Thrombocytopenia 4	C567438
Ventricular Dysfunction, Left	D018487
Vitamin A Deficiency	D014802
46, XX Disorders of Sex Development	D058489
Bipolar Disorder	D001714
Glucocorticoid Receptor Deficiency	C564221
Glucose Metabolism Disorders	D044882
Hypokalemia	D007008
Lung Diseases, Obstructive	D008173
Mood Disorders	D019964
Psychotic Disorders	D011618
Abortion, Spontaneous	D000022
Albuminuria	D000419
Anemia, Refractory	D000753
Anemia, Sickle Cell	D000755
Angina, Stable	D060050
Angina, Unstable	D000789
Anorexia	D000855
Anthracosis	D055008
Arthritis, Infectious	D001170
Arthritis, Psoriatic	D015535
Asthma, Occupational	D059366
Behcet Syndrome	D001528
Berylliosis	D001607
Brain Edema	D001929
Bronchiectasis	D001987
Bronchopulmonary Dysplasia	D001997
Burns	D002056
Burns, Chemical	D002057
Cachexia	D002100
Cardiovirus Infections	D018188
Chlamydia Infections	D002690
Cholestasis	D002779
Colitis	D003092
Coronary Restenosis	D023903
COVID-19	D000086382
Coxsackievirus Infections	D003384
Dermatomyositis	D003882
Down Syndrome	D004314
Drug Eruptions	D003875
Entamoebiasis	D004749
Esophagitis, Peptic	D004942
Essential Hypertension	D000075222
Eye Infections, Bacterial	D015818
Fanconi Anemia	D005199
Fibromatosis, Aggressive	D018222
Gastritis, Atrophic	D005757
Gastroesophageal Reflux	D005764
Gout	D006073
Heart Arrest	D006323
Hepatic Encephalopathy	D006501
Hepatitis, Alcoholic	D006519
Hernia, Diaphragmatic	D006548
HIV Wasting Syndrome	D019247
Hyperbilirubinemia	D006932
Hypercalcemia	D006934
Hyperemia	D006940
Hyperhomocysteinemia	D020138
Hyperinsulinism	D006946
Hypoglycemia	D007003
Hypothermia	D007035
Infections	D007239
Inflammatory Bowel Diseases	D015212
Inflammatory Breast Neoplasms	D058922
Intervertebral Disc Degeneration	D055959
Intrahepatic Cholestasis of Pregnancy	C535932
Kearns-Sayre Syndrome	D007625
Keratitis	D007634
Leishmaniasis	D007896
Leishmaniasis, Cutaneous	D016773
Leishmaniasis, Visceral	D007898
Lethargy	D053609
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464
Leukocytosis	D007964
Lichenoid Eruptions	D017512
Listeriosis	D008088
Lymphopenia	D008231
MELAS Syndrome	D017241
MERRF Syndrome	D017243
Mitochondrial Myopathies	D017240
Mucositis	D052016
Multiple Organ Failure	D009102
Myocardial Stunning	D017682
Myocarditis	D009205
Neuralgia	D009437
Neuralgia, Postherpetic	D051474
Neurogenic Inflammation	D020078
Neuroinflammatory Diseases	D000090862
Ophthalmoplegia, Chronic Progressive External	D017246
Optic Atrophy, Hereditary, Leber	D029242
Oral Submucous Fibrosis	D009914
Osteoarthritis, Spine	D055013
Osteolysis	D010014
Osteoporosis, Postmenopausal	D015663
Pain, Intractable	D010148
Pemphigoid, Bullous	D010391
Peptic Ulcer	D010437
Placenta Diseases	D010922
Pleural Effusion	D010996
Pleurisy	D010998
Polymyositis	D017285
Premature Birth	D047928
Pyogenic arthritis, pyoderma gangrenosum, and acne	C536253
Salmonella Infections, Animal	D012481
Scleroderma, Localized	D012594
Shock, Hemorrhagic	D012771
Shock, Septic	D012772
Silicosis	D012829
Skin Diseases	D012871
Sleep Wake Disorders	D012893
Spinal Cord Compression	D013117
Staphylococcal Infections	D013203
Tobacco Use Disorder	D014029
Triple Negative Breast Neoplasms	D064726
Vascular Diseases	D014652
Vascular System Injuries	D057772
Venous Thromboembolism	D054556
Ventricular Dysfunction	D018754
Vitiligo	D014820
Wounds and Injuries	D014947
Abnormalities, Multiple	D000015
Adrenoleukodystrophy	D000326
Anemia, Hemolytic	D000743
Angina Pectoris	D000787
Aortic Aneurysm	D001014
Aortic Aneurysm, Thoracic	D017545
Aortic Diseases	D001018
Aortic Rupture	D001019
Arrhythmias, Cardiac	D001145
Arterial Occlusive Diseases	D001157
Arteriosclerosis	D001161
Asphyxia Neonatorum	D001238
Asthenozoospermia	D053627
Asthma, Aspirin-Induced	D055963
Bile Duct Neoplasms	D001650
Blood Coagulation Disorders	D001778
Bone Diseases, Developmental	D001848
Bone Neoplasms	D001859
Bowen's Disease	D001913
Bronchial Hyperreactivity	D016535
Carcinoma, Ductal, Breast	D018270
Carcinoma in Situ	D002278
Cataract	D002386
Cecal Neoplasms	D002430
Cerebral Infarction	D002544
Cerebrovascular Disorders	D002561
Charcot-Marie-Tooth disease, Type 2F	C535413
Clinical Deterioration	D000075902
Corneal Injuries	D065306
Coronary Disease	D003327
Cystitis	D003556
Duodenal Ulcer	D004381
Ectodermal Dysplasia, Anhidrotic, With T-Cell Immunodeficiency, Autosomal Dominant	C567411
Embolism, Cholesterol	D017700
Familial Primary Pulmonary Hypertension	D065627
Fetal Diseases	D005315
Gastroparesis	D018589
Genomic Instability	D042822
Glaucoma, Open-Angle	D005902
Glomerulonephritis, IGA	D005922
Glucose Intolerance	D018149
Graft Occlusion, Vascular	D006083
Graves Ophthalmopathy	D049970
Heart Rupture, Post-Infarction	D006342
Hematuria	D006417
Heme Oxygenase 1 Deficiency	C564200
Hemolysis	D006461
Hepatorenal Syndrome	D006530
Hydronephrosis	D006869
Hyperbilirubinemia, Neonatal	D051556
Hypercholesterolemia	D006937
Hyperglycemia	D006943
Hyperparathyroidism	D006961
IgA Vasculitis	D011695
Intestinal Polyps	D007417
Intracranial Embolism and Thrombosis	D002542
Intracranial Hemorrhages	D020300
Iron Metabolism Disorders	D019189
Ischemic Stroke	D000083242
Lead Poisoning	D007855
Leiomyoma	D007889
Leiomyosarcoma	D007890
Leukoplakia, Oral	D007972
Limb Deformities, Congenital	D017880
Lipodystrophy, Congenital Generalized, Type 3	C567282
Lupus Erythematosus, Systemic	D008180
Lymphoma, B-Cell	D016393
Lymphoma, Large-Cell, Anaplastic	D017728
Lymphoma, Mantle-Cell	D020522
Mandibuloacral dysplasia with type A lipodystrophy	C535705
Marfan Syndrome	D008382
Mastocytosis, Systemic	D034721
Mesothelioma	D008654
Metaphyseal Anadysplasia 2	C567771
Morphine Dependence	D009021
Mouth Diseases	D009059
Nasopharyngeal Neoplasms	D009303
Neointima	D058426
Neurodegenerative Diseases	D019636
Neuronopathy, Distal Hereditary Motor, Type IIB	C567084
Pancreatic Carcinoma	C562463
Pericardial Effusion	D010490
Periodontitis	D010518
Polycystic Kidney, Autosomal Recessive	D017044
Puberty, Precocious	D011629
Pulmonary Embolism	D011655
Quebec platelet disorder	C536260
Rectal Neoplasms	D012004
Recurrence	D012008
Respiratory Syncytial Virus Infections	D018357
Rhinitis, Allergic	D065631
Sagittal Sinus Thrombosis	D020225
Salivary Gland Neoplasms	D012468
Skin Abnormalities	D012868
Spinocerebellar Ataxia 17	C564616
Thromboembolism	D013923
Tongue Neoplasms	D014062
Tuberculosis, Pulmonary	D014397
Uremia	D014511
Ureteral Obstruction	D014517
Urinary Bladder Neck Obstruction	D001748
Vasculitis	D014657
Venous Thrombosis	D020246
Ventricular Fibrillation	D014693
von Hippel-Lindau Disease	D006623
Adenoma, Liver Cell	D018248
Agranulocytosis	D000380
Amnesia	D000647
Anemia, Aplastic	D000741
Anisometropia	D015858
Endometrial Hyperplasia	D004714
Eyelid Diseases	D005141
Gastrointestinal Hemorrhage	D006471
Hamartoma Syndrome, Multiple	D006223
Hemangioma	D006391
Language Development Disorders	D007805
LEOPARD Syndrome	D044542
Leukemia, Experimental	D007942
Leukemia, Myelomonocytic, Juvenile	D054429
Leukopenia	D007970
Lipoma	D008067
Lipomatosis	D008068
Lymphoma, AIDS-Related	D016483
Macrocephaly Autism Syndrome	C565342
Melanoma, Experimental	D008546
Meningioma, familial	C537443
Motor Skills Disorders	D019957
Muscle Weakness	D018908
Nasal Polyps	D009298
Neoplasm, Residual	D018365
Neoplasms, Germ Cell and Embryonal	D009373
Neural Tube Defects	D009436
Polydactyly	D017689
Testicular Neoplasms	D013736
VACTERL Association With Hydrocephalus	C564751
Cardiofaciocutaneous syndrome	C535579
Cerebral Cavernous Malformations 3	C566393
Costello Syndrome	D056685
Influenza, Human	D007251
Leukemia, Hairy Cell	D007943
Melorheostosis	D008557
Noonan Syndrome	D009634
Acanthosis Nigricans	D000052
Acatalasia	D020642
Adenylate Kinase Deficiency, Hemolytic Anemia Due To	C567228
Aging, Premature	D019588
Allanson Pantzar McLeod syndrome	C537048
Alveolitis, Extrinsic Allergic	D000542
Amaurosis congenita of Leber, type 2	C536601
Amino Acid Metabolism, Inborn Errors	D000592
Amyloid angiopathy	C538248
Amyloid Neuropathies	D017772
Amyloidosis, Cerebroarterial, App-Related	C537944
Anemia, Iron-Deficiency	D018798
Anemia, Sideroblastic	D000756
Aortic Valve Insufficiency	D001022
Arenaviridae Infections	D001117
Arteritis	D001167
Birth Weight	D001724
Blindness	D001766
Body Weight	D001835
Bone Fragility with Contractures, Arterial Rupture, and Deafness	C567320
Bone Resorption	D001862
Bronchiectasis With Or Without Elevated Sweat Chloride 1	C567618
Canavan Disease	D017825
Cardiac Output, High	D016534
Cataract and cardiomyopathy	C538280
Celiac Disease	D002446
Central Nervous System Diseases	D002493
Cerebral Amyloid Angiopathy	D016657
Cerebrooculofacioskeletal Syndrome 2	C565185
Cholangitis	D002761
Choledochal Cyst	D015529
Cholestasis, Intrahepatic	D002780
Cognitive Dysfunction	D060825
Color Vision Defects	D003117
Congenital bilateral aplasia of vas deferens	C535984
Cough	D003371
Creutzfeldt-Jakob Syndrome	D007562
Cystic Fibrosis	D003550
Deafness	D003638
Death, Sudden	D003645
Deficiency Diseases	D003677
Dementia	D003704
Depressive Disorder, Major	D003865
Disorders of Sex Development	D012734
Dyskinesia, Drug-Induced	D004409
Dyspnea	D004417
Endotoxemia	D019446
Enterocolitis, Necrotizing	D020345
Epidermolysis Bullosa, Junctional	D016109
Epidermolysis Bullosa, Junctional, Non-Herlitz Type	C562639
Erythrocytosis, Familial, 3	C565221
Esophageal Stenosis	D004940
Esophagitis	D004941
Eye Diseases, Hereditary	D015785
Eye Manifestations	D005132
Fanconi Syndrome	D005198
Farber Lipogranulomatosis	D055577
Fatigue	D005221
Fatty Liver, Alcoholic	D005235
Fetal Alcohol Spectrum Disorders	D063647
Fetal Growth Retardation	D005317
Fragile X Syndrome	D005600
Gait Disorders, Neurologic	D020233
Gastro-enteropancreatic neuroendocrine tumor	C535650
Gaucher Disease	D005776
Glomerulosclerosis, Focal Segmental	D005923
Glycogen Storage Disease Type V	D006012
Glycogen Storage Disease XII	C562718
Granuloma, Respiratory Tract	D015769
Hamartoma	D006222
Helicobacter Infections	D016481
Hepatic Veno-Occlusive Disease	D006504
Hereditary pancreatitis	C537262
Hereditary renal agenesis	C536482
Hernias, Diaphragmatic, Congenital	D065630
Heroin Dependence	D006556
Hyper-Ige Recurrent Infection Syndrome, Autosomal Dominant	C567925
Hyperoxia	D018496
Hyperpigmentation	D017495
Hyperthyroidism	D006980
Hyperventilation	D006985
Hypoxia	D000860
Ichthyosis follicularis atrichia photophobia syndrome	C536085
Infant, Premature, Diseases	D007235
Job Syndrome	D007589
Keratosis Follicularis Spinulosa Decalvans, X-Linked	C536159
Kidney Calculi	D007669
Kidney Tubular Necrosis, Acute	D007683
Lactate dehydrogenase deficiency type A	C538133
Leber Congenital Amaurosis	D057130
Leukemia-Lymphoma, Adult T-Cell	D015459
Leukemia, T-Cell	D015458
Lewy Body Disease	D020961
Long Qt Syndrome 11	C567513
Lung Diseases, Interstitial	D017563
Lymphatic Metastasis	D008207
Male Pseudohermaphroditism due to Deficiency of Testicular 17,20-Desmolase	C564109
Meningococcal Infections	D008589
Meningomyelocele	D008591
Motor Neuron Disease	D016472
Multiple Chemical Sensitivity	D018777
Myoglobinuria	D009212
Neoplasms, Hormone-Dependent	D009376
Nerve Sheath Neoplasms	D018317
