Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
118	1	1	0.262	0.262	0.262	0.262
119	1	1	0.089	0.089	0.089	0.089
120	2	1	-0.0	-0.0	0.0	-0.0
121	1	1	1.0	1.0	1.0	1.0
122	2	1	0.206	0.206	0.206	0.206
123	2	1	1.0	1.0	1.0	1.0
124	1	1	0.439	0.439	0.439	0.439
125	1	1	0.032	0.032	0.032	0.032
126	2	1	0.223	0.223	0.223	0.223
127	1	1	0.089	0.089	0.089	0.089
128	1	1	0.113	0.113	0.113	0.113
129	2	1	1.0	1.0	1.0	1.0
130	2	1	0.0	0.0	0.0	0.0
131	1	1	0.175	0.175	0.175	0.175
132	3	1	0.079	0.079	0.079	0.079
133	2	1	0.286	0.286	0.286	0.286
134	4	1	1.0	1.0	1.0	1.0
135	1	1	0.259	0.259	0.259	0.259
136	1	1	1.0	1.0	1.0	1.0
137	1	1	0.238	0.238	0.238	0.238
138	1	1	0.142	0.142	0.142	0.142
139	2	1	0.2	0.2	0.2	0.2
