Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
100	1	1	0.576	0.576	0.576	0.576
101	1	1	0.656	0.656	0.656	0.656
102	1	1	0.425	0.425	0.425	0.425
103	4	1	0.441	0.441	0.441	0.441
104	1	1	0.0	0.0	0.0	0.0
105	1	1	0.538	0.538	0.538	0.538
106	1	1	0.903	0.903	0.903	0.903
107	1	1	0.0	0.0	0.0	0.0
108	1	1	0.425	0.425	0.425	0.425
109	1	1	1.0	1.0	1.0	1.0
110	2	1	0.0	0.0	0.0	0.0
111	1	1	0.455	0.455	0.455	0.455
112	1	1	0.735	0.735	0.735	0.735
113	5	1	1.0	1.0	1.0	1.0
114	1	1	0.66	0.66	0.66	0.66
115	1	1	0.441	0.441	0.441	0.441
116	2	1	1.0	1.0	1.0	1.0
117	1	1	1.0	1.0	1.0	1.0
118	1	1	0.434	0.434	0.434	0.434
119	1	1	0.441	0.441	0.441	0.441
120	2	1	0.479	0.479	0.479	0.479
121	1	1	1.0	1.0	1.0	1.0
122	2	1	1.0	1.0	1.0	1.0
123	2	1	1.0	1.0	1.0	1.0
124	1	1	0.784	0.784	0.784	0.784
125	1	1	1.0	1.0	1.0	1.0
126	2	1	1.0	1.0	1.0	1.0
127	1	1	0.724	0.724	0.724	0.724
128	1	1	0.0	0.0	0.0	0.0
129	2	1	1.0	1.0	1.0	1.0
130	2	1	0.0	0.0	0.0	0.0
131	1	1	0.441	0.441	0.441	0.441
132	3	1	1.0	1.0	1.0	1.0
133	2	1	1.0	1.0	1.0	1.0
134	4	1	0.0	0.0	0.0	0.0
135	1	1	0.733	0.733	0.733	0.733
136	1	1	0.0	0.0	0.0	0.0
137	1	1	0.0	0.0	0.0	0.0
138	1	1	1.0	1.0	1.0	1.0
139	2	1	0.441	0.441	0.441	0.441
