Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
38	5	35	35	9333	39	carbonate dehydratase activity (GO:0004089)	7.45688912032183e-25
39	5	52	52	9333	19	glucuronosyltransferase activity (GO:0015020)	1.58540608051171e-05
40	5	22	22	9333	23	voltage-gated potassium channel activity (GO:0005249)	0.000312234474472897
41	5	65	65	9333	48	cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	1.30892965451994e-08
42	5	2823	2823	9333	40	cadherin binding (GO:0045296)	3.0144082319206e-16
43	5	9	9	9333	5	death receptor activity (GO:0005035)	6.82352154972947e-06
44	5	9	9	9333	6	carbonate dehydratase activity (GO:0004089)	1.19896797153418e-11
45	4	23	23	9333	36	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	1.53474152143741e-06
46	4	16	16	9333	19	G protein-coupled neurotransmitter receptor activity (GO:0099528)	2.65720031134912e-10
47	4	95	95	9333	91	ABC-type xenobiotic transporter activity (GO:0008559)	2.61982963100045e-09
48	4	3	3	9333	0	NA (NA)	NA
49	4	15	15	9333	15	DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	0.00146222236272731
50	4	20	20	9333	25	glucuronosyltransferase activity (GO:0015020)	1.218767652944e-10
51	4	1766	1766	9333	57	chromatin binding (GO:0003682)	2.79531098154852e-18
52	4	77	77	9333	36	beta-catenin binding (GO:0008013)	1.97903379077629e-06
53	4	169	169	9333	50	ubiquitin-like protein ligase binding (GO:0044389)	2.0625404251755e-09
54	4	42	42	9333	29	cytokine activity (GO:0005125)	2.89512819284217e-08
55	4	10	10	9333	1	heparan sulfate proteoglycan binding (GO:0043395)	0.00535715767253343
56	4	7	7	9333	1	LRR domain binding (GO:0030275)	0.00256879994284124
57	4	23	23	9333	40	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	1.52544005767113e-06
58	4	23	23	9333	23	G protein-coupled neurotransmitter receptor activity (GO:0099528)	0.000124038884747657
59	4	6	6	9333	1	carbohydrate binding (GO:0030246)	0.0021739885703514
60	3	34	34	9333	18	xenobiotic transmembrane transporter activity (GO:0042910)	0.000234099225376194
61	3	0	0	9333	0		0
62	3	55	55	9333	31	cytokine receptor binding (GO:0005126)	1.79142089994678e-11
63	3	0	0	9333	0		0
64	3	35	35	9333	29	cytokine receptor binding (GO:0005126)	1.88802343220808e-10
65	3	59	59	9333	33	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	5.16019945646108e-15
66	3	21	21	9333	18	hormone activity (GO:0005179)	7.88169392654557e-09
67	3	7	7	9333	6	oxidoreductase activity, acting on CH or CH2 groups (GO:0016725)	0.00115157341121278
68	3	29	29	9333	38	carboxylic acid binding (GO:0031406)	1.56195548057461e-08
69	3	1	1	9333	14	ABC-type xenobiotic transporter activity (GO:0008559)	0.00660291438979897
70	3	5	5	9333	0	NA (NA)	NA
71	3	10	10	9333	1	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	0.00363315038968898
72	3	172	172	9333	46	ubiquitin-like protein ligase binding (GO:0044389)	1.37111009400432e-07
73	3	11	11	9333	6	G protein-coupled amine receptor activity (GO:0008227)	2.73030649192091e-14
74	3	11	11	9333	27	17-beta-hydroxysteroid dehydrogenase (NAD+) activity (GO:0044594)	3.61179194989949e-08
75	3	6	6	9333	5	cytokine activity (GO:0005125)	0.00338089260659526
76	3	79	79	9333	44	cytokine activity (GO:0005125)	1.50179722059768e-07
77	3	11	11	9333	38	ligand-gated monoatomic anion channel activity (GO:0099095)	5.64535684031581e-08
78	3	110	110	9333	58	transcription factor binding (GO:0008134)	4.40731540559554e-10
79	3	8	8	9333	0	NA (NA)	NA
80	3	1253	1253	9333	53	structural constituent of ribosome (GO:0003735)	1.00157293199973e-30
81	2	323	323	9333	88	signaling receptor activator activity (GO:0030546)	1.30723833993064e-18
82	2	88	88	9333	57	glucuronosyltransferase activity (GO:0015020)	6.73813939556275e-16
83	2	3	3	9333	0	NA (NA)	NA
84	2	15	15	9333	5	delayed rectifier potassium channel activity (GO:0005251)	0.00559706852628961
85	2	1	1	9333	0	NA (NA)	NA
86	2	12	12	9333	13	adrenergic receptor binding (GO:0031690)	4.28715902587126e-07
87	2	20	20	9333	21	steroid hydroxylase activity (GO:0008395)	4.65780014158062e-08
88	2	10	10	9333	33	organic cation transmembrane transporter activity (GO:0015101)	2.68115404747736e-07
89	2	18	18	9333	15	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	2.75195235431253e-14
90	2	11	11	9333	0	NA (NA)	NA
91	2	3	3	9333	5	amyloid-beta binding (GO:0001540)	4.53649755900633e-06
92	2	5	5	9333	14	organic cation transmembrane transporter activity (GO:0015101)	2.41112541421893e-06
93	2	85	85	9333	38	glucuronosyltransferase activity (GO:0015020)	3.57030448383277e-16
94	2	61	61	9333	27	ubiquitin protein ligase binding (GO:0031625)	9.44737788691192e-05
95	2	63	63	9333	9	calcium ion binding (GO:0005509)	7.9812810559803e-05
96	2	2	2	9333	8	quaternary ammonium group binding (GO:0050997)	0.000238221109697032
97	2	16	16	9333	8	signaling receptor regulator activity (GO:0030545)	0.000434903617787375
98	2	74	74	9333	30	cytokine activity (GO:0005125)	8.50721956944877e-13
99	2	705	705	9333	76	damaged DNA binding (GO:0003684)	3.50519242137516e-11
100	2	4	4	9333	1	G protein-coupled amine receptor activity (GO:0008227)	0.00373589508828351
101	2	20	20	9333	0	NA (NA)	NA
102	2	7	7	9333	22	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	4.08567062262169e-07
103	2	34	34	9333	23	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	2.44168496895958e-09
104	2	220	220	9333	67	signaling receptor regulator activity (GO:0030545)	2.06274307206613e-10
105	2	33	33	9333	32	MAP kinase activity (GO:0004707)	5.01342613681496e-08
106	2	11	11	9333	8	cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	0.00528035519604104
107	2	100	100	9333	79	glucuronosyltransferase activity (GO:0015020)	2.91920885971089e-15
108	2	30	30	9333	20	MAP kinase activity (GO:0004707)	3.37406771008258e-08
109	2	2	2	9333	0	NA (NA)	NA
110	2	11	11	9333	27	quaternary ammonium group transmembrane transporter activity (GO:0015651)	3.60440899521676e-08
111	2	1	1	9333	0	NA (NA)	NA
112	2	49	49	9333	35	aromatase activity (GO:0070330)	1.75534502552074e-05
113	2	758	758	9333	61	transcription factor binding (GO:0008134)	2.75918105711757e-11
114	2	0	0	9333	0		0
115	2	18	18	9333	18	hormone activity (GO:0005179)	1.00562546229001e-05
116	2	85	85	9333	62	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	7.56690829363476e-17
117	2	107	107	9333	82	steroid hydroxylase activity (GO:0008395)	5.15959959128585e-12
118	2	25	25	9333	18	monooxygenase activity (GO:0004497)	1.1012482908303e-07
119	2	4	4	9333	32	GABA-gated chloride ion channel activity (GO:0022851)	1.29401828970498e-07
120	2	56	56	9333	51	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	4.72892133467642e-08
121	2	15	15	9333	20	glucuronosyltransferase activity (GO:0015020)	6.08411566188714e-09
122	2	88	88	9333	52	monooxygenase activity (GO:0004497)	1.30126604792126e-31
123	2	24	24	9333	37	xenobiotic transmembrane transporter activity (GO:0042910)	3.24740271646183e-07
124	2	6	6	9333	15	oxidoreductase activity, acting on CH or CH2 groups (GO:0016725)	0.000896958908723511
125	2	3	3	9333	0	NA (NA)	NA
126	2	49	49	9333	55	monocarboxylic acid binding (GO:0033293)	8.15289344017714e-11
127	2	4	4	9333	8	monoamine transmembrane transporter activity (GO:0008504)	0.000148314364804144
128	2	34	34	9333	43	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	3.26313751799687e-07
129	2	9	9	9333	7	cytokine receptor binding (GO:0005126)	2.35402289858306e-05
130	2	44	44	9333	0	NA (NA)	NA
131	2	13	13	9333	7	nuclear steroid receptor activity (GO:0003707)	0.000127582148518412
132	2	9	9	9333	10	G protein-coupled amine receptor activity (GO:0008227)	0.000122444358163202
133	2	205	205	9333	53	vitamin binding (GO:0019842)	8.15497976478321e-06
134	2	24	24	9333	11	phospholipase activator activity (GO:0016004)	0.00102179016241411
135	2	74	74	9333	23	signaling receptor activator activity (GO:0030546)	8.49105067517488e-09
136	2	21	21	9333	22	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	5.24813302876271e-16
137	2	42	42	9333	41	cytokine receptor binding (GO:0005126)	1.11330606795409e-05
138	2	11	11	9333	11	histone deacetylase binding (GO:0042826)	0.00034904284097169
