Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
114	2	0	0	9181	0		0
115	2	18	18	9181	395	response to lipopolysaccharide (GO:0032496)	7.00215344545447e-06
116	2	85	85	9181	537	xenobiotic metabolic process (GO:0006805)	6.66902609262001e-26
117	2	107	107	9181	403	cellular response to xenobiotic stimulus (GO:0071466)	7.50331122469138e-20
118	2	25	25	9181	43	cellular response to xenobiotic stimulus (GO:0071466)	9.58010376287445e-06
119	2	4	4	9181	19	gamma-aminobutyric acid signaling pathway (GO:0007214)	2.73199671107901e-06
120	2	56	56	9181	1143	response to lipopolysaccharide (GO:0032496)	4.92091984990494e-17
121	2	15	15	9181	132	flavonoid metabolic process (GO:0009812)	4.16518388601527e-09
122	2	88	88	9181	349	response to xenobiotic stimulus (GO:0009410)	2.46430484358345e-26
123	2	24	24	9181	153	cellular response to xenobiotic stimulus (GO:0071466)	1.92667103026405e-07
124	2	6	6	9181	318	positive regulation of neuroinflammatory response (GO:0150078)	3.84316538197538e-05
125	2	3	3	9181	0	NA (NA)	NA
126	2	49	49	9181	213	xenobiotic metabolic process (GO:0006805)	1.82541868834025e-29
127	2	4	4	9181	24	regulation of neurotransmitter levels (GO:0001505)	6.45283133337137e-06
128	2	34	34	9181	923	regulation of neuron death (GO:1901214)	3.72035867035738e-18
129	2	9	9	9181	349	interleukin-8 production (GO:0032637)	1.64889222306588e-06
130	2	44	44	9181	0	NA (NA)	NA
131	2	13	13	9181	48	mammary gland duct morphogenesis (GO:0060603)	0.00255264434866844
132	2	9	9	9181	139	regulation of systemic arterial blood pressure (GO:0003073)	1.97907787581136e-06
133	2	205	205	9181	479	monocarboxylic acid metabolic process (GO:0032787)	1.27388479021486e-20
134	2	24	24	9181	493	response to inorganic substance (GO:0010035)	3.61636482441223e-11
135	2	74	74	9181	833	response to inorganic substance (GO:0010035)	4.06315137194442e-17
136	2	21	21	9181	60	xenobiotic metabolic process (GO:0006805)	5.07789467934369e-14
137	2	42	42	9181	737	response to xenobiotic stimulus (GO:0009410)	1.35218918354766e-11
138	2	11	11	9181	21	execution phase of apoptosis (GO:0097194)	0.000283569639447091
